Term,RAG_Context_Used,Category,Reasoning,NLD
basalt,True,Rock,"The NLD defines basalt as an igneous rock, which fits the GeoCore category of Rock as no GeoReservoir category for igneous rock exists.","Basalt is a mafic extrusive igneous rock that, in the context of the Brazilian Pre-Salt, occurs as tholeiitic flood basalts and lava flows representing major magmatic events within the syn-rift sequence. These volcanic rocks typically form the acoustic basement or are found as part of the Camboriú and Cabiúnas Formations, and can also be intercalated with volcanoclastics within the overlying Piçarras Formation."
carbonate reservoir,True,Sedimentary Geological Object,"The NLD describes a subsurface rock body composed of sedimentary carbonate minerals, which is a type of Sedimentary Geological Object.","A carbonate reservoir is a subsurface rock body that is composed of carbonate minerals and possesses sufficient porosity and permeability to store and transmit hydrocarbons. In the Brazilian Pre-Salt, these reservoirs are typically complex successions of facies, such as spherulites, shrubs, and stromatolites, deposited in alkaline lacustrine environments. Their significant faciological and diagenetic heterogeneity often results in reservoir compartmentalization, impacting connectivity and hydrocarbon distribution."
coquina,True,Sedimentary Rock,"The NLD explicitly defines coquina as a type of bioclastic carbonate rock, which directly corresponds to the Sedimentary Rock category.","Coquina is a bioclastic carbonate rock that is predominantly composed of reworked and accumulated mollusk shells, primarily bivalves and gastropods. Typically occurring as grainstones, packstones, and rudstones deposited in lacustrine rift settings, these rocks form important Pre-Salt reservoirs with significant moldic, vuggy, and intergranular porosity."
diagenesis,True,Geological Process,"The NLD explicitly defines diagenesis as a collection of physical, chemical, and biological processes that alter sediments.","Diagenesis is the collective term for the physical, chemical, and biological processes that alter sediments after their initial deposition and during and after their lithification, but before the onset of metamorphism. In the context of the Brazilian Pre-Salt, these processes are intense and include multiple phases of cementation, dissolution, dolomitization, and silicification. These alterations, such as the dissolution driven by the decay of magnesium silicates, are critical in creating or modifying the porosity and permeability of carbonate reservoirs."
early cretaceous,True,Geological Time Interval,"The NLD defines this term as a 'geochronological epoch' and a time 'interval', which directly corresponds to the Geological Time Interval category.","Early Cretaceous is a geochronological epoch that, in the context of the South Atlantic, is characterized by the continental rifting of Gondwana and the subsequent deposition of thick lacustrine sequences. This interval, encompassing the Hauterivian through Albian stages, is marked by the formation of extensive rift basins where the economically significant pre-salt carbonate reservoirs were deposited. The epoch culminates with the deposition of widespread Aptian evaporites, signifying the transition towards the opening of the South Atlantic Ocean."
itapema formation,True,Depositional Unit,"The term is described as a 'stratigraphic unit' composed of sedimentary rocks, which fits the definition of a mappable Depositional Unit.","The Itapema Formation is a Barremian to Aptian lacustrine stratigraphic unit of the Santos Basin Pre-Salt that is composed of interbedded mollusk-rich coquinas and organic-rich shales. Deposited during the upper rift phase, its coquinas constitute important hydrocarbon reservoirs while the shales, particularly the 'Jiquiá' member, represent a primary source rock interval."
silica,True,Earth Material,"The NLD describes silica as a group of naturally occurring minerals and solids, which is a type of natural matter fitting the Earth Material definition.","Silica is a group of naturally occurring minerals and amorphous solids based on silicon dioxide (SiO₂) that, in the Pre-Salt, precipitates from alkaline lacustrine waters to form primary sediments, diagenetic cements, and replacement phases. Commonly occurring as nodules, sheets, or cements of chert, chalcedony, and quartz, its precipitation is often triggered by a decrease in pH and can significantly occlude reservoir porosity."
subsidence,True,Geological Process,The NLD explicitly defines subsidence as a 'geological process' involving the sinking or downward vertical movement of the Earth's crust.,"Subsidence is a geological process that involves the sinking or downward vertical movement of the Earth's crust, which creates accommodation space for sediment accumulation. In rift basins such as the Brazilian Pre-Salt, this process is driven by mechanisms including tectonic extension, thermal cooling and contraction of the lithosphere, and isostatic loading from sediments and salt, often resulting in diachronous and heterogeneous depositional patterns."
depocenter,True,site,"The term describes an immaterial area defined by its relation to a material entity (a sedimentary basin) and a specific property (maximum sediment thickness), fitting the BFO definition of a site.","Depocenter is an area within a sedimentary basin that is characterized by the maximum thickness of accumulated sediment. In rift basins such as the Brazilian Pre-Salt, depocenters are typically structurally controlled by active fault systems, and their locations can migrate through geologic time in response to evolving tectonic subsidence."
halite,True,Sedimentary Rock,"The NLD describes halite forming massive salt bodies and layers, which are classified as chemical sedimentary rocks (evaporites).","Halite is an evaporite mineral composed of sodium chloride (NaCl) that constitutes the primary mobile component of the Aptian salt layer in the South Atlantic marginal basins. Due to its highly ductile and plastic behavior compared to associated anhydrite, it flows under geological stress to form massive salt bodies and diapirs, which create critical structural traps for Pre-Salt hydrocarbon accumulations."
hauterivian,True,Geological Time Interval,"The NLD explicitly defines the term as a geologic age spanning a specific time interval, which directly matches the definition of a Geological Time Interval.","Hauterivian is a geologic age of the Early Cretaceous Epoch that spans the time from approximately 132.6 to 129.4 million years ago, following the Valanginian and preceding the Barremian. In the context of Brazilian marginal basins like the Santos and Campos, the Hauterivian corresponds to the onset of the rift phase, characterized by the development of half-grabens and extensive syn-rift volcanism. This initial rifting stage is associated with the deposition of the volcanic and volcaniclastic rocks of the Camboriú Formation, which form the economic basement for the overlying pre-salt reservoirs."
microbialite,True,Sedimentary Rock,"The NLD explicitly defines microbialite as an 'organosedimentary rock,' which is a specific type of Sedimentary Rock.","Microbialite is an organosedimentary rock that is formed through the trapping and binding of sediment or the precipitation of minerals as a result of the growth and metabolic activity of microorganisms. These structures include various forms such as stromatolites, dendrolites, oncoids, and microbial laminites. In the Brazilian Pre-Salt, microbialites are considered to form buildups within lacustrine carbonate successions like the Barra Velha Formation, although their actual volumetric contribution is often debated and may be less significant than the informal nomenclature suggests."
reservoir,True,Sedimentary Geological Object,"The NLD describes a reservoir as a subsurface rock formation, often composed of carbonate bodies, which fits the definition of a Geological Object constituted by Sedimentary Rock.","A reservoir is a subsurface rock formation that possesses sufficient porosity and permeability to store and transmit fluids such as oil and gas. In the Brazilian Pre-Salt, reservoirs are typically complex carbonate bodies whose quality and heterogeneity are controlled by the interplay of depositional facies, such as shrubstones and grainstones, and subsequent diagenetic and tectonic events. These formations contain commercially significant accumulations of hydrocarbons, often within a structural or stratigraphic trap."
salt deposition,True,Geological Process,"The NLD explicitly defines this as a 'sedimentary process' involving accumulation, which aligns with the GeoCore definition.","Salt deposition is a sedimentary process that involves the accumulation of evaporite minerals, such as halite and anhydrite, from the precipitation of a restricted and hypersaline body of water. In the context of the South Atlantic margins, this widespread event occurred during the Late Aptian, marking the transition from the rift phase to the passive margin and forming a regional seal over the pre-salt carbonate reservoirs. The rapid accumulation of thick salt sequences induced significant crustal loading and subsidence, creating a mobile salt layer that profoundly influenced subsequent post-salt structural development."
seismic facies,True,Facies,"The NLD describes it as a unit defined by a distinct set of reflection characteristics and patterns, which aligns with the GeoReservoir definition of a pattern of properties.","A seismic facies is a mappable three-dimensional seismic unit that is defined by a distinct set of reflection characteristics, such as geometry, continuity, amplitude, and frequency, which differentiate it from adjacent units. These seismic patterns are interpreted in conjunction with well data to represent specific depositional environments or lithofacies, serving as a primary tool for inferring reservoir distribution and boundaries in settings like the Brazilian Pre-Salt."
clinoform,True,Geological Boundary,"The NLD defines it as a 'depositional stratigraphic surface,' which corresponds directly to the GeoCore definition of a physical discontinuity on a geological object.","A clinoform is a dipping, depositional stratigraphic surface that represents the advancing, down-sloping face of a prograding sedimentary or volcanic body. In the Pre-Salt context, they are identified on seismic data as prograding reflectors associated with carbonate platform margins, lava deltas, or fan deltas, although some apparent clinoforms can be seismic artifacts caused by steeply dipping salt bodies."
calcite,True,Earth Material,"The NLD describes calcite as a mineral and a fundamental component of rocks, which fits the GeoCore definition of a natural amount of matter.","Calcite is a carbonate mineral with the chemical formula CaCO₃ that, in the Pre-Salt lacustrine setting, constitutes the primary mineralogy of microbial carbonates like shrubs and spherulites and also occurs as a diagenetic product through cementation or neomorphism. Primary lacustrine calcite often preserves original fibrous or fascicular-optical crystal fabrics, whereas diagenetic calcite typically forms as equant cements filling porosity or as neomorphic crystals replacing precursor minerals like aragonite. This non-magnesian calcite is a fundamental component of Pre-Salt reservoir rocks, both forming the primary rock framework and influencing porosity through subsequent diagenetic processes."
dissolution,True,Geological Process,"The NLD explicitly defines the term as a 'diagenetic process' that chemically modifies mineral material, aligning perfectly with the GeoCore definition.","Dissolution is a diagenetic process that chemically breaks down and removes mineral material, such as carbonates or Mg-rich clays, through interaction with a solvent fluid. In the Brazilian Pre-Salt, this process is a critical factor in creating and enhancing reservoir quality, particularly through the congruent dissolution of Mg-rich clays like stevensite and the later-stage dissolution of carbonate minerals. This dissolution can be driven by fluids acidified by the release of hydrogen ions during the decay of Mg-silicates."
dolomite,True,Earth Material,"The NLD describes dolomite as a mineral and rock-forming constituent, which is a natural amount of solid matter generated by geological processes, fitting the GeoCore definition of Earth Material.","Dolomite is a carbonate mineral, composed of calcium magnesium carbonate (CaMg(CO₃)₂), that is a common rock-forming constituent of sedimentary and diagenetic rocks. In Brazilian Pre-Salt lacustrine successions, it is a principal diagenetic product that occurs as primary precipitates, replacements of precursor carbonates, or pore-filling cements, significantly altering reservoir properties."
economic basement,True,Geological Object,"The NLD defines this as a subsurface stratigraphic unit composed of rock, which is a rigid entity with its own identity criteria, fitting the GeoCore definition of a Geological Object.","Economic basement is a subsurface stratigraphic unit that represents the deepest interval considered for hydrocarbon exploration, below which drilling is deemed economically or technically unviable. In the Brazilian Pre-Salt of the Santos Basin, this unit is specifically composed of the Hauterivian-age volcanic rocks of the Camboriú Formation. These basalts lie unconformably over the older Precambrian crystalline basement and represent the initial syn-rift phase."
lacustrine environment,True,Depositional System,"The NLD explicitly defines the term as a 'nonmarine depositional system', which directly corresponds to the GeoReservoir category for an aggregate of linked depositional units.","A lacustrine environment is a nonmarine depositional system, centered on a lake, that in the South Atlantic Pre-Salt is characterized by its physical separation from the open ocean and highly saline, alkaline water chemistry. These settings are identified by the absence of marine fossils, the presence of specific nonmarine fauna like ostracods, and authigenic minerals such as stevensite that indicate high pH. They host the deposition of significant carbonate reservoir rocks, including coquinas and microbialites, often interbedded with shales."
lake,True,Depositional System,"The NLD describes a lake in a geological context as a 'lacustrine depositional system' where carbonates are precipitated, directly matching the GeoReservoir category.","A lake is a lacustrine depositional system that, in the Pre-Salt context, occupied an extensive area within an active continental rift during the sag phase of basin evolution. This system was characterized by a complex paleohydrology with significant subsurface hydrothermal fluid input, which resulted in alkaline and often saline water chemistry. This unique hydrochemistry promoted the widespread precipitation of chemogenic and biogenic carbonates that constitute the main reservoir facies."
late aptian,True,Geological Time Interval,"The NLD defines the term as a 'geochronologic epoch' and a 'period', which is a temporal region within global geological time, matching the GeoCore category.","Late Aptian is a geochronologic epoch that, in traditional South Atlantic tectono-stratigraphic models, represents the period of major evaporite deposition that concluded the pre-salt sequence. While historically dated to approximately 115 million years ago and associated with the end of rifting, this timing is now highly debated, with significant evidence suggesting the main salt was deposited earlier, in the Early Aptian."
pre-alagoas unconformity,True,Geological Boundary,"The NLD describes this as a regional unconformity and a surface that separates sequences, which fits the definition of a physical discontinuity.","Pre-Alagoas unconformity is a regional unconformity of Aptian age that separates the underlying syn-rift sequence from the overlying post-rift sag sequence within the Brazilian Pre-Salt basins. This surface marks the top of the Itapema Formation and represents a significant depositional hiatus, often characterized seismically as a low to medium amplitude, discontinuous reflector."
rift phase,True,Geological Process,"The NLD defines this as a tectono-stratigraphic stage involving processes like tectonic strain and deposition, which aligns with the definition of a Geological Process.","A rift phase is a distinct tectono-stratigraphic stage within a syn-rift supersequence that is defined by a unique combination of tectonic strain, fault geometry, depocenter distribution, and associated lithofacies. In the Brazilian Pre-Salt, successive rift phases document the evolution of continental extension and control the deposition of key petroleum system elements, from early volcanic rocks to the later lacustrine source rocks and carbonate reservoirs."
sag phase,True,Geological Process,"The NLD describes this as a phase in basin evolution characterized by processes of thermal subsidence and deposition, fitting the Geological Process category.","The sag phase is a tectono-stratigraphic interval in basin evolution that follows the main syn-rift stage and is characterized by a broad, regional depression driven predominantly by thermal subsidence with minimal fault activity. In the context of the South Atlantic Pre-Salt, this Aptian-age phase encompasses the deposition of the lacustrine to transitional marine carbonates of the Barra Velha Formation and the overlying evaporites of the Ariri Formation. This phase creates a wide, saucer-shaped basin geometry that contrasts with the fault-bounded grabens of the preceding syn-rift stage."
shale,True,Sedimentary Rock,"The NLD explicitly defines shale as a clastic sedimentary rock, which is a primary category in the GeoReservoir ontology.","Shale is a fine-grained, laminated, clastic sedimentary rock that, in the context of the Brazilian Pre-Salt, is characterized by its high radioactivity and potential to act as both a source rock and a vertical seal. These shales, such as the Jiquia Member, form significant permeability barriers that can vertically segment reservoirs, leading to fluid compartmentalization and the formation of perched water tables."
shallow lake,True,Depositional System,"The NLD explicitly defines a shallow lake in this context as a 'depositional system,' which is a specific category within GeoReservoir.","A shallow lake is a lacustrine depositional system that is characterized by a low-gradient, ramp-like profile and highly evaporitic, alkaline water chemistry. In the context of the Brazilian Pre-Salt, this system is responsible for depositing the metre-scale, cyclic carbonate successions of the Barra Velha Formation, including key reservoir facies such as shrubstones and spherulites."
stevensite,True,Earth Material,"The NLD defines stevensite as a specific type of clay mineral, which is a natural solid matter fitting the GeoCore category of Earth Material.","Stevensite is an aluminum-poor, magnesium-rich smectitic clay mineral that precipitates directly from silica-rich, highly alkaline lacustrine waters. Within the Brazilian Pre-Salt, it is a characteristic authigenic mineral of low-energy, deeper-water depositional environments, commonly associated with calcite spherulites or dolomite rhombs. It can occur as discrete beds, oolitic coatings, or as a matrix component within carbonate facies."
travertine,True,Sedimentary Rock,"The NLD explicitly defines travertine as a 'chemically precipitated carbonate rock', which is a type of Sedimentary Rock.","Travertine is a chemically precipitated carbonate rock that is deposited in continental settings from hydrothermal springs. In the Pre-Salt context, it is associated with subaerial exposure and forms mound-type and fissure ridge-type deposits, representing a potential origin for some isolated carbonate buildups."
carbonate platform,True,Depositional Unit,"The NLD describes it as a 'large-scale, seismically mappable depositional body', which directly aligns with the definition of a Depositional Unit.","A carbonate platform is a large-scale, seismically mappable depositional body that develops on broad structural highs within a lacustrine sag basin. In the context of the Brazilian Pre-Salt, these platforms are primarily composed of non-marine carbonate grains, such as shrubby microbial boundstones, spherulites, and intraclasts, which form significant reservoir facies. The geometry of these lacustrine platforms is often strongly influenced by antecedent topography and fault-controlled subsidence, distinguishing them from classic marine platform models."
clay,True,Sediment,"The NLD describes clay occurring as 'laminated muds', which fits the definition of Sediment as an unconsolidated earth material.","Clay is a group of authigenic magnesian phyllosilicate minerals that precipitates directly from alkaline, silica- and magnesium-rich lacustrine waters. In the Brazilian Pre-Salt, these minerals are primarily stevensite and saponite, occurring as laminated muds or as interstitial components within carbonate facies. The subsequent dissolution of these chemically unstable clays is a critical diagenetic process responsible for creating significant secondary porosity and enhancing reservoir quality."
grainstone,True,Sedimentary Rock,"The NLD explicitly defines grainstone as a 'grain-supported sedimentary carbonate rock', directly matching the Sedimentary Rock category.","Grainstone is a grain-supported sedimentary carbonate rock that is characterized by the absence of a mud matrix, indicating deposition in a high-energy environment where currents prevent the accumulation of fine sediment. In the Pre-Salt lacustrine setting, this facies is commonly composed of mollusk fragments, spherulites, or intraclasts and represents a critical reservoir target due to its high primary intergranular porosity."
permeability,True,quality,"The NLD defines permeability as a petrophysical property that quantifies a rock's ability to transmit fluids, which aligns with the BFO definition of a quality.","Permeability is a petrophysical property of a porous medium that quantifies its ability to transmit fluids. In petroleum geology, it is a critical measure of reservoir quality, controlled by the size, shape, and interconnectedness of the pore network, including features like fractures and vugs. Significant variations in permeability, often caused by faults, shales, or lateral facies changes, can create barriers that lead to reservoir compartmentalization."
porosity,True,quality,"The NLD defines porosity as a fundamental physical property that quantifies void space, which is a characteristic that inheres in a rock, fitting the BFO definition of a quality.","Porosity is a fundamental physical property of a rock that quantifies the volume of void spaces, or pores, relative to the total rock volume. In Pre-Salt carbonate reservoirs, it manifests as various pore types including intergranular, inter-shrub, moldic, vuggy, and fracture porosity, which can be either primary or formed by diagenetic processes like dissolution. This property, typically expressed as a percentage, is a critical control on hydrocarbon storage capacity and overall reservoir quality."
rifting,True,Geological Process,"The NLD explicitly defines rifting as a large-scale tectonic process that creates geological objects like basins, matching the GeoCore definition of a Geological Process.","Rifting is a large-scale tectonic process that involves the extension and thinning of the lithosphere, leading to the formation of elongated basins bounded by normal faults. In the context of the South Atlantic, this process of continental breakup during the Early Cretaceous created the extensive lacustrine basins where the Pre-Salt successions were deposited. The tectonic style is often characterized by oblique extension, resulting in complex fault geometries, transfer zones, and distinct rift phases that control the initial structural and stratigraphic framework of the basin."
source rock,True,Sedimentary Rock,"The NLD directly identifies a source rock as a type of sedimentary rock, which is a primary category in GeoReservoir.","Source rock is a sedimentary rock that contains sufficient organic matter to generate and expel hydrocarbons when subjected to heat and pressure. In the Brazilian Pre-Salt, the primary source rocks are organic-rich calcareous shales deposited in distal lacustrine environments, such as those of the Itapema Formation. These rocks form a critical component of a petroleum system, providing the hydrocarbon charge for adjacent or overlying reservoir rocks."
stromatolite,True,Sedimentary Geological Object,"The NLD describes a stromatolite as an organosedimentary deposit, which is a type of geological object constituted by sedimentary material, fitting the GeoReservoir definition.","Stromatolite is an organosedimentary deposit that is formed by the trapping, binding, and precipitation of minerals by a benthic microbial community, resulting in a characteristically laminated and often convex-upward growth structure. In the context of the Brazilian Pre-Salt, stromatolites are a facies within the Barra Velha Formation that can exhibit significant fenestral and vug porosity, contributing to reservoir quality."
onlap,True,Sedimentary Structure,"The NLD describes it as a 'geometric pattern' and 'basal stratal termination', which fits the definition of a pattern of internal arrangement of Depositional Units.","Onlap is a basal stratal termination that occurs where younger, initially horizontal strata terminate progressively updip against an older, more steeply inclined surface. Visible on seismic profiles, this geometric pattern indicates deposition during a relative rise in base level and is fundamental for identifying sequence boundaries and interpreting basin-fill history, particularly in rift settings like the Pre-Salt."
carbonate factory,True,Depositional System,The NLD explicitly defines the term as a 'depositional system' that produces and accumulates carbonate sediments.,"A carbonate factory is a depositional system that produces and accumulates carbonate sediments, which in the Pre-Salt context refers to a vast, chemogenic lacustrine environment. This abiotic system was driven by hyper-alkaline water chemistry influenced by mantle-derived CO2, precipitating unique carbonate components like spherulites and crystal shrubs that form the main reservoir rocks."
reservoir quality,True,quality,"The NLD defines it as a 'measure' and 'capacity' of a rock to store and transmit fluids, which is a property that inheres in a material entity, fitting the BFO definition of quality.","Reservoir quality is a measure of a rock's capacity to store and transmit fluids, which is primarily controlled by its depositional facies and subsequent diagenetic alterations. In the Brazilian Pre-Salt, high reservoir quality is associated with specific carbonate facies like in-situ shrubs and reworked grainstones, where porosity is enhanced by the dissolution of precursor clays, and its lateral variation critically impacts trap effectiveness and compartmentalization."
alkalinity,True,quality,"The NLD defines it as a 'chemical property' and 'capacity' of a water body, which is a quality that inheres in a material entity.","Alkalinity is a chemical property of a natural water body that measures its capacity to neutralize acid, primarily determined by the concentration of dissolved bicarbonate and carbonate ions. In the context of Brazilian Pre-Salt lacustrine systems, periods of hyper-alkalinity (pH > 10) are critical for the widespread precipitation of chemogenic carbonates and Mg-silicate clays like stevensite. This elevated alkalinity is primarily attributed to high inputs of CO2 from magmatic/hydrothermal activity and accelerated weathering of associated volcanic rocks."
camboriú formation,True,Geological Object,"The NLD describes a named stratigraphic unit, which is a large-scale, identifiable body of rock, fitting the definition of a Geological Object.","The Camboriú Formation is a Lower Cretaceous stratigraphic unit that constitutes the economic basement of the Santos Basin, composed primarily of syn-rift volcanic rocks. This formation consists mainly of tholeiitic basalts and associated dyke swarms emplaced during the initial Hauterevian rifting phase, although it may also include older sedimentary rift units at its base. It lies unconformably over the Precambrian crystalline basement and is directly overlain by the lacustrine deposits of the Piçarras Formation."
carbonate rock,True,Sedimentary Rock,"The NLD explicitly defines it as a class of sedimentary rock, which is a direct category in GeoReservoir.","A carbonate rock is a class of sedimentary rock that is composed primarily of carbonate minerals, such as calcite, aragonite, or dolomite. These rocks are characterized by their chemical reactivity with dilute acid and can form through various biological, chemical, or detrital processes. In the Brazilian Pre-Salt, lacustrine carbonates, including coquinas and microbialites, constitute the primary reservoir facies."
