Term,Parent_Term,Relationship_Type,Category,Is_Intermediate,FALLBACK,NLD,Category_IRI,Parent_IRI
hyper-alkaline lake,lake,rdfs:subClassOf,Depositional System,False,False,"A hyper-alkaline lake is a lacustrine depositional system that is characterized by water with exceptionally high alkalinity, typically with a pH of 10 or greater, driven by factors such as high CO2 input, hydrothermal activity, and evaporation. Within the context of the Brazilian Pre-Salt, these Aptian-age lakes were sites of extensive abiotic carbonate precipitation, forming Mg-silicate gels and chemogenic calcite textures that constitute major reservoir intervals.",https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000020,
shallow lake,lake,rdfs:subClassOf,Depositional System,False,False,"A shallow lake is a lacustrine depositional system that is characterized by a low-gradient, ramp-like profile and highly evaporitic, alkaline water chemistry. In the context of the Brazilian Pre-Salt, this system is responsible for depositing the metre-scale, cyclic carbonate successions of the Barra Velha Formation, including key reservoir facies such as shrubstones and spherulites.",https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000020,
marine system,Depositional System,rdfs:subClassOf,Depositional System,False,False,"A marine system is a depositional system that is directly connected to and influenced by the global ocean. Its depositional architecture and facies are primarily controlled by eustatic sea-level fluctuations, oceanic chemistry, and global tectonic processes, in contrast to lacustrine systems which are governed by local climate, tectonics, and catchment-area inputs.",https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000020,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000020
lula field,Depositional System,rdf:type,Depositional System,False,False,"Lula Field is a giant pre-salt oil field in the Santos Basin offshore Brazil that was one of the first multi-billion barrel discoveries in the province. Originally named Tupi, the field is a major producer with hydrocarbons reservoired primarily in the Aptian lacustrine carbonates of the Barra Velha Formation. The field also lends its name to the 'Lula's Fingers,' a distinctive gamma-ray log signature representing shallowing-upward cyclothems in the upper Barra Velha Formation.",https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000020,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000020
Stratigraphic Unit,Depositional Unit,rdfs:subClassOf,Depositional Unit,True,False,,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000006,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000006
Formation,Stratigraphic Unit,rdfs:subClassOf,Depositional Unit,True,False,,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000006,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000002
barra velha formation,Formation,rdf:type,Depositional Unit,False,False,"The Barra Velha Formation is an Aptian-age geological formation of the Brazilian Pre-Salt that constitutes the primary lacustrine carbonate reservoir system in the Santos and Campos basins. Deposited in an alkaline lacustrine environment, it is predominantly composed of unique carbonate facies including microbialites (shrubs and stromatolites), spherulites, and laminated limestones, often with significant diagenetic alteration. Stratigraphically, it lies unconformably above the Itapema Formation and is overlain by the evaporites of the Ariri Formation.",https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000006,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000004
ariri formation,Formation,rdf:type,Depositional Unit,False,False,"The Ariri Formation is an Aptian-age lithostratigraphic unit that consists of a thick succession of stratified, marine-derived evaporites which forms the regional seal for the Brazilian Pre-Salt petroleum system. It overlies the lacustrine carbonates of the Barra Velha Formation across a major erosional unconformity and is characterized by significant halokinesis, forming complex salt walls and diapiric structures.",https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000006,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000004
itapema formation,Formation,rdf:type,Depositional Unit,False,False,"The Itapema Formation is a Barremian to Aptian lacustrine stratigraphic unit of the Santos Basin Pre-Salt that is composed of interbedded mollusk-rich coquinas and organic-rich shales. Deposited during the upper rift phase, its coquinas constitute important hydrocarbon reservoirs while the shales, particularly the 'Jiquiá' member, represent a primary source rock interval.",https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000006,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000004
carbonate platform,platform,rdfs:subClassOf,Depositional Unit,False,False,"A carbonate platform is a large-scale, seismically mappable depositional body that develops on broad structural highs within a lacustrine sag basin. In the context of the Brazilian Pre-Salt, these platforms are primarily composed of non-marine carbonate grains, such as shrubby microbial boundstones, spherulites, and intraclasts, which form significant reservoir facies. The geometry of these lacustrine platforms is often strongly influenced by antecedent topography and fault-controlled subsidence, distinguishing them from classic marine platform models.",https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000006,
salt deposit,Stratigraphic Unit,rdfs:subClassOf,Depositional Unit,False,False,"A salt deposit is a regional stratigraphic unit that is composed of evaporite minerals, primarily halite, deposited during the Aptian sag phase of the South Atlantic opening. In the Brazilian Pre-Salt province, this extensive layer separates the underlying lacustrine pre-salt reservoirs from the overlying marine post-salt section, acting as a highly effective regional seal. The mobility of this salt layer under sedimentary loading causes significant deformation (halokinesis) in the overlying strata, creating complex structural traps.",https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000006,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000002
fan delta,Depositional Unit,rdfs:subClassOf,Depositional Unit,False,False,"A fan delta is a delta that is formed by the progradation of an alluvial fan directly into a standing body of water. In the context of the Brazilian Pre-Salt, these features are associated with syn-depositional faulting along the margins of underfilled, alkaline lacustrine basins and are considered potential reservoir facies within the Barra Velha Formation.",https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000006,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000006
platform,Depositional Unit,rdfs:subClassOf,Depositional Unit,False,False,"A platform is a large-scale, seismically-resolvable carbonate depositional body that is characterized by a relatively flat top, depositional relief, and distinct lateral and vertical facies patterns. Within the Pre-Salt sag sequence, platform tops typically represent shallow, high-energy lacustrine environments where facies such as shrubby boundstones and intraclast-spherulite grainstones accumulate. These platform-top facies often develop widespread stratified porosity and permeability, forming significant hydrocarbon reservoirs.",https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000006,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000006
macabu formation,Formation,rdf:type,Depositional Unit,False,False,"Macabu Formation is an Aptian-age stratigraphic unit of the Lagoa Feia Group that consists of lacustrine carbonates deposited in a shallow, highly alkaline, and evaporative sag basin setting within the Campos Basin. This unit is composed of shallowing-up cyclothems including mud-grade laminated carbonates, spherulitic carbonates, and calcite shrub-like crusts. It is the direct stratigraphic equivalent of the prolific Barra Velha Formation reservoirs in the Santos Basin and is overlain by the evaporites of the Retiro Formation.",https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000006,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000004
water depth,Dimension,rdfs:subClassOf,Dimension,False,False,"Water depth is the vertical distance that measures from the surface of a body of water to the sediment-water interface at the time of deposition. In sedimentary geology, it is a critical parameter for interpreting depositional environments, with specific facies associations, such as microbial laminites or wave-influenced grainstones, indicating the shallow lacustrine settings characteristic of the Brazilian Pre-Salt. This depositional measurement is distinct from the present-day vertical depth of a rock unit within a wellbore, which is used for analyzing reservoir fluid properties and pressures.",https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000022,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000022
hydrothermal fluid,Earth Fluid,rdfs:subClassOf,Earth Fluid,False,False,"A hydrothermal fluid is a hot subsurface fluid that circulates within the Earth's crust, driven by geothermal gradients to redistribute energy and mass. This fluid's circulation causes significant physico-chemical changes in pre-existing rocks, a process known as hydrothermal alteration or diagenesis. In the Brazilian Pre-Salt, these fluids often migrate upwards along faults, interacting with magmatic and basement rocks, and can substantially alter the porosity and permeability of carbonate reservoirs.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000009,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000009
hydrocarbon,Earth Fluid,rdfs:subClassOf,Earth Fluid,False,False,"Hydrocarbon is a naturally occurring organic compound that consists primarily of hydrogen and carbon atoms, forming molecules of various sizes and complexities. In a petroleum geology context, these compounds are generated from the thermal maturation of organic matter and exist as liquid (crude oil) and gaseous (natural gas) phases. These fluids migrate and accumulate in subsurface reservoirs, forming economically significant deposits referred to as hydrocarbon columns or accumulations.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000009,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000009
gas,hydrocarbon,rdfs:subClassOf,Earth Fluid,False,False,"Gas is a phase of petroleum that consists of a mixture of light hydrocarbon compounds and various non-hydrocarbon impurities, generated through the thermal maturation of organic matter. In the context of Pre-Salt petroleum systems, it is typically an oil-associated thermogenic fluid whose specific composition, including contaminants like CO2, is used to infer thermal maturity, fluid origin, and reservoir compartmentalization.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000009,
lake water,Earth Fluid,rdfs:subClassOf,Earth Fluid,False,False,"Lake water is the water contained within a lacustrine basin that originates from surface runoff, direct precipitation, and groundwater, and whose chemical composition is influenced by these inputs and subsequent in-basin modification. Within the context of the South Atlantic Pre-Salt, the lake waters were characteristically highly saline and alkaline, often with a pH greater than 9. This specific hydrochemistry, driven by evaporative concentration and variable inputs including hydrothermal fluids, was a primary control on the deposition of chemogenic carbonates and the viability of aquatic fauna.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000009,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000009
oil,hydrocarbon,rdfs:subClassOf,Earth Fluid,False,False,"Oil is a naturally occurring liquid hydrocarbon mixture that is generated from the thermal maturation of organic matter, migrates into porous rock, and accumulates in a subsurface trap. Within a reservoir, it exists as a distinct fluid phase with a characteristic pressure gradient, forming a hydrocarbon column that is typically situated above a water zone due to its lower density. Its specific composition, gas content, and physical properties are determined by the source rock type, maturation history, and any subsequent alteration processes.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000009,
Mineral,Earth Material,rdfs:subClassOf,Earth Material,True,False,,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000006,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000006
Carbonate Mineral,Mineral,rdfs:subClassOf,Earth Material,True,False,,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000006,
silica,Mineral,rdfs:subClassOf,Earth Material,False,False,"Silica is a group of naturally occurring minerals and amorphous solids based on silicon dioxide (SiO₂) that, in the Pre-Salt, precipitates from alkaline lacustrine waters to form primary sediments, diagenetic cements, and replacement phases. Commonly occurring as nodules, sheets, or cements of chert, chalcedony, and quartz, its precipitation is often triggered by a decrease in pH and can significantly occlude reservoir porosity.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000006,
calcite,Carbonate Mineral,rdfs:subClassOf,Earth Material,False,False,"Calcite is a carbonate mineral with the chemical formula CaCO₃ that, in the Pre-Salt lacustrine setting, constitutes the primary mineralogy of microbial carbonates like shrubs and spherulites and also occurs as a diagenetic product through cementation or neomorphism. Primary lacustrine calcite often preserves original fibrous or fascicular-optical crystal fabrics, whereas diagenetic calcite typically forms as equant cements filling porosity or as neomorphic crystals replacing precursor minerals like aragonite. This non-magnesian calcite is a fundamental component of Pre-Salt reservoir rocks, both forming the primary rock framework and influencing porosity through subsequent diagenetic processes.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000006,
dolomite,Carbonate Mineral,rdfs:subClassOf,Earth Material,False,False,"Dolomite is a carbonate mineral, composed of calcium magnesium carbonate (CaMg(CO₃)₂), that is a common rock-forming constituent of sedimentary and diagenetic rocks. In Brazilian Pre-Salt lacustrine successions, it is a principal diagenetic product that occurs as primary precipitates, replacements of precursor carbonates, or pore-filling cements, significantly altering reservoir properties.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000006,
stevensite,Mineral,rdfs:subClassOf,Earth Material,False,False,"Stevensite is an aluminum-poor, magnesium-rich smectitic clay mineral that precipitates directly from silica-rich, highly alkaline lacustrine waters. Within the Brazilian Pre-Salt, it is a characteristic authigenic mineral of low-energy, deeper-water depositional environments, commonly associated with calcite spherulites or dolomite rhombs. It can occur as discrete beds, oolitic coatings, or as a matrix component within carbonate facies.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000006,
anhydrite,Mineral,rdfs:subClassOf,Earth Material,False,False,"Anhydrite is an evaporite mineral that is a major component of the Aptian salt section in the Santos Basin, characterized by its brittle mechanical behavior and high density. Within the Pre-Salt sequence, it commonly forms a dense, high-velocity basal layer to the main halite body, creating a strong seismic reflector that defines the base of the salt. Its presence in stratified salt cycles moderates halokinesis, leading to less intense salt deformation and thinner salt structures compared to regions dominated by ductile halite.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000006,
aragonite,Carbonate Mineral,rdfs:subClassOf,Earth Material,False,False,"Aragonite is a calcium carbonate mineral (CaCO3) that is a common polymorph of calcite. In the context of the Pre-Salt, it is significant as the original biogenic mineral forming mollusk shells, which is typically unstable and undergoes neomorphism to calcite during diagenesis.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000006,
organic matter,Earth Material,rdfs:subClassOf,Earth Material,False,False,"Organic matter is a naturally occurring, carbon-based substance that is derived from the remains of organisms and preserved within sedimentary rocks. In the context of the Brazilian Pre-Salt, fine-grained sediments rich in organic matter, such as the dark shales of the Piçarras Formation, constitute the primary source rocks for the petroleum system. This material can be observed as distinct streaks or laminae within the sedimentary succession.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000006,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000006
silica cement,Earth Material,rdfs:subClassOf,Earth Material,False,False,"Silica cement is an authigenic mineral precipitate that consists of silica minerals, such as chalcedony and quartz, which precipitate from pore fluids to occlude primary or secondary porosity. In Pre-Salt lacustrine carbonates, it can precipitate syndepositionally or during early diagenesis due to changes in lake water chemistry, or later during burial, commonly lining vugs and occluding inter-particle porosity.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000006,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000006
oceanic crust,Earth Material,rdfs:subClassOf,Earth Material,False,False,"Oceanic crust is the portion of the Earth's lithosphere that is generated at mid-ocean ridges during seafloor spreading, marking the final stage of continental rifting and the onset of a mature ocean basin. In the South Atlantic passive margin, its formation commenced around the Aptian and is associated with ridge-push forces that can cause subsequent tectonic inversion within the adjacent continental basins.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000006,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000006
seismic facies,Facies,rdfs:subClassOf,Facies,False,False,"A seismic facies is a mappable three-dimensional seismic unit that is defined by a distinct set of reflection characteristics, such as geometry, continuity, amplitude, and frequency, which differentiate it from adjacent units. These seismic patterns are interpreted in conjunction with well data to represent specific depositional environments or lithofacies, serving as a primary tool for inferring reservoir distribution and boundaries in settings like the Brazilian Pre-Salt.",https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000028,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000028
facies association,Stratigraphic Unit,rdfs:subClassOf,Facies Association,False,False,"A facies association is a group of sedimentary facies that are genetically related and characteristically occur together, representing deposition within a specific paleoenvironmental setting or system. The analysis of facies associations is critical for interpreting depositional systems, such as the lacustrine carbonate systems of the Pre-Salt, and for predicting the distribution of reservoir rocks.",https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000030,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000002
facies variation,facies association,rdfs:subClassOf,Facies Association,False,False,"Facies variation is the spatial or temporal change in the lithological and petrophysical characteristics of a sedimentary rock unit that reflects differing depositional conditions. In Pre-Salt lacustrine carbonates, this often manifests as abrupt lateral transitions between reservoir and non-reservoir facies, driven by factors like sedimentary input, lake chemistry, and climate, which are critical for creating stratigraphic entrapments.",https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000030,
albian,Geological Time Interval,rdf:type,Geological Age,False,False,"Albian is a geochronologic age of the Early Cretaceous Epoch that followed the Aptian Age, spanning from approximately 113 to 100.5 million years ago. In the context of the South Atlantic marginal basins, the Albian marks the onset of the post-rift drift phase, characterized by the deposition of platform to deep basin carbonates under open marine conditions. This age is stratigraphically represented by the deposition of the Ariri Formation evaporites and the overlying Guarujá Formation carbonates, which seal the underlying Aptian pre-salt reservoirs.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000003,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000005
Geological Time Interval,Geological Age,rdfs:subClassOf,Geological Age,True,False,,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000003,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000003
Geological Contact,Geological Boundary,rdfs:subClassOf,Geological Boundary,True,False,,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000011,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000011
unconformity,Geological Contact,rdfs:subClassOf,Geological Boundary,False,False,"An unconformity is a surface of erosion or non-deposition that separates younger strata from older rocks, representing a significant hiatus in the geologic record. In seismic data, it is identified as a key reflector characterized by stratal terminations such as erosional truncation and downlap. Within the Brazilian Pre-Salt, these surfaces, like the regional Pre-Alagoas and Intra-Alagoas unconformities, are fundamental for defining tectono-stratigraphic units.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000011,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000012
clinoform,Geological Contact,rdfs:subClassOf,Geological Boundary,False,False,"A clinoform is a dipping, depositional stratigraphic surface that represents the advancing, down-sloping face of a prograding sedimentary or volcanic body. In the Pre-Salt context, they are identified on seismic data as prograding reflectors associated with carbonate platform margins, lava deltas, or fan deltas, although some apparent clinoforms can be seismic artifacts caused by steeply dipping salt bodies.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000011,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000012
