# Object Property Definitions
# Extracted from: bfo-core.owl (BFO 2020), ro-core.owl, geocore-full.owl, geores-full.owl
# Format: property_label | IRI | source | definition
# BFO 2020 definitions come from skos:definition in bfo-core.owl.
# RO definitions come from IAO_0000115 in ro-core.owl.
# GeoCore/GeoReservoir definitions come from IAO_0000115 in their respective files.
#
# ── BFO 2020 (from bfo-core.owl) ──
#
has realization | http://purl.obolibrary.org/obo/BFO_0000054 | BFO2020 | b has realization c =Def c realizes b
has function | http://purl.obolibrary.org/obo/RO_0000085 | RO | a relation between an independent continuant (the bearer) and a function, in which the function specifically depends on the bearer for its existence
has quality | http://purl.obolibrary.org/obo/RO_0000086 | RO | a relation between an independent continuant (the bearer) and a quality, in which the quality specifically depends on the bearer for its existence
has role | http://purl.obolibrary.org/obo/RO_0000087 | RO | a relation between an independent continuant (the bearer) and a role, in which the role specifically depends on the bearer for its existence
has disposition | http://purl.obolibrary.org/obo/RO_0000091 | RO | a relation between an independent continuant (the bearer) and a disposition, in which the disposition specifically depends on the bearer for its existence
disposition of | http://purl.obolibrary.org/obo/RO_0000092 | RO | (no definition in source)
derives from | http://purl.obolibrary.org/obo/RO_0001000 | RO | a relation between two distinct material entities, the new entity and the old entity, in which the new entity begins to exist when the old entity ceases to exist, and the new entity inherits the significant portion of the matter of the old entity
derives into | http://purl.obolibrary.org/obo/RO_0001001 | RO | a relation between two distinct material entities, the old entity and the new entity, in which the new entity begins to exist when the old entity ceases to exist, and the new entity inherits the significant portion of the matter of the old entity
location of | http://purl.obolibrary.org/obo/RO_0001015 | RO | a relation between two independent continuants, the location and the target, in which the target is entirely within the location
located in | http://purl.obolibrary.org/obo/RO_0001025 | RO | a relation between two independent continuants, the target and the location, in which the target is entirely within the location
2D boundary of | http://purl.obolibrary.org/obo/RO_0002000 | RO | a relation between a 2D immaterial entity (the boundary) and a material entity, in which the boundary delimits the material entity
has 2D boundary | http://purl.obolibrary.org/obo/RO_0002002 | RO | a relation between a material entity and a 2D immaterial entity (the boundary), in which the boundary delimits the material entity
member of | http://purl.obolibrary.org/obo/RO_0002350 | RO | is member of is a mereological relation between a item and a collection.
has member | http://purl.obolibrary.org/obo/RO_0002351 | RO | has member is a mereological relation between a collection and an item.
#
# ── GeoCore ──
#
generated by | https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000013 | GeoCore | A relation between an 'earth material' or 'geological object', and a process, in which the continuant was generated by the process
generated in | https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000014 | GeoCore | The Geological Time Interval in which the object was generated.
has age | https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000015 | GeoCore | The relation between a Geological Object and its Geological Age.
age of | https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000016 | GeoCore | The relation between a Geological Age and a Geological Object. Inverse of has age relation.
constituted by | https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017 | GeoCore | The relation between some material entity and the material that it is made of.
#
# ── GeoReservoir ──
#
has contact position | https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000044 | GeoReservoir | (no definition in source)
has contact type | https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000045 | GeoReservoir | (no definition in source)
has geometry type | https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000046 | GeoReservoir | (no definition in source)
has base geometry | https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000047 | GeoReservoir | (no definition in source)
has top geometry | https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000048 | GeoReservoir | (no definition in source)
