Sheet,Row_ID,Term,Order,Context_Used_A,NLD_A,NLD_B,Assigned_Category,Tier,Conditions,Parent_Term,Category,Relationship_Type,Is_Intermediate
NLD_Quality,NLD-011,pre-salt section,B_first,True,"Pre-salt section is a tectono-stratigraphic interval that was deposited during the syn-rift and sag phases of continental rifting and is stratigraphically positioned beneath an extensive evaporite layer. In the context of the Brazilian passive margin, this section is predominantly of Aptian age and is characterized by highly productive lacustrine carbonate reservoirs, such as those of the Barra Velha Formation.",The pre-salt section is a Neocomian to Barremian/Early Aptian stratigraphic succession that was deposited in a rift basin setting prior to the widespread deposition of the Aptian evaporite (salt) layer in the South Atlantic marginal basins. This section encompasses the syn-rift and sag phases of basin evolution and hosts the prolific lacustrine carbonate reservoirs and source rocks that constitute the primary petroleum system of Brazil's offshore basins.,,,,,,,
NLD_Quality,NLD-012,ariri formation,B_first,True,"The Ariri Formation is an Aptian-age lithostratigraphic unit that consists of a thick succession of stratified, marine-derived evaporites which forms the regional seal for the Brazilian Pre-Salt petroleum system. It overlies the lacustrine carbonates of the Barra Velha Formation across a major erosional unconformity and is characterized by significant halokinesis, forming complex salt walls and diapiric structures.","The Ariri Formation is a Late Cretaceous stratigraphic unit of the Santos Basin's post-salt succession that is primarily composed of organic-rich shales, marls, and calcilutites. Deposited under anoxic marine conditions during a major regional transgression, this unit represents the primary source rock for the post-salt petroleum system and is positioned stratigraphically between the underlying Itajaí-Açu Formation and the overlying Santos Formation.",,,,,,,
NLD_Quality,NLD-013,marine system,B_first,True,"A marine system is a depositional system that is directly connected to and influenced by the global ocean. Its depositional architecture and facies are primarily controlled by eustatic sea-level fluctuations, oceanic chemistry, and global tectonic processes, in contrast to lacustrine systems which are governed by local climate, tectonics, and catchment-area inputs.","A marine system is a geological system that comprises the depositional environments, sedimentary processes, and biological activity occurring within oceans, seas, or other bodies of saline water. Such systems are critical for the formation of many conventional petroleum systems, depositing organic-rich source rocks in anoxic basins and forming extensive carbonate and clastic reservoirs. This is distinct from the giant lacustrine systems, characterized by saline-to-hypersaline lakes, where the Brazilian pre-salt reservoirs were deposited.",,,,,,,
NLD_Quality,NLD-014,evaporitic lake,B_first,True,"An evaporitic lake is a lacustrine depositional system that is characterized by evaporation rates exceeding water inflow, resulting in an under-filled basin with significant chemical sedimentation. In the context of the Brazilian Pre-Salt, these environments are typically shallow, alkaline, and saline, promoting the precipitation of distinctive chemogenic carbonates like calcite shrubs and spherulites within Mg-silicate matrices.","An evaporitic lake is a lacustrine depositional environment that is characterized by net evaporation rates exceeding water inflow, leading to the concentration of dissolved solids and the chemical precipitation of evaporite minerals. These environments, common in arid rift settings, are responsible for depositing thick sequences of halite and anhydrite that form the regional seal for major petroleum systems, such as the Aptian salt overlying the Brazilian Pre-Salt reservoirs.",,,,,,,
NLD_Quality,NLD-015,depocenter,A_first,True,"Depocenter is an area within a sedimentary basin that is characterized by the maximum thickness of accumulated sediment. In rift basins such as the Brazilian Pre-Salt, depocenters are typically structurally controlled by active fault systems, and their locations can migrate through geologic time in response to evolving tectonic subsidence.","A depocenter is an area within a sedimentary basin that is characterized by the maximum accumulation of sediment for a specific stratigraphic interval. The location of depocenters can migrate over time due to tectonic subsidence, sediment supply changes, or base-level fluctuations. Identifying these areas is critical in petroleum exploration as they often correspond to zones of optimal source rock maturation and the thickest development of potential reservoir facies.",,,,,,,
NLD_Quality,NLD-016,sag phase,B_first,True,"The sag phase is a tectono-stratigraphic interval in basin evolution that follows the main syn-rift stage and is characterized by a broad, regional depression driven predominantly by thermal subsidence with minimal fault activity. In the context of the South Atlantic Pre-Salt, this Aptian-age phase encompasses the deposition of the lacustrine to transitional marine carbonates of the Barra Velha Formation and the overlying evaporites of the Ariri Formation. This phase creates a wide, saucer-shaped basin geometry that contrasts with the fault-bounded grabens of the preceding syn-rift stage.","Sag phase is a stage of basin evolution that occurs after the cessation of active extensional faulting in a rift system. This phase is driven by broad, regional subsidence due to thermal cooling and contraction of the previously thinned lithosphere. It is characterized by the deposition of a widespread sedimentary sequence that drapes over the underlying rift structures, which in the Brazilian Pre-Salt context includes the Aptian salt layer that forms the primary regional seal.",,,,,,,
NLD_Quality,NLD-017,silica cement,A_first,True,"Silica cement is an authigenic mineral precipitate that consists of silica minerals, such as chalcedony and quartz, which precipitate from pore fluids to occlude primary or secondary porosity. In Pre-Salt lacustrine carbonates, it can precipitate syndepositionally or during early diagenesis due to changes in lake water chemistry, or later during burial, commonly lining vugs and occluding inter-particle porosity.","Silica cement is a type of authigenic mineral precipitate that is composed of silica (SiO2) and fills the pore spaces of a sedimentary rock, binding the grains together. It commonly occurs as syntaxial quartz overgrowths on detrital quartz grains or as microcrystalline quartz (chert) and chalcedony, and its precipitation generally reduces reservoir quality by occluding primary and secondary porosity.",,,,,,,
NLD_Quality,NLD-018,laminite,B_first,True,"Laminite is a finely laminated sedimentary carbonate rock that is typically of microbial origin and deposited in a shallow-water lacustrine setting. In the Brazilian Pre-Salt, this facies is considered an indicator of shallow, hyper-alkaline lake environments and often forms the basal component of shallowing-upwards cycles, representing a flooding stage. These microbial laminites are frequently associated with stromatolites and can be sharply overlain by grainstones or shrub facies within depositional sequences.","Laminite is a fine-grained sedimentary rock that is characterized by a sequence of thin, parallel layers or laminae, typically less than one centimeter in thickness. These laminae often reflect cyclical variations in depositional conditions, such as microbial mat growth alternating with chemical precipitates in a lacustrine setting. In the Brazilian Pre-Salt, microbial laminites are significant as they can constitute both source rocks and sealing intervals.",,,,,,,
NLD_Quality,NLD-019,albian,A_first,True,"Albian is a geochronologic age of the Early Cretaceous Epoch that followed the Aptian Age, spanning from approximately 113 to 100.5 million years ago. In the context of the South Atlantic marginal basins, the Albian marks the onset of the post-rift drift phase, characterized by the deposition of platform to deep basin carbonates under open marine conditions. This age is stratigraphically represented by the deposition of the Ariri Formation evaporites and the overlying Guarujá Formation carbonates, which seal the underlying Aptian pre-salt reservoirs.","Albian is a geological age that constitutes the final stage of the Early Cretaceous epoch, spanning the time interval from approximately 113 to 100.5 million years ago. In the context of the South Atlantic margins, the Albian marks the major marine transgression over the Aptian salt, establishing open marine conditions and initiating the deposition of significant post-salt carbonate sequences.",,,,,,,
NLD_Quality,NLD-020,fan delta,A_first,True,"A fan delta is a delta that is formed by the progradation of an alluvial fan directly into a standing body of water. In the context of the Brazilian Pre-Salt, these features are associated with syn-depositional faulting along the margins of underfilled, alkaline lacustrine basins and are considered potential reservoir facies within the Barra Velha Formation.","A fan delta is a clastic depositional system that is formed where an alluvial fan progrades directly into a standing body of water, such as a lake or sea. It is characterized by a triangular or fan-shaped morphology and coarse-grained, poorly sorted sediments deposited on a steep subaqueous slope. These systems are common along tectonically active margins, such as the fault-bounded borders of rift basins, and can form significant reservoirs.",,,,,,,
NLD_Quality,NLD-021,source rock,A_first,True,"Source rock is a sedimentary rock that contains sufficient organic matter to generate and expel hydrocarbons when subjected to heat and pressure. In the Brazilian Pre-Salt, the primary source rocks are organic-rich calcareous shales deposited in distal lacustrine environments, such as those of the Itapema Formation. These rocks form a critical component of a petroleum system, providing the hydrocarbon charge for adjacent or overlying reservoir rocks.","Source rock is a fine-grained sedimentary rock that contains sufficient organic matter to generate and expel hydrocarbons upon reaching thermal maturity. These rocks, typically organic-rich shales or carbonates, are deposited in anoxic environments that preserve the organic material from degradation, forming a fundamental element of a petroleum system.",,,,,,,
NLD_Quality,NLD-022,lacustrine carbonate,A_first,True,"Lacustrine carbonate is a sedimentary rock that is composed primarily of carbonate minerals precipitated or accumulated within a lacustrine (lake) environment. In the context of the South Atlantic Pre-Salt, these are typically alkaline carbonates formed during the Aptian rift phase, where deposition was driven by a combination of microbial activity and widespread abiotic chemical precipitation influenced by mantle-derived CO2 and volcanism. These deposits can form extensive platform-like geometries and constitute the primary reservoir rock in the region.","A lacustrine carbonate is a carbonate rock that is formed through chemical or biogenic precipitation of minerals within a lake environment. These rocks are the primary reservoir type in the Brazilian Pre-Salt, where they were deposited in large, saline, alkaline rift lakes. Their composition includes a wide range of facies, from microbialites to abiotic precipitates and coquinas, creating complex and heterogeneous reservoir systems.",,,,,,,
NLD_Quality,NLD-023,coquina,B_first,True,"Coquina is a bioclastic carbonate rock that is predominantly composed of reworked and accumulated mollusk shells, primarily bivalves and gastropods. Typically occurring as grainstones, packstones, and rudstones deposited in lacustrine rift settings, these rocks form important Pre-Salt reservoirs with significant moldic, vuggy, and intergranular porosity.","Coquina is a sedimentary carbonate rock that is composed almost entirely of accumulated and cemented mollusk shells and their fragments. In the Brazilian Pre-Salt, these rocks consist mainly of bivalve and gastropod bioclasts deposited in saline to brackish lacustrine systems, forming significant reservoir facies due to high primary and diagenetic porosity.",,,,,,,
NLD_Quality,NLD-024,salt deposition,B_first,True,"Salt deposition is a sedimentary process that involves the accumulation of evaporite minerals, such as halite and anhydrite, from the precipitation of a restricted and hypersaline body of water. In the context of the South Atlantic margins, this widespread event occurred during the Late Aptian, marking the transition from the rift phase to the passive margin and forming a regional seal over the pre-salt carbonate reservoirs. The rapid accumulation of thick salt sequences induced significant crustal loading and subsidence, creating a mobile salt layer that profoundly influenced subsequent post-salt structural development.","Salt deposition is a sedimentary process that involves the precipitation of evaporite minerals, primarily halite, from a body of water that has become supersaturated through evaporation. This process occurs in restricted basins under arid climatic conditions, and in the South Atlantic, the massive Aptian salt deposition formed the regional seal for the underlying Pre-Salt hydrocarbon systems.",,,,,,,
NLD_Quality,NLD-025,flood basalt,A_first,True,"Flood basalt is an extensive succession of basaltic lava flows that results from the voluminous extrusion of mafic magma onto a continental surface, often associated with rifting. In the context of the South Atlantic margin, these tholeiitic basalts, such as those of the Cabiúnas and Camboriú Formations, were extruded during the early rift phase and constitute the economic basement for the overlying Pre-Salt carbonate reservoirs.","Flood basalt is an extensive series of basaltic lava flows that erupts from non-explosive, fissure-fed volcanic systems, covering vast areas of land or the ocean floor. These eruptions form large igneous provinces (LIPs) and are characterized by their high volume, low viscosity, and rapid emplacement over geologically short time scales. In the context of the Brazilian Pre-Salt, the Paraná-Etendeka flood basalts represent the volcanic basement emplaced during the Early Cretaceous rifting of Gondwana, upon which the subsequent sag-phase lacustrine source and reservoir rocks were deposited.",,,,,,,
NLD_Quality,NLD-026,carbonate rock,B_first,True,"A carbonate rock is a class of sedimentary rock that is composed primarily of carbonate minerals, such as calcite, aragonite, or dolomite. These rocks are characterized by their chemical reactivity with dilute acid and can form through various biological, chemical, or detrital processes. In the Brazilian Pre-Salt, lacustrine carbonates, including coquinas and microbialites, constitute the primary reservoir facies.","Carbonate rock is a class of sedimentary rock that is composed primarily of carbonate minerals, most commonly calcite and dolomite. These rocks form from the accumulation of biogenic material, chemical precipitates, or transported carbonate grains in marine or lacustrine settings. They are classified based on depositional texture and constitute major petroleum reservoirs, such as those found in the Brazilian Pre-Salt.",,,,,,,
NLD_Quality,NLD-027,normal fault,A_first,True,"A normal fault is a dip-slip fault that accommodates crustal extension, characterized by the hanging wall block moving downward relative to the footwall block. In the Brazilian Pre-Salt basins, these faults are the primary structures formed during the Aptian rifting phase, typically exhibiting NNE to NE-SW strikes and bounding major rift blocks. They are fundamental in creating the horst and graben geometries that control the deposition and trapping of hydrocarbons within the pre-salt section.","A normal fault is a dip-slip fault in which the hanging wall block moves downward relative to the footwall block. This faulting results from extensional tectonic stress, causing crustal lengthening and thinning. In rift basins like the Brazilian Pre-Salt, extensive normal fault systems create the horst and graben structures that form the primary structural traps for hydrocarbon accumulations.",,,,,,,
NLD_Quality,NLD-028,lacustrine environment,A_first,True,"A lacustrine environment is a nonmarine depositional system, centered on a lake, that in the South Atlantic Pre-Salt is characterized by its physical separation from the open ocean and highly saline, alkaline water chemistry. These settings are identified by the absence of marine fossils, the presence of specific nonmarine fauna like ostracods, and authigenic minerals such as stevensite that indicate high pH. They host the deposition of significant carbonate reservoir rocks, including coquinas and microbialites, often interbedded with shales.","A lacustrine environment is a continental depositional environment that encompasses the physical, chemical, and biological conditions within and pertaining to a lake. In the context of the Brazilian Pre-Salt, these environments refer to extensive, saline to hypersaline rift lakes where unique alkaline water chemistry controlled the deposition of prolific microbial carbonate reservoirs. The resulting facies are influenced by water depth, climate, and tectonic activity.",,,,,,,
NLD_Quality,NLD-029,evaporite,A_first,True,"Evaporite is a chemical sedimentary rock that is formed by the precipitation of dissolved minerals from a body of water as it undergoes evaporation. In the Brazilian Pre-Salt, evaporites were deposited during the Aptian in both lacustrine and shallow marine settings and are primarily composed of halite and anhydrite, with Mg-rich clays also forming in some lacustrine environments. These deposits, particularly the thick, ductile halite sections, form the regional seal for the underlying carbonate reservoirs and control post-rift structural deformation through salt tectonics.","Evaporite is a chemical sedimentary rock that is formed by the precipitation of dissolved mineral salts, such as halite and anhydrite, from a concentrated aqueous solution due to evaporation. In the Brazilian Pre-Salt petroleum system, thick Aptian-age evaporite sequences act as the regional seal, trapping hydrocarbons within the underlying carbonate reservoirs.",,,,,,,
NLD_Quality,NLD-030,peloid,A_first,True,"A peloid is a sedimentary grain that is composed of microcrystalline to cryptocrystalline material, typically carbonate or Mg-silicate, and lacks a discernible internal structure. These sand-sized allochems are commonly rounded and can form through various mechanisms, including fecal pelleting, the micritization of other grains, or the aggregation of mud. In the context of the Brazilian Pre-Salt, both carbonate and Mg-silicate peloids are significant grain constituents in reservoir facies.","A peloid is a carbonate grain that is composed of microcrystalline or cryptocrystalline calcite or aragonite and lacks a discernible internal structure. Their origin is often polygenetic, including fecal pellets, micritized bioclasts, or microbial precipitates, and they are a common constituent of reservoir-quality grainstones and microbialites in lacustrine carbonate systems like the Brazilian Pre-Salt.",,,,,,,
NLD_Quality,NLD-031,syn-depositional faulting,B_first,True,"Syn-depositional faulting is a structural process that involves fault movement occurring contemporaneously with sedimentary deposition. This concomitance between structural activity and sedimentation creates accommodation space, resulting in thicker stratigraphic packages on the downthrown block of the fault. In sag basins like the Brazilian Pre-Salt, this process is a primary control on facies distribution and lateral variations in reservoir quality.","Syn-depositional faulting is a tectonic process that involves fault movement occurring contemporaneously with sediment deposition. This process directly influences sediment accommodation space, resulting in characteristic wedge-shaped geometries and abrupt changes in stratal thickness and facies across the fault, which is fundamental to the development of rift basin reservoirs like those in the Brazilian Pre-Salt.",,,,,,,
NLD_Quality,NLD-032,hydrothermal fluid,A_first,True,"A hydrothermal fluid is a hot subsurface fluid that circulates within the Earth's crust, driven by geothermal gradients to redistribute energy and mass. This fluid's circulation causes significant physico-chemical changes in pre-existing rocks, a process known as hydrothermal alteration or diagenesis. In the Brazilian Pre-Salt, these fluids often migrate upwards along faults, interacting with magmatic and basement rocks, and can substantially alter the porosity and permeability of carbonate reservoirs.","A hydrothermal fluid is a naturally occurring, heated aqueous solution that circulates through the Earth's crust, transporting dissolved minerals, metals, and gases. In sedimentary basins like the Brazilian Pre-Salt, these fluids are often associated with magmatic intrusions or deep-seated faults and can drive significant diagenetic alteration, including dolomitization and cementation, which impacts reservoir properties.",,,,,,,
NLD_Quality,NLD-033,clinoform,A_first,True,"A clinoform is a dipping, depositional stratigraphic surface that represents the advancing, down-sloping face of a prograding sedimentary or volcanic body. In the Pre-Salt context, they are identified on seismic data as prograding reflectors associated with carbonate platform margins, lava deltas, or fan deltas, although some apparent clinoforms can be seismic artifacts caused by steeply dipping salt bodies.","A clinoform is a depositional surface that exhibits a sigmoidal to oblique geometry in cross-section, representing the progradation of a depositional system into a basin. It is characterized by three distinct segments: a gently dipping topset, a steeply dipping foreset, and a very gently dipping bottomset, which grades into the basin floor. Within petroleum systems, clinoforms control the spatial distribution of facies, with reservoir-quality rocks often concentrated in the foreset and topset beds, while bottomset beds may act as source rocks or seals.",,,,,,,
NLD_Quality,NLD-034,marine environment,B_first,True,"A marine environment is a depositional environment that is influenced by oceanic waters, characterized by saline conditions and typically containing marine fauna such as foraminifera and echinoderms. In the context of the South Atlantic margin, the establishment of a marine environment marks the end of the lacustrine pre-salt depositional phase. This transition is often represented by a restricted, evaporitic shallow marine setting that deposited the Aptian salt layer, which was later succeeded by open marine conditions during the post-salt drift phase.","A marine environment is a depositional environment that is characterized by the presence of seawater. It is broadly classified by water depth and distance from shore into zones such as neritic, bathyal, and abyssal, each with distinct sedimentary, chemical, and biological characteristics that influence the potential for petroleum source and reservoir rock deposition.",,,,,,,
NLD_Quality,NLD-035,florianópolis high,B_first,True,"Florianópolis High is a regional structural high that defines the southern boundary of the Santos Basin, separating it from the Pelotas Basin on the southeastern Brazilian continental margin. This basement feature acted as a critical paleogeographic barrier during the Aptian, restricting marine circulation from the south and enabling the deposition of the extensive pre-salt evaporite sequence.","The Florianópolis High is a prominent basement high that separates the Santos Basin to the north from the Pelotas Basin to the south offshore southern Brazil. Composed of Precambrian to Paleozoic crystalline rocks, this first-order tectonic feature acted as a major structural control during the opening of the South Atlantic. It marks the southern boundary of the Aptian salt basin, thereby defining the southern limit of the prolific Pre-Salt petroleum province.",,,,,,,
NLD_Quality,NLD-036,deep water,B_first,True,"Deep water is a depositional environment within a lacustrine or marine basin that is characterized by sufficient depth and stratification to establish anoxic bottom conditions, typically occurring below the storm wave base. In the context of Brazilian Pre-Salt rift basins, this environment is associated with the deposition of organic-rich mudstones, which serve as the primary source rocks for the petroleum system. Structurally, these environments often correspond to the more distal, highly extended domains of the rifted margin.","Deep water is a marine or lacustrine depositional environment that is located basinward of the continental or platform shelf break, generally in water depths exceeding 200 meters. In petroleum geology, this environment is characterized by sediment gravity flows, such as turbidites and debrites, which can form significant hydrocarbon reservoirs in slope and basin floor settings.",,,,,,,
NLD_Quality,NLD-037,anhydrite,B_first,True,"Anhydrite is an evaporite mineral that is a major component of the Aptian salt section in the Santos Basin, characterized by its brittle mechanical behavior and high density. Within the Pre-Salt sequence, it commonly forms a dense, high-velocity basal layer to the main halite body, creating a strong seismic reflector that defines the base of the salt. Its presence in stratified salt cycles moderates halokinesis, leading to less intense salt deformation and thinner salt structures compared to regions dominated by ductile halite.","Anhydrite is an evaporite mineral that is composed of anhydrous calcium sulfate (CaSO₄). It is a key component of the Aptian salt succession in the South Atlantic basins, where it contributes to the regional seal overlying the Pre-Salt carbonate reservoirs. Anhydrite can also occur as a diagenetic cement within reservoir facies, which may occlude porosity and impact reservoir quality.",,,,,,,
NLD_Quality,NLD-038,geological record,A_first,True,"The geological record is the chronicle of Earth's history that is preserved within the sequence of rock strata, their internal structures, and the fossils they contain. This record provides the primary evidence for understanding past geological processes and environments, serving as a basis for comparison with unique depositional systems like the Brazilian Pre-Salt. It can refer to the entire history of the Earth as documented in rocks globally, or to a specific stratigraphic interval within a well or basin.","The geological record is the chronicle of Earth's history that is preserved in the sequence of rock strata, their contained fossils, and their structural relationships. Although inherently incomplete due to processes like erosion and non-deposition, it provides the fundamental evidence for reconstructing past environments, tectonic events, and the evolution of life, which is essential for resource exploration.",,,,,,,
NLD_Quality,NLD-039,tholeiitic basalt,A_first,True,"Tholeiitic basalt is an extrusive igneous rock of the tholeiitic magma series that, in the context of the Brazilian Pre-Salt, is associated with the Early Cretaceous rifting of the South Atlantic. These basalts form the economic basement as part of the Camboriú and Cabiúnas formations and also occur as volcanic flows interbedded within the pre-salt rift succession. Geochemically and temporally linked to the Paraná-Etendeka Large Igneous Province, these rocks represent the initial magmatic phase of the continental break-up.","Tholeiitic basalt is a common type of basaltic igneous rock that is characterized by a chemical composition relatively rich in iron and poor in alkalis, belonging to the tholeiitic magma series. It is the principal rock type composing the oceanic crust and is also voluminous in continental flood basalt provinces, such as the Paraná-Etendeka province which forms the basement for the Brazilian Pre-Salt basins.",,,,,,,
NLD_Quality,NLD-040,shallow lake,A_first,True,"A shallow lake is a lacustrine depositional system that is characterized by a low-gradient, ramp-like profile and highly evaporitic, alkaline water chemistry. In the context of the Brazilian Pre-Salt, this system is responsible for depositing the metre-scale, cyclic carbonate successions of the Barra Velha Formation, including key reservoir facies such as shrubstones and spherulites.","A shallow lake is a lacustrine depositional environment that is characterized by a relatively low water depth, which typically allows for light penetration to the lake floor. In the context of the South Atlantic Aptian rift, these environments were often extensive, saline to hypersaline, and subject to significant fluctuations in water level and chemistry. These conditions promoted the widespread precipitation of microbial and abiotic carbonates, which constitute the primary reservoir facies of the Pre-Salt succession.",,,,,,,
