Term,Category,Reasoning,NLD,Context_Used,Condition
cretaceous,Geological Time Interval,"The NLD defines Cretaceous as a specific geological period, which is a span of time from 145 to 66 million years ago.","Cretaceous is a geological period of the Mesozoic Era that spans from approximately 145 to 66 million years ago, following the Jurassic and preceding the Paleogene. This period is characterized by the rifting of Gondwana that formed the South Atlantic Ocean and the associated deposition of the economically significant pre-salt lacustrine carbonate successions in basins such as the Santos and Campos.",False,B
erosion,Geological Process,The NLD explicitly defines erosion as a geological process that wears away and transports rock and sediment.,"Erosion is a geological surface process that involves the wearing away and transport of rock, soil, and sediment by natural agents such as water, wind, ice, or gravity. This process is responsible for creating unconformities, which are significant surfaces in sequence stratigraphy that can form stratigraphic traps or act as barriers or conduits for fluid flow.",False,B
pre-salt,Depositional System,"The NLD describes the pre-salt as a large-scale tectono-stratigraphic sequence, which is best represented as a system of linked depositional units.","Pre-salt is a tectono-stratigraphic sequence that was deposited during the syn-rift and sag phases of a continental rift basin, stratigraphically underlying a thick and extensive evaporite layer. In the context of the Brazilian continental margin, this sequence corresponds to the Early Cretaceous lacustrine section deposited prior to the massive Aptian salt layer associated with the opening of the South Atlantic Ocean. It hosts world-class petroleum accumulations in unique carbonate reservoirs, primarily composed of microbialites and coquinas.",False,B
fracture,Geological Structure,"A fracture is a discontinuity that alters the internal arrangement and configuration of a rock body, fitting the definition of a Geological Structure.","A fracture is any planar or sub-planar discontinuity in a rock that forms due to stress causing a loss of cohesion across its surface. These features, which include joints and faults, can be open or mineralized and are critical in tight carbonate reservoirs like the Brazilian Pre-Salt, where they create secondary porosity and permeability networks that control fluid flow.",False,B
spherulite,Geological Object,"The NLD defines a spherulite as a discrete carbonate particle or grain, which is a type of small-scale, rigid entity with its own identity, fitting the definition of a Geological Object.","Spherulite is a non-skeletal carbonate particle that is characterized by a spherical to subspherical shape and an internal radial fabric of acicular crystals, typically calcite or aragonite. Within Brazilian Pre-Salt reservoirs, these grains are a primary constituent of high-porosity grainstones, where their formation is attributed to rapid abiotic precipitation in highly alkaline, carbonate-saturated lacustrine environments.",False,B
ariri formation,Depositional Unit,"The term refers to a stratigraphic unit, which is a mappable body of sedimentary rock, fitting the definition of a Depositional Unit.","The Ariri Formation is a Late Cretaceous stratigraphic unit of the Santos Basin's post-salt succession that is primarily composed of organic-rich shales, marls, and calcilutites. Deposited under anoxic marine conditions during a major regional transgression, this unit represents the primary source rock for the post-salt petroleum system and is positioned stratigraphically between the underlying Itajaí-Açu Formation and the overlying Santos Formation.",False,B
barremian,Geological Time Interval,The term is explicitly defined as a geologic age spanning a specific time interval within the Early Cretaceous epoch.,"Barremian is a geologic age of the Early Cretaceous epoch that spans the time interval from approximately 126.3 to 121.4 million years ago, following the Hauterivian and preceding the Aptian. In the context of the Brazilian Pre-Salt, this age corresponds to the main sag phase of rift basin development, during which the primary lacustrine carbonate reservoir facies, including coquinas and microbialites, were deposited.",False,B
basalt,Rock,"The term is defined as a type of igneous rock, which fits the GeoCore definition of Rock as a solid consolidated Earth Material.","Basalt is a mafic extrusive igneous rock that is characterized by its fine-grained (aphanitic) texture and composition rich in plagioclase and pyroxene minerals. In the context of the Brazilian Pre-Salt, basaltic lava flows are commonly interlayered with the sag-phase lacustrine carbonates, acting as vertical seals or flow baffles that compartmentalize reservoirs. These volcanic rocks can also be highly fractured, creating secondary porosity and permeability pathways.",False,B
carbonate reservoir,Sedimentary Geological Object,"The term describes a subsurface rock unit composed of carbonate rock (a type of sedimentary rock), which functions as a distinct geological body.","A carbonate reservoir is a subsurface rock unit that is composed predominantly of carbonate minerals and possesses sufficient porosity and permeability to store and transmit hydrocarbons. These reservoirs, typically limestones or dolostones, develop complex pore systems through depositional and diagenetic processes, which in lacustrine settings like the Brazilian Pre-Salt can form extensive vuggy and cavernous porosity.",False,B
coquina,Sedimentary Rock,"The term is explicitly defined as a type of cemented sedimentary rock composed of shell fragments, directly matching the definition of Sedimentary Rock.","Coquina is a sedimentary carbonate rock that is composed almost entirely of accumulated and cemented mollusk shells and their fragments. In the Brazilian Pre-Salt, these rocks consist mainly of bivalve and gastropod bioclasts deposited in saline to brackish lacustrine systems, forming significant reservoir facies due to high primary and diagenetic porosity.",False,B
diagenesis,Geological Process,"The NLD defines diagenesis as a collection of physical, chemical, and biological processes that alter sediments after deposition.","Diagenesis is the collective term for the physical, chemical, and biological processes that alter sediments after initial deposition and during and after lithification, but before the onset of metamorphism. These processes, which include compaction, cementation, dissolution, and mineral replacement, control the evolution of porosity and permeability in sedimentary rocks. In the context of Brazilian Pre-Salt carbonates, diagenetic alteration is a primary control on the creation, preservation, or destruction of reservoir quality.",False,B
early cretaceous,Geological Time Interval,"The NLD defines the term as a geological epoch, which is a specific span of time in Earth's history.","The Early Cretaceous is a geological epoch that spans the time from approximately 145 to 100.5 million years ago, comprising the first half of the Cretaceous Period. This epoch is characterized by the initial rifting and subsequent opening of the South Atlantic Ocean, which led to the formation of the restricted sag basins where the Brazilian Pre-Salt source and reservoir rocks were deposited. It includes the Barremian and Aptian ages, which are fundamental for understanding the stratigraphy of the Santos and Campos basins.",False,B
itapema formation,Depositional Unit,"The NLD describes a geological formation, which is a large-scale, mappable body of sedimentary rock, fitting the definition of a Depositional Unit.","The Itapema Formation is an Aptian-age geological formation that constitutes the lower part of the lacustrine carbonate succession of the Guaratiba Group in the Santos Basin, Brazil. Deposited in a saline to hypersaline lacustrine system, it is primarily composed of microbial carbonates (spherulites and shrubs) and bioclastic limestones (coquinas) that form prolific hydrocarbon reservoirs within the Pre-Salt section.",False,B
silica,Earth Material,"The NLD defines silica as a naturally occurring chemical compound (oxide of silicon) that constitutes minerals and rocks, fitting the definition of Earth Material.","Silica is a naturally occurring oxide of silicon (SiO₂) that exists in numerous crystalline and amorphous mineral forms, such as quartz, chert, and opal. In sedimentary systems, it can be a primary biogenic component, a detrital grain, or a diagenetic product that cements grains or replaces other minerals. Diagenetic silicification is a critical process in carbonate reservoirs, where it can significantly alter porosity and permeability by either occluding pore space or creating molds through the replacement of carbonate allochems.",False,B
subsidence,Geological Process,The NLD explicitly defines subsidence as a vertical downward movement and a process that creates accommodation space for deposition.,"Subsidence is the vertical downward movement of the Earth's surface that occurs relative to a specific datum, such as sea level. In the context of the Brazilian Pre-Salt, subsidence is primarily driven by crustal extension during the syn-rift phase and subsequent thermal cooling and contraction of the lithosphere during the post-rift sag phase. This process is fundamental for creating the accommodation space required for the deposition of thick lacustrine source rocks and carbonate reservoirs.",False,B
depocenter,site,A depocenter is an immaterial area or location within a basin defined by its relation to a material entity (sediment fill) and a specific property (maximum thickness).,"A depocenter is an area within a sedimentary basin that is characterized by the maximum accumulation of sediment for a specific stratigraphic interval. The location of depocenters can migrate over time due to tectonic subsidence, sediment supply changes, or base-level fluctuations. Identifying these areas is critical in petroleum exploration as they often correspond to zones of optimal source rock maturation and the thickest development of potential reservoir facies.",False,B
halite,Earth Material,"Halite is a naturally occurring mineral matter, which is a type of Earth Material that constitutes rocks like rock salt.","Halite is an evaporite mineral that is composed of sodium chloride (NaCl). It is the primary constituent of rock salt, which forms the thick, ductile Aptian salt layer that acts as the regional top seal for the Brazilian Pre-Salt petroleum system. The low permeability and plastic behavior of this extensive salt sequence are critical for trapping the vast hydrocarbon accumulations found in the underlying carbonate reservoirs.",False,B
hauterivian,Geological Time Interval,"The term refers to a specific, defined span of time within the geological timescale, which is the definition of a Geological Time Interval.","Hauterivian is a geological age of the Early Cretaceous Epoch that spans the time from approximately 132.9 to 129.4 million years ago. In the context of the Brazilian Pre-Salt, this age corresponds to the initial rifting phase of the South Atlantic, during which key lacustrine source rocks and early carbonate reservoir sequences were deposited.",False,B
microbialite,Sedimentary Rock,"The definition explicitly identifies microbialite as an organosedimentary rock, a specific type of rock constituted by sedimentary processes.","Microbialite is an organosedimentary rock that is formed by the trapping, binding, and/or precipitation of carbonate minerals due to the metabolic activities of microbial communities. In the context of the Brazilian Pre-Salt, these rocks are predominantly lacustrine carbonates that form complex buildups with diverse macroscopic fabrics, including laminated, clotted, and spherulitic textures. These microbial buildups constitute some of the most significant and productive reservoir intervals in the Aptian-age succession of the Santos and Campos basins.",False,B
reservoir,Sedimentary Geological Object,"A reservoir is defined as a subsurface rock body, which is a type of Geological Object, and in the context of petroleum systems, it is typically sedimentary.","A reservoir is a subsurface rock body that possesses sufficient porosity and permeability to store and transmit fluids. In a petroleum system, a reservoir contains an accumulation of hydrocarbons that are confined by an overlying, impermeable sealing rock. Significant reservoirs in the Brazilian Pre-Salt are found within lacustrine carbonate rocks, such as the microbialites and coquinas of the Barra Velha Formation.",False,B
seismic facies,Facies,"The term describes a mappable unit defined by a distinct pattern of seismic properties, which aligns with the definition of a Facies as a visual pattern of properties of Geological Objects.","A seismic facies is a mappable, three-dimensional seismic unit that is composed of a group of seismic reflections whose parameters, such as configuration, continuity, amplitude, and frequency, differ from those of adjacent units. The interpretation of these distinct seismic parameters allows for the inference of geological characteristics, including depositional processes, lithology, and fluid content within the corresponding rock body. In petroleum exploration, seismic facies analysis is a critical tool for predicting the distribution of reservoir, source, and seal rocks before drilling.",False,B
dissolution,Geological Process,"The NLD explicitly defines dissolution as a diagenetic process that modifies a geological object by removing mineral matter, which directly matches the definition of a Geological Process.","Dissolution is a diagenetic process that removes mineral matter by dissolving soluble minerals, such as calcite or aragonite, into a fluid. In carbonate reservoirs like the Brazilian Pre-Salt, this process is a primary mechanism for creating secondary porosity, often driven by the interaction of CO2-rich fluids with carbonate minerals. The resulting dissolution features, which range from vugs and molds to extensive cavern systems, can significantly enhance reservoir storage capacity and permeability.",False,B
salt deposition,Geological Process,"The NLD describes a sedimentary process involving the precipitation of minerals to form a geological body, which aligns perfectly with the definition of a Geological Process.","Salt deposition is a sedimentary process that involves the precipitation of evaporite minerals, primarily halite, from a body of water that has become supersaturated through evaporation. This process occurs in restricted basins under arid climatic conditions, and in the South Atlantic, the massive Aptian salt deposition formed the regional seal for the underlying Pre-Salt hydrocarbon systems.",False,B
calcite,Earth Material,"Calcite is a mineral, which is a type of natural, solid matter that constitutes geological objects like rocks, fitting the definition of Earth Material.","Calcite is a carbonate mineral that is the most stable polymorph of calcium carbonate (CaCO₃) and crystallizes in the trigonal system. It is the principal constituent of the lacustrine carbonate rocks, including microbialites and coquinas, that form the primary reservoirs in the Brazilian Pre-Salt. Calcite also occurs as a common diagenetic cement, which can significantly impact reservoir porosity and permeability by either occluding pore space or forming early, rigid frameworks that resist compaction.",False,B
clinoform,Geological Boundary,"The NLD defines a clinoform as a depositional surface, which corresponds to a physical discontinuity on the external surface of a geological object, fitting the definition of a Geological Boundary.","A clinoform is a depositional surface that exhibits a sigmoidal to oblique geometry in cross-section, representing the progradation of a depositional system into a basin. It is characterized by three distinct segments: a gently dipping topset, a steeply dipping foreset, and a very gently dipping bottomset, which grades into the basin floor. Within petroleum systems, clinoforms control the spatial distribution of facies, with reservoir-quality rocks often concentrated in the foreset and topset beds, while bottomset beds may act as source rocks or seals.",False,B
dolomite,Sedimentary Rock,The definition explicitly states the term is used to describe a sedimentary rock composed predominantly of the mineral dolomite.,"Dolomite is a carbonate mineral that is composed of calcium magnesium carbonate (CaMg(CO3)2). It typically forms through the diagenetic replacement of calcite or aragonite in precursor limestones, a process known as dolomitization. The term is also commonly used to describe the sedimentary rock (dolostone) composed predominantly of this mineral, which can form excellent reservoirs due to porosity enhancement during the replacement process.",False,B
economic basement,Geological Boundary,"The term defines a conceptual depth or limit for exploration, which is a type of fiat boundary defined by economic and geological factors.","Economic basement is a conceptual depth within the subsurface that defines the lower limit for commercially viable hydrocarbon exploration and production. This boundary is determined by factors such as the absence of petroleum system elements, degradation of reservoir quality, or drilling costs that render operations unprofitable. The economic basement may coincide with the geological basement but can also be situated within the sedimentary section where rocks are no longer considered prospective.",False,B
lacustrine environment,site,"The term describes the conditions and setting within a lake where deposition occurs, which fits the definition of a site as an immaterial entity defined by a material one.","A lacustrine environment is a continental depositional environment that encompasses the physical, chemical, and biological conditions within and pertaining to a lake. In the context of the Brazilian Pre-Salt, these environments refer to extensive, saline to hypersaline rift lakes where unique alkaline water chemistry controlled the deposition of prolific microbial carbonate reservoirs. The resulting facies are influenced by water depth, climate, and tectonic activity.",False,B
lake,site,"A lake is a large-scale geological feature consisting of a basin or depression, which is analogous to other topographical features classified as a site.","A lake is a large, inland body of water that occupies a basin or depression. In the context of the South Atlantic Pre-Salt, these were extensive, long-lived, rift-related lacustrine systems characterized by saline and alkaline water chemistry. These unique conditions favored the deposition of microbial carbonates and coquinas, which constitute the primary reservoir facies.",False,B
late aptian,Geological Time Interval,"The term is explicitly defined as a geochronologic subdivision and a time interval, which directly matches the definition of a Geological Time Interval.","Late Aptian is a geochronologic subdivision that represents the final part of the Aptian Age of the Early Cretaceous Epoch. This interval, spanning approximately from 117 to 113 million years ago, is stratigraphically significant in the South Atlantic marginal basins as it corresponds to the deposition of the organic-rich source rocks of the pre-salt petroleum system immediately preceding the major salt depositional event.",False,B
pre-alagoas unconformity,Geological Boundary,"The term is defined as a regional unconformity, which is a type of surface or physical discontinuity separating geological sequences.","The pre-alagoas unconformity is a regional unconformity that separates the syn-rift sequences of the Barremian-Aptian from the overlying sag-phase Alagoas sequence within the Brazilian marginal basins. This surface marks the end of the main rifting phase and the onset of thermal subsidence, representing a major tectono-stratigraphic boundary. It is often characterized by significant erosion and truncation of the underlying rift fault blocks, forming a crucial element in the structural and stratigraphic framework of the Pre-Salt petroleum system.",False,B
rift phase,Geological Process,"The term describes a tectonic stage involving a series of physical processes like lithospheric extension, thinning, and faulting that modify geological objects.","A rift phase is a tectonic stage that is characterized by the extension and thinning of continental lithosphere in response to tensional stresses, leading to the formation of rift valleys bounded by normal faults. This phase is associated with high heat flow, significant normal faulting creating horst and graben structures, and the development of restricted depositional environments. In the context of the South Atlantic's opening, this stage corresponds to the Neocomian and is responsible for creating the accommodation space where the lacustrine source and reservoir rocks of the Pre-Salt succession were deposited.",False,B
sag phase,Geological Process,"The term refers to a stage of basin evolution driven by physical processes like thermal subsidence, cooling, and widespread deposition.","Sag phase is a stage of basin evolution that occurs after the cessation of active extensional faulting in a rift system. This phase is driven by broad, regional subsidence due to thermal cooling and contraction of the previously thinned lithosphere. It is characterized by the deposition of a widespread sedimentary sequence that drapes over the underlying rift structures, which in the Brazilian Pre-Salt context includes the Aptian salt layer that forms the primary regional seal.",False,B
shale,Sedimentary Rock,The definition explicitly states that shale is a type of fine-grained clastic sedimentary rock.,"Shale is a fine-grained clastic sedimentary rock that is composed of clay- and silt-sized particles and exhibits fissility, a tendency to split into thin layers. Within the Brazilian Pre-Salt petroleum system, organic-rich lacustrine shales are the primary source rocks that generated the vast hydrocarbon accumulations. These shales can also function as critical vertical and lateral seals, trapping oil and gas within the carbonate reservoirs.",False,B
stevensite,Earth Material,"Stevensite is defined as a specific type of clay mineral, which is a form of natural, solid matter generated by geological processes.","Stevensite is a trioctahedral smectite clay mineral that is characterized by a magnesium silicate composition and a near-zero layer charge originating from vacancies in the octahedral sheet. In the context of Brazilian Pre-Salt reservoirs, it is a significant authigenic mineral that precipitates from magnesium-rich lacustrine brines, often forming spherulitic aggregates that can impact reservoir porosity.",False,B
shallow lake,site,"The term refers to a depositional environment, which is best described as a three-dimensional immaterial entity (a depression) whose boundaries are defined by surrounding land and which contains water and sediment.","A shallow lake is a lacustrine depositional environment that is characterized by a relatively low water depth, which typically allows for light penetration to the lake floor. In the context of the South Atlantic Aptian rift, these environments were often extensive, saline to hypersaline, and subject to significant fluctuations in water level and chemistry. These conditions promoted the widespread precipitation of microbial and abiotic carbonates, which constitute the primary reservoir facies of the Pre-Salt succession.",False,B
travertine,Sedimentary Rock,The definition explicitly identifies travertine as a type of carbonate rock formed through a process of chemical precipitation.,"Travertine is a freshwater carbonate rock that is formed by the rapid precipitation of calcium carbonate from geothermally heated, supersaturated groundwater, typically at hot springs or along fault systems. In the Brazilian Pre-Salt, these deposits are considered important non-traditional reservoirs, where their complex fabrics, ranging from dense crystalline crusts to porous dendritic or brecciated textures, are controlled by hydrothermal activity linked to rift tectonics.",False,B
clay,Sediment,"The term refers to fine-grained particles (<2 micrometers) that exist as an unconsolidated earth material, fitting the definition of sediment.","Clay is a group of hydrous aluminum phyllosilicate minerals that are characterized by a layered crystal structure and a particle size of less than 2 micrometers. In petroleum systems, clays are significant as they form the primary constituent of cap rocks and seals, and can also act as source rocks when rich in organic matter. Within reservoir intervals, the presence of authigenic or detrital clays can significantly reduce permeability and porosity by occluding pore throats.",False,B
grainstone,Sedimentary Rock,The definition explicitly identifies grainstone as a specific type of grain-supported sedimentary carbonate rock.,"Grainstone is a grain-supported sedimentary carbonate rock that is characterized by the absence of a micrite matrix. It forms in high-energy depositional environments where mud is winnowed away, and in the Brazilian Pre-Salt, its constituent grains can include spherulites, coated grains, and bioclasts, often resulting in excellent primary porosity and reservoir quality.",False,B
carbonate platform,Depositional System,"The term describes a large-scale body composed of an accumulation of linked carbonate depositional units, fitting the definition of a depositional system.","A carbonate platform is a large-scale sedimentary body that is built up primarily by the accumulation of in situ carbonate sediments within a shallow marine or lacustrine setting, creating a structure with significant topographic relief. These systems can be classified based on their geometry and relationship to the basin margin, including ramps, rimmed shelves, and isolated platforms. In the context of the Brazilian Pre-Salt, these features are extensive lacustrine systems where microbial and bioclastic carbonates accumulated, forming the primary hydrocarbon reservoirs.",False,B
permeability,quality,"The NLD defines permeability as a petrophysical property that quantifies a rock's ability to transmit fluids, which aligns with the BFO definition of a quality.","Permeability is a petrophysical property of a porous medium that quantifies its ability to transmit fluids. It is a function of the size, shape, and connectivity of the pores within the rock and is a critical factor controlling the flow of hydrocarbons to a wellbore.",False,B
porosity,quality,"The NLD defines porosity as a petrophysical property that quantifies the void space in a rock, which is a characteristic that inheres in a material entity, fitting the BFO definition of quality.","Porosity is a petrophysical property that quantifies the void space within a rock, expressed as the ratio of the pore volume to the total bulk volume. It is the fundamental rock property that determines the storage capacity for fluids such as oil, gas, or water. Porosity can be classified as primary (interparticle) or secondary (resulting from diagenetic processes like dissolution, dolomitization, or fracturing), with secondary porosity being particularly significant in carbonate reservoirs like the Brazilian Pre-Salt.",False,B
source rock,Sedimentary Rock,"The NLD explicitly defines a source rock as a type of sedimentary rock, making it a direct instance of the GeoReservoir category 'Sedimentary Rock'.","Source rock is a fine-grained sedimentary rock that contains sufficient organic matter to generate and expel hydrocarbons upon reaching thermal maturity. These rocks, typically organic-rich shales or carbonates, are deposited in anoxic environments that preserve the organic material from degradation, forming a fundamental element of a petroleum system.",False,B
rifting,Geological Process,"The NLD explicitly defines rifting as a tectonic process that modifies the lithosphere, which directly aligns with the definition of a 'Geological Process'.","Rifting is a tectonic process that involves the extension and thinning of the continental lithosphere in response to divergent plate motions. This process is characterized by the development of normal faults, horst-and-graben structures, and crustal subsidence, which creates accommodation space for thick sedimentary sequences. The Early Cretaceous rifting that led to the separation of South America and Africa is the fundamental tectonic event responsible for the formation of the basins containing the Brazilian Pre-Salt petroleum systems.",False,B
stromatolite,Sedimentary Structure,"The NLD defines a stromatolite as an 'organo-sedimentary structure' with a 'laminated fabric,' which aligns with the definition of a pattern of internal arrangement.","Stromatolite is an organo-sedimentary structure that is characterized by a laminated fabric formed by the trapping, binding, and precipitation of sediment by microbial mats. In the context of the Brazilian Pre-Salt, these structures are a major component of the lacustrine carbonate reservoirs, where their growth is influenced by water chemistry and their fabric contributes to reservoir porosity.",False,B
onlap,Sedimentary Structure,"The term describes a geometric pattern related to the termination and arrangement of strata, which are depositional units.","Onlap is a type of stratal termination that is characterized by the progressive updip termination of initially inclined younger strata against an older, more steeply dipping surface. This geometric pattern signifies a relative rise in base level, such as a transgression, and is a key criterion for identifying the base of a depositional sequence.",False,B
alkalinity,quality,"Alkalinity is a measurable chemical property, a capacity that inheres in a solution like water, which is an independent continuant.","Alkalinity is a measure of the capacity of a solution, such as lake or pore water, to neutralize acids. This capacity is primarily determined by the concentration of dissolved bases, especially bicarbonate (HCO₃⁻) and carbonate (CO₃²⁻) ions. In the context of Pre-Salt carbonate deposition, high alkalinity in the lacustrine water column is a critical factor that promotes the precipitation of calcium carbonate, leading to the formation of microbialites and other key reservoir facies.",False,B
reservoir quality,quality,"The term is defined as a measure of a rock's capacity to store and transmit fluids, which is a quality inhering in the rock.","Reservoir quality is a measure that quantifies a rock's capacity to store and transmit fluids, such as hydrocarbons and water. It is primarily determined by the rock's porosity, which governs storage capacity, and its permeability, which controls the ease of fluid flow. In petroleum systems, high reservoir quality is critical for economic hydrocarbon production and is influenced by depositional facies and subsequent diagenetic alterations.",False,B
camboriú formation,Geological Object,"A formation is a defined, mappable body of rock with its own identity and unity criteria, fitting the definition of a Geological Object.","Camboriú Formation is a stratigraphic formation of Aptian age that is composed predominantly of volcanic and volcaniclastic rocks marking the initial rifting stage in the Santos Basin, offshore Brazil. This unit unconformably overlies the Neoproterozoic crystalline basement and is considered the base of the Santos Basin sedimentary sequence, representing the initial volcanic expression of the South Atlantic opening.",False,B
carbonate factory,Depositional System,"The term describes a sedimentary system responsible for producing and distributing carbonate deposits, which aligns with the concept of a Depositional System.","A carbonate factory is a sedimentary system that produces carbonate sediments in situ through biological and/or chemical processes. In the context of the Brazilian Pre-Salt, these lacustrine factories were dominated by microbial and molluskan activity, controlling the type and distribution of carbonate deposits that form the primary reservoir facies.",False,B
carbonate rock,Sedimentary Rock,The NLD explicitly defines this term as a class of sedimentary rock composed primarily of carbonate minerals.,"Carbonate rock is a class of sedimentary rock that is composed primarily of carbonate minerals, most commonly calcite and dolomite. These rocks form from the accumulation of biogenic material, chemical precipitates, or transported carbonate grains in marine or lacustrine settings. They are classified based on depositional texture and constitute major petroleum reservoirs, such as those found in the Brazilian Pre-Salt.",False,B
evaporation,Geological Process,The NLD describes evaporation as a physical process that modifies geological materials by causing the precipitation of minerals.,"Evaporation is a physical process that involves the phase transition of a liquid into a vapor at a temperature below its boiling point. In a geological context, particularly within restricted basins like the South Atlantic during the Aptian, this process leads to the precipitation of evaporite minerals, such as halite and anhydrite, as water becomes supersaturated with dissolved salts. The resulting evaporite sequences form a critical regional seal, trapping hydrocarbons within the underlying carbonate reservoirs.",False,B
deep lake,Depositional System,"The NLD describes a lacustrine system where deposition of units and facies occurs, which aligns with the definition of a system composed of linked depositional units.","A deep lake is a lacustrine system that is characterized by significant water depth, leading to thermal and chemical stratification and the development of distinct depositional zones. In the context of the Brazilian Pre-Salt, these systems are typically large, tectonically controlled rift lakes with saline to hypersaline waters, where anoxic bottom conditions promote the preservation of organic-rich source rocks. The deposition of key reservoir facies, such as microbial carbonates, is often controlled by the bathymetric profile and water chemistry gradients within these deep lake settings.",False,B
hydrothermal fluid,Earth Fluid,"The NLD defines this as a naturally occurring, heated aqueous solution, which is a specific type of Earth Fluid.","A hydrothermal fluid is a naturally occurring, heated aqueous solution that circulates through the Earth's crust, transporting dissolved minerals, metals, and gases. In sedimentary basins like the Brazilian Pre-Salt, these fluids are often associated with magmatic intrusions or deep-seated faults and can drive significant diagenetic alteration, including dolomitization and cementation, which impacts reservoir properties.",False,B
facies,Facies,"The NLD describes a set of distinctive attributes of a rock body, which aligns with the definition of Facies as a visual pattern of properties.","Facies is a body of rock that is characterized by a distinctive set of lithological, sedimentological, and biological attributes reflecting its origin under specific depositional conditions. The concept is fundamental for interpreting depositional environments and predicting the spatial distribution and properties of reservoir units, such as the carbonate facies of the Brazilian Pre-Salt.",False,B
