Term,Category,Reasoning,NLD,Context_Used,Condition
south atlantic ocean,site,The South Atlantic Ocean is a three-dimensional immaterial entity whose boundaries are determined by continental landmasses and filled with water.,,False,C
thermal subsidence,Geological Process,Thermal subsidence is a physical process that modifies the shape and arrangement of the Earth's crust over time.,,False,C
tholeiitic basalt,Rock,"Tholeiitic basalt is a specific type of igneous rock, which is a solid, consolidated earth material.",,False,C
anhydrite,Sedimentary Rock,"Anhydrite is an evaporite mineral that forms extensive beds, classifying it as a type of chemical sedimentary rock.",,False,C
deposition,Geological Process,"Deposition is a geological process where material is added to a landform, which aligns with the definition of a Geological Process.",,False,C
graben,Geological Object,"A graben is a distinct, identifiable block of the Earth's crust, making it a Geological Object formed by tectonic processes.",,False,C
horst,Geological Object,"A horst is a distinct, raised block of the Earth's crust, which fits the definition of a Geological Object.",,False,C
hydrocarbon,Earth Fluid,"Hydrocarbons in a geological context are typically oil and gas, which are explicitly mentioned as examples of Earth Fluid.",,False,C
kwanza basin,Depositional System,"The Kwanza Basin is a large-scale sedimentary basin composed of numerous interconnected depositional units, which is the definition of a Depositional System.",,False,C
lithology,Facies,"Lithology describes the physical characteristics and properties of a rock, which aligns with the definition of a visual pattern of properties of a geological object.",,False,C
mound,Mound Unit,A mound is a specific type of depositional unit characterized by its mound-like geometry.,,False,C
mudstone,Sedimentary Rock,"Mudstone is a type of rock formed from consolidated mud or clay particles, fitting the definition of a sedimentary rock.",,False,C
ostracod,Geological Object,"An ostracod in a geological context is typically a fossil, which is a discrete, rigid entity generated by the geological process of fossilization.",,False,C
packstone,Sedimentary Rock,"Packstone is a specific classification for a grain-supported carbonate rock, which falls under the definition of a sedimentary rock.",,False,C
progradation,Geological Process,"Progradation is a geological process where a landform, such as a delta, grows outward into a body of water through deposition.",,False,C
reservoir facies,Sedimentary Facies,"Reservoir facies describes the sum of sedimentological characteristics of a rock unit that make it suitable as a reservoir, which is a type of Sedimentary Facies.",,False,C
siliciclastic,quality,"Siliciclastic is a quality that describes the composition of a rock or sediment, not the material entity itself.",,False,C
trap,Geological Structure,"A trap is a geological configuration of rock bodies that allows for the accumulation of hydrocarbons, which fits the definition of a Geological Structure.",,False,C
wackestone,Sedimentary Rock,"Wackestone is a specific type of matrix-supported carbonate sedimentary rock, fitting the definition of Sedimentary Rock.",,False,C
half-graben,Geological Object,"A half-graben is a large-scale structural body formed by tectonic processes, fitting the definition of a geological object.",,False,C
reflector termination,Geological Boundary,"A reflector termination marks the physical end of a seismic reflector, which corresponds to a physical discontinuity or geological boundary.",,False,C
seal,Sedimentary Rock,"A seal is a rock unit that prevents fluid migration, and it is most commonly a low-permeability sedimentary rock like shale or salt.",,False,C
tectonic activity,Geological Process,"Tectonic activity refers to the set of processes that deform the Earth's crust, which is a direct example of a geological process.",,False,C
rift section,Geological Object,"A rift section is a distinct, large-scale portion of a rift system, making it a geological object generated by tectonic processes.",,False,C
syn-depositional faulting,Geological Process,"The term describes a geological process, specifically faulting, that occurs concurrently with the process of deposition.",,False,C
tectonics,Geological Process,Tectonics refers to the large-scale geological processes that shape the Earth's crust and its features.,,False,C
normal fault,Geological Structure,"A normal fault is a type of fault, which is explicitly listed as an example of a Geological Structure.",,False,C
structural low,site,"A structural low is a region or space defined by its lower elevation relative to surrounding geological material, fitting the definition of a site.",,False,C
laminite,Sedimentary Rock,"A laminite is a type of rock formed from sediments and characterized by fine laminations, fitting the definition of a Sedimentary Rock.",,False,C
rudstone,Sedimentary Rock,A rudstone is a type of grain-supported carbonate sedimentary rock according to the Dunham classification.,,False,C
hydrothermal vent complex,object aggregate,"A hydrothermal vent complex is an aggregate of multiple distinct but related geological objects such as individual vents, chimneys, and mounds.",,False,C
alkaline lacustrine environment,site,"An alkaline lacustrine environment describes a location or setting (a lake) defined by its relationship to material entities, which fits the definition of a site.",,False,C
aquifer,Geological Object,"An aquifer is a distinct, three-dimensional body of rock or sediment defined by its hydrogeological properties, fitting the definition of a Geological Object.",,False,C
aragonite,Earth Material,"Aragonite is a naturally occurring mineral, which is a type of natural matter classified as Earth Material.",,False,C
desiccation,Geological Process,Desiccation is a physical process of drying that modifies geological materials like sediment.,,False,C
dolomitization,Geological Process,Dolomitization is a chemical process that modifies the composition of carbonate rocks.,,False,C
espírito santo basin,Geological Object,"A basin is a large-scale, identifiable geological entity where geological processes like sedimentation occur.",,False,C
facies association,Facies Association,"The term is an exact match for the GeoReservoir category 'Facies Association', which is a collection of facies.",,False,C
fault zone,Geological Structure,"A fault zone describes the structural arrangement and configuration of rocks deformed by faulting, fitting the definition of a Geological Structure.",,False,C
flood basalt,Rock,"Flood basalt is a type of igneous rock that covers a large area, fitting the definition of a solid, consolidated Earth Material.",,False,C
florianópolis high,Geological Structure,"A geological 'high' describes a large-scale structural feature, which is a configuration or arrangement of geological objects like rock layers.",,False,C
gneiss,Rock,"Gneiss is a specific type of high-grade metamorphic rock, which is a solid, consolidated Earth Material.",,False,C
hydrothermal vent,site,"A hydrothermal vent is a fissure or opening in the seafloor, fitting the definition of a site whose boundaries are determined by a material entity.",,False,C
intra-alagoas unconformity,Geological Boundary,An unconformity is a surface of erosion or non-deposition that acts as a physical discontinuity and boundary between rock units.,,False,C
lagoa feia group,Depositional System,"A stratigraphic group is an aggregate of related depositional units (formations), which fits the definition of a Depositional System.",,False,C
lake tanganyika,object,"Lake Tanganyika is a specific, identifiable material entity that maintains its identity through time, fitting the BFO definition of an object.",,False,C
marine carbonate,Sedimentary Rock,"The term describes a type of rock (carbonate) formed from sedimentary processes in a marine environment, which directly aligns with the definition of Sedimentary Rock.",,False,C
marl,Sedimentary Rock,"Marl is a type of consolidated earth material composed of sedimentary particles (clay and calcium carbonate), fitting the definition of a Sedimentary Rock.",,False,C
moldic porosity,quality,"Porosity is a measurable property that inheres in a rock, making it a specifically dependent continuant that fits the BFO definition of a quality.",,False,C
organic matter,Earth Material,"Organic matter is a natural amount of matter found within the Earth, which fits the definition of an Earth Material.",,False,C
post-rift phase,Geological Time Interval,"A 'phase' in a geological context refers to a period of time, which directly corresponds to a Geological Time Interval.",,False,C
post-rift sequence,Depositional System,"A sequence is an aggregate of mereotopologically linked depositional units, which fits the definition of a Depositional System.",,False,C
precambrian basement,Geological Object,"The basement is a large, distinct geological body with its own identity and boundaries, fitting the definition of a Geological Object.",,False,C
salt deposit,Sedimentary Geological Object,"A salt deposit is a geological body constituted by sedimentary rock (evaporite), which is the definition of a Sedimentary Geological Object.",,False,C
silicification,Geological Process,Silicification is a chemical process that modifies the composition of a geological object by introducing silica.,,False,C
texture,Facies,"Texture describes the visual pattern of properties in a rock, such as grain size and arrangement, which is the definition of a Facies.",,False,C
weathering,Geological Process,Weathering is a physical and chemical process that modifies and breaks down geological objects like rocks.,,False,C
deep water,site,"Deep water refers to a depositional environment, which is a location or site defined relative to other material entities.",,False,C
depositional facies,Sedimentary Facies,"The term is a direct synonym for Sedimentary Facies, which describes the sum of sedimentological characteristics of a depositional unit.",,False,C
fan delta,Depositional System,A fan delta is an aggregate of mereotopologically linked depositional units formed where an alluvial fan progrades into a body of water.,,False,C
gas,Earth Fluid,"Gas, in a geological context, is a natural fluid substance found in the Earth, which fits the definition of an Earth Fluid.",,False,C
lake water,Earth Fluid,"Lake water is a naturally occurring volume of fluid, which is a type of Earth Fluid.",,False,C
late cretaceous,Geological Time Interval,"The Late Cretaceous is a specific, named temporal region within the global geological time scale.",,False,C
lula field,site,An oil field is a three-dimensional site whose boundaries are determined by the location of material entities like reservoir rocks and hydrocarbons.,,False,C
marine environment,site,A marine environment is a three-dimensional immaterial entity (a volume of space) whose boundaries are determined by material entities like the seafloor and the water body it contains.,,False,C
ooid,Geological Object,"An ooid is a single, rigid, self-contained sedimentary grain that has its own identity criteria and is generated by a geological process.",,False,C
petroleum system,object aggregate,"A petroleum system is composed of a plurality of distinct geological objects (source rock, reservoir, seal) that together form a functional unit.",,False,C
platform,Depositional Unit,"A geological platform is a large-scale sedimentary body formed by deposition, making it a type of depositional unit recognizable at a mapping scale.",,False,C
pyramid lake,site,"A lake is a geographical feature best classified as a site, representing the basin whose boundaries are defined by surrounding land and which contains a material entity (water).",,False,C
sandstone,Sedimentary Rock,Sandstone is a classic example of a rock constituted by sedimentary grains or particles.,,False,C
shrub,object,"A shrub is a biological organism, which is a type of BFO object that maintains its identity through time.",,False,C
silica cement,Earth Material,Silica cement is a natural amount of solid matter generated by a geological process (cementation).,,False,C
south atlantic,fiat object part,"The South Atlantic is a part of a larger object (the Earth) demarcated by conventional, or fiat, boundaries.",,False,C
wave base,fiat surface,"Wave base is a conceptual, two-dimensional boundary whose location is determined by a process (wave action) within a body of water.",,False,C
basement high,Geological Object,"A basement high is a large-scale geological body, specifically an uplifted block of basement rock, which is a rigid entity with its own identity.",,False,C
climate change,Geological Process,Climate change is a series of physical processes that modify geological objects and environments over geological time.,,False,C
deformation,Geological Process,"Deformation is a process that modifies the shape, size, and arrangement of geological objects like rocks.",,False,C
gondwana,Geological Object,"Gondwana was an ancient supercontinent, which is a large-scale geological body with a distinct identity.",,False,C
oceanic crust,Rock,"Oceanic crust is a type of solid, consolidated Earth Material, specifically a collection of igneous rocks forming the seafloor.",,False,C
oil,Earth Fluid,"Oil is a naturally occurring fluid earth material, which is the definition of an Earth Fluid in GeoCore.",,False,C
pre-salt section,Depositional System,"A pre-salt section is an aggregate of multiple, linked depositional units that were deposited before a salt layer, fitting the definition of a Depositional System.",,False,C
tectono-stratigraphic evolution,Geological Process,"Tectono-stratigraphic evolution describes the series of geological processes, like tectonics and sedimentation, that modify geological objects over time.",,False,C
basin,site,"A basin is a three-dimensional depression in the Earth's crust that can contain material, which fits the BFO definition of a site.",,False,C
depositional model,generically dependent continuant,"A depositional model is a conceptual pattern or framework that can be copied and shared, fitting the BFO definition of a generically dependent continuant.",,False,C
erosional truncation,Geological Process,"The term describes erosion, a physical process that modifies the shape and arrangement of geological objects by cutting them off.",,False,C
facies variation,Facies Association,"This term describes a pattern of change between different facies, which implies the existence of a collective or association of related facies.",,False,C
post-depositional faulting,Geological Process,"The term describes faulting, a physical process that modifies the arrangement of geological objects, with a temporal constraint.",,False,C
carbonate mound,Mound Unit,"The term describes a depositional body with a mound-like geometry and specific composition, which is a type of Mound Unit.",,False,C
hanging wall,Geological Object,"A hanging wall is the block of rock (a rigid entity) that lies above an inclined fault, fitting the definition of a Geological Object.",,False,C
lacustrine setting,Depositional System,"A lacustrine setting is an environment composed of an aggregate of mereotopologically linked depositional units formed in a lake, which fits the definition of a Depositional System.",,False,C
macabu formation,Depositional Unit,"A geological formation is a fundamental, mappable body of rock, which aligns with the definition of a Depositional Unit recognizable at a mapping scale.",,False,C
magmatic event,Geological Process,"A magmatic event is a process involving magma that generates or modifies geological objects, such as igneous intrusions or volcanic eruptions.",,False,C
magmatism,Geological Process,"Magmatism refers to the collection of processes related to the origin, movement, and solidification of magma, which is a type of Geological Process.",,False,C
phanerozoic,Geological Time Interval,"The Phanerozoic is a specific eon on the geologic timescale, representing a defined temporal region within global geological time.",,False,C
precambrian,Geological Time Interval,"The Precambrian is a defined interval of geological time, representing the largest span of Earth's history.",,False,C
rift basin,Geological Object,"A rift basin is a large-scale, identifiable geological feature with clear boundaries, formed by the process of rifting.",,False,C
base salt,Geological Boundary,"The term refers to the basal surface or boundary of a salt body, which is a physical discontinuity on the external surface of a geological object.",,False,C
crystal shrub,Geological Structure,A crystal shrub describes a specific internal arrangement and configuration of crystals within a geological object like a carbonate rock.,,False,C
marine system,Depositional System,A marine system is a large-scale aggregate of genetically and spatially linked depositional units formed in a marine environment.,,False,C
silica nodule,Geological Object,"A silica nodule is a distinct, self-contained geological body with its own identity criteria, fitting the definition of a geological object.",,False,C
antecedent topography,Geological Boundary,"Antecedent topography describes the shape of a pre-existing geological surface, which acts as a boundary for subsequent geological processes like deposition.",,False,C
pre-salt play,generically dependent continuant,"A pre-salt play is a conceptual model or pattern of geological elements used for hydrocarbon exploration, which can be instantiated in multiple locations.",,False,C
cyclothem,Depositional System,"A cyclothem is an aggregate of genetically related depositional units (beds) formed during a single, complete sedimentary cycle.",,False,C
depositional setting,Geological Process,"A depositional setting is defined by the combination of physical, chemical, and biological processes that result in the accumulation of sediment.",,False,C
evaporitic lake,Earth Fluid,"An evaporitic lake is a body of water, which is classified as an Earth Fluid in a geological context.",,False,C
geological record,object aggregate,"The geological record is the total physical collection of rock strata, which can be modeled as an aggregate of many individual geological objects.",,False,C
hyper-alkaline lake,Earth Fluid,"A hyper-alkaline lake is a body of water, which is classified as an Earth Fluid in a geological context.",,False,C
microbial macrostructure,Sedimentary Structure,"A microbial macrostructure, such as a stromatolite, is a pattern of internal arrangement within a depositional unit, fitting the definition of Sedimentary Structure.",,False,C
microbial microstructure,Geological Structure,"A microbial microstructure describes the internal arrangement and configuration of the parts of a geological object at a microscopic scale, fitting the definition of Geological Structure.",,False,C
water depth,Thickness,"Water depth is a quality that represents the vertical dimension of a body of water, which aligns with the definition of Thickness as a one-dimensional extent.",,False,C
