id,kind,category,term,action,reason,probe1_genus_ok,probe2_bucket,probe3_rewrite,rigidity,identity,dependence,carried_by
23,taxonomy,Depositional System,lacustrine carbonate system,DROP_AS_REDUNDANT,"Parent 'lacustrine system' is already defined by carbonate accumulation in the Pre-Salt context, making this subclass extensionally equivalent and redundant.",False,None,,+R,-I,-D,
24,taxonomy,Dimension,permeability,KEEP,"Permeability is a dispositional quality, which is a valid subkind of petrophysical property (a quality).",True,None,,+R,-I,+D,
25,taxonomy,Dimension,petrophysical property,KEEP,A petrophysical property is a quality that inheres in rock; this is a valid and standard way to specialize 'quality'.,True,None,,+R,-I,+D,
26,taxonomy,Dimension,water depth,KEEP,Water depth is a quality of type length/distance. This is a valid subkind of quality.,True,None,,+R,-I,+D,
27,taxonomy,Dimension,lake level,DROP_AS_REDUNDANT,Near-synonym of sibling 'water depth' (id=26); 'water depth' is the more direct measure of depositional environment.,,,,,,,
28,taxonomy,Dimension,grain size,KEEP,Grain size is a quality of type length/diameter. This is a valid subkind of quality.,True,None,,+R,-I,+D,
29,taxonomy,Dimension,accommodation,REPARENT,"parent → role: NLD defines it by the role a spatial region plays ('space available for...'), a non-rigid property (~R) under a rigid parent (+R), violating OntoClean.",True,Role,spatial region has_role some SedimentAccommodationRole,~R,-I,+D,
30,taxonomy,Dimension,oil reserve,REPARENT,"parent → Earth Fluid: NLD and relation context (id 697) show it's a body of oil (an independent continuant), not a `quality` (a dependent continuant). This is a dependence violation.",False,Role,Earth Fluid has_role some CommerciallyRecoverableRole,~R,-I,+D,
31,taxonomy,Dimension,pore size,KEEP,"A valid subkind of petrophysical property, representing a specific physical dimension. Passes all checks.",True,None,,+R,-I,+D,
32,taxonomy,Dimension,quality,REPARENT,parent → specifically dependent continuant: A `quality` is a specifically dependent continuant. The parent `Dimension` incorrectly groups it with independent continuants like `spatial region`.,False,None,,+R,-I,+D,
33,taxonomy,Dimension,spatial region,DROP_AS_REDUNDANT,"Weak intermediate: child_count=1, so it does not serve a grouping function.",,,,,,,
34,taxonomy,Earth Fluid,fluid,KEEP,"The term 'fluid' is used here as a standard domain term for 'reservoir fluid', a valid sub-kind of 'Earth Fluid' acting as a parent for compositional types.",True,None,,+R,+I,-D,
35,taxonomy,Earth Fluid,hydrocarbon accumulation,REPARENT,"parent → Geological Object: Category error: A hydrocarbon accumulation is a geological object (an aggregate of fluid), not a kind of fluid material. The parent should be 'Geological Object'.",False,None,,+R,+I,-D,
36,taxonomy,Earth Fluid,Aqueous Fluid,KEEP,Genuine subkind based on composition ('water is the primary solvent'). Genus/differentia is clean.,True,None,,+R,+I,-D,
37,taxonomy,Earth Fluid,Organic Compound,DROP_AS_REDUNDANT,weak intermediate: child_count=1. The child 'hydrocarbon' can be parented directly to 'fluid'.,,,,,,,
38,taxonomy,Earth Fluid,hydrothermal fluid,REPARENT,"parent → role: OntoClean violation: term is anti-rigid (~R, fluid can cool and stop being hydrothermal) while parent 'Aqueous Fluid' is rigid (+R). The term describes a role.",True,Role,Aqueous Fluid has_role some HydrothermalFluidRole,~R,+I,+D,
39,taxonomy,Earth Fluid,marine water,KEEP,"Genuine subkind of Aqueous Fluid, defined by origin and specific geochemical composition.",True,None,,+R,-I,-D,
40,taxonomy,Earth Fluid,hydrocarbon,KEEP,"Genuine subkind of Organic Compound, defined by its specific chemical constitution (primarily H and C).",True,None,,+R,-I,-D,
41,taxonomy,Earth Fluid,organic acid,DROP_AS_MIXIN,"The differentia 'acidic' is a chemical disposition (Probe 2), not a basis for a subkind.",True,Disposition,Organic Compound has_disposition some Acidity,+R,-I,-D,"{""property"": ""has_disposition"", ""filler"": ""Acidity""}"
42,taxonomy,Earth Fluid,oil,KEEP,"While named for its liquid phase, 'oil' is a fundamental compositional subkind of hydrocarbon in this domain (longer-chain molecules).",True,None,,+R,-I,-D,
43,taxonomy,Earth Fluid,gas,KEEP,"Genuine subkind of hydrocarbon, defined by its composition ('low-molecular-weight hydrocarbons') as stated in the NLD.",True,None,,+R,-I,-D,
44,taxonomy,Earth Fluid,oil accumulation,KEEP,"Genuine sub-kind of its parent, distinguished by its primary material constituent (oil), which is a valid specialization.",True,None,,+R,+I,-D,
45,taxonomy,Body of Rock,reservoir,REPARENT,"parent → role: The term is defined by the function it performs ('store and transmit... hydrocarbons'), which is a role. It is anti-rigid (~R) and cannot be a subtype of a rigid parent like 'Body of Rock'.",True,Role,Body of Rock has_role some ReservoirRole,~R,+I,-D,
46,taxonomy,Body of Rock,carbonate reservoir,KEEP,"This is a valid sub-kind of 'reservoir', differentiated by its material constitution ('composed of carbonate rocks'). The is-a link is correct.",True,None,,~R,+I,-D,
47,taxonomy,Body of Rock,cabo frio high,CONVERT_TO_INSTANCE,"'Cabo Frio High' is a proper noun naming a specific, unique geological feature (Check 6).",True,None,,+R,+I,-D,
48,taxonomy,Body of Rock,basement,REPARENT,"parent → role: The term is defined by its relative position ('underlies the sedimentary rift sequence'), which is a role. It is anti-rigid (~R) and cannot be a subtype of a rigid parent like 'Body of Rock'.",True,Role,Body of Rock has_role some BasementRole,~R,+I,-D,
49,taxonomy,Body of Rock,gondwana,CONVERT_TO_INSTANCE,"'Gondwana' is a proper noun naming a specific, unique geological object (a former supercontinent) (Check 6).",True,None,,+R,+I,-D,
50,taxonomy,Body of Rock,florianopolis high,CONVERT_TO_INSTANCE,"Proper noun (Check 6). 'Florianopolis High' names a single, specific geological feature.",True,Site,,+R,+I,-D,
51,taxonomy,Body of Rock,seal,REPARENT,"parent → role: The NLD defines 'seal' by its function ('prevents... flow'), which is a role (Check 3, Probe 2). The kind is anti-rigid (~R).",True,Role,Body of Rock has_role some SealRole,~R,-I,+D,
52,taxonomy,Body of Rock,outer high,CONVERT_TO_INSTANCE,"Proper noun (Check 6). 'Outer High' names a single, specific basement structure in the Santos Basin.",True,Site,,+R,+I,-D,
53,taxonomy,Body of Rock,hanging wall,REPARENT,"parent → role: The NLD defines 'hanging wall' by its relational position ('lies structurally above an inclined fault plane'), which is a role (Check 3, Probe 2).",True,Role,fault block has_role some HangingWallRole,~R,-I,+D,
54,taxonomy,Body of Rock,silica nodule,KEEP,Genuine subkind. The differentia (composition of quartz) specifies a rigid subtype of Diagenetic Body.,True,None,,+R,+I,-D,
55,taxonomy,Body of Rock,lacustrine deposit,DROP_AS_MIXIN,"The differentia 'formed... within a lake environment' refers to a Site (Probe 2), making this a mixin.",True,Site,Sedimentary Deposit formed_in some LakeEnvironment,+R,+I,-D,"{""property"": ""formed_in"", ""filler"": ""LakeEnvironment""}"
56,taxonomy,Body of Rock,fault block,KEEP,"Genus/differentia is clean; the differentia 'bounded by faults' is a structural feature, making this a genuine subkind.",True,None,,+R,+I,-D,
57,taxonomy,Body of Rock,oceanic crust,KEEP,"This is a genuine subkind of Crust, distinguished by composition and origin, not just location. Probes do not indicate a mixin.",True,None,,+R,+I,-D,
58,taxonomy,Body of Rock,lacustrine carbonate reservoir,DROP_AS_MIXIN,"The differentia 'deposited in a lacustrine setting' refers to a Site (Probe 2), making this a mixin.",True,Site,carbonate reservoir formed_in some LacustrineEnvironment,~R,+I,+D,"{""property"": ""formed_in"", ""filler"": ""LacustrineEnvironment""}"
59,taxonomy,Body of Rock,lacustrine carbonate platform,DROP_AS_MIXIN,"The differentia 'within a lacustrine basin' refers to a Site (Probe 2), making this a mixin based on depositional environment.",True,Site,carbonate platform formed_in some LacustrineEnvironment,+R,+I,-D,"{""property"": ""formed_in"", ""filler"": ""LacustrineEnvironment""}"
60,taxonomy,Body of Rock,ribeira belt,CONVERT_TO_INSTANCE,"Proper noun naming a specific geological orogen, which is a single instance.",True,Site,basement located_in southeastern Brazil,+R,+I,-D,
61,taxonomy,Body of Rock,continental crust,KEEP,"Genuine subkind of Crust, distinguished by composition, thickness, and density.",True,None,,+R,+I,-D,
62,taxonomy,Body of Rock,host rock,REPARENT,parent → role: Describes the role a rock plays relative to other materials/processes (Probe 2); an anti-rigid (~R) kind under a rigid (+R) parent.,True,Role,Body of Rock has_role some HostRole,~R,+I,+D,
63,taxonomy,Body of Rock,calcite shrub,KEEP,"Genuine subkind of Diagenetic Body, defined by its specific morphology and composition.",True,None,,+R,+I,-D,
64,taxonomy,Body of Rock,basement high,KEEP,"Genuine subkind of Structural Body of Rock, specified by its composition (basement) and geometry (high).",True,None,,+R,+I,-D,
65,taxonomy,Body of Rock,footwall,KEEP,Fundamental geological kind defined by its structural position relative to a fault; a genuine subkind.,True,None,,+R,+I,+D,
66,taxonomy,Body of Rock,gondwana supercontinent,CONVERT_TO_INSTANCE,"Gondwana is a proper noun naming a specific, unique geological object (a former supercontinent).",True,None,,+R,+I,-D,
67,taxonomy,Body of Rock,aquifer,REPARENT,parent → role: An aquifer is a role played by a body of rock (being saturated and permeable); the kind is anti-rigid (~R) and cannot be a subtype of the rigid (+R) Body of Rock.,True,Role,Body of Rock has_role some AquiferRole,~R,+I,+D,
68,taxonomy,Body of Rock,fault zone,KEEP,"Genuine subkind of Structural Body of Rock, defined by its specific internal structure (core and damage zone).",True,None,,+R,+I,-D,
69,taxonomy,Body of Rock,tupi high,CONVERT_TO_INSTANCE,"Tupi High is a proper noun naming a specific, unique structural high in the Santos Basin.",True,None,,+R,+I,-D,
70,taxonomy,Body of Rock,carbonate deposit,KEEP,Genuine subkind of Sedimentary Deposit distinguished by its carbonate composition.,True,None,,+R,+I,-D,
71,taxonomy,Body of Rock,basement rock,DROP_AS_REDUNDANT,Vacuously restates parent 'basement'; NLDs are nearly identical and it adds no new differentia (Probe 1).,False,None,,+R,+I,-D,
72,taxonomy,Body of Rock,Crust,KEEP,Genuine subkind of Body of Rock defined by its large-scale geological position and context.,True,None,,+R,+I,-D,
73,taxonomy,Body of Rock,Diagenetic Body,DROP_AS_MIXIN,Mixin class; classifies a Body of Rock by a process it participated in (Probe 2).,True,Process,Body of Rock that participated_in some Diagenesis Process,+R,+I,-D,"{""property"": ""participated_in"", ""filler"": ""Diagenesis""}"
74,taxonomy,Body of Rock,Sedimentary Deposit,DROP_AS_REDUNDANT,"weak intermediate: child_count=1, provides no useful grouping.",,,,,,,
75,taxonomy,Body of Rock,Structural Body of Rock,KEEP,"Although the differentia is process-based (Probe 2), this is a standard pattern for classifying kinds in geology. The term is not vacuous or misplaced.",True,Process,Body of Rock that participated_in some (Tectonic or Deformational Process),+R,+I,-D,
76,taxonomy,Body of Rock,Supercontinent,DROP_AS_REDUNDANT,"weak intermediate: child_count=0, provides no useful grouping.",,,,,,,
77,taxonomy,Formation,Lithostratigraphic Unit,REPARENT,"parent → Body of Rock: The current parent `Formation` is a subtype of `Lithostratigraphic Unit`, not a supertype. The NLD states it is a 'body of rock'.",False,None,,+R,+I,-D,
78,taxonomy,Formation,barra velha formation,CONVERT_TO_INSTANCE,'barra velha formation' is a proper noun naming a specific geological formation.,True,None,,+R,+I,-D,
79,taxonomy,Formation,ariri formation,CONVERT_TO_INSTANCE,'ariri formation' is a proper noun naming a specific geological formation.,True,None,,+R,+I,-D,
80,taxonomy,Formation,itapema formation,CONVERT_TO_INSTANCE,'itapema formation' is a proper noun naming a specific geological formation.,True,None,,+R,+I,-D,
81,taxonomy,Formation,piçarras formation,CONVERT_TO_INSTANCE,'piçarras formation' is a proper noun naming a specific geological formation.,True,None,,+R,+I,-D,
82,taxonomy,Formation,camboriú formation,CONVERT_TO_INSTANCE,"Check 6: The term is a proper noun naming a specific geological formation, which is an instance of the class `Formation`.",False,Role,,+R,+I,-D,
83,taxonomy,Formation,macabu formation,CONVERT_TO_INSTANCE,"Check 6: The term is a proper noun naming a specific geological formation, which is an instance of the class `Formation`.",False,TemporalRegion,,+R,+I,-D,
84,taxonomy,Formation,coqueiros formation,CONVERT_TO_INSTANCE,"Check 6: The term is a proper noun naming a specific geological formation, which is an instance of the class `Formation`.",False,TemporalRegion,,+R,+I,-D,
85,taxonomy,Formation,cabiúnas formation,CONVERT_TO_INSTANCE,"Check 6: The term is a proper noun naming a specific geological formation, which is an instance of the class `Formation`.",False,TemporalRegion,,+R,+I,-D,
86,taxonomy,Formation,guarujá formation,CONVERT_TO_INSTANCE,"Check 6: The term is a proper noun naming a specific geological formation, which is an instance of the class `Formation`.",False,TemporalRegion,,+R,+I,-D,
87,taxonomy,Fossil,stromatolite,KEEP,"This is a genuine subkind of Organo-sedimentary Structure, differentiated by its specific microbial formation process (trapping, binding, precipitation).",True,None,,+R,+I,-D,
88,taxonomy,Fossil,ostracod,KEEP,"In a geological context, 'ostracod' is standard shorthand for the fossil. The parent 'Fossil' is correct for this usage, representing a fossil derived from an ostracod organism.",True,None,,+R,+I,-D,
89,taxonomy,Fossil,bioclast,REPARENT,parent → Sediment: The term 'clast' in bioclast indicates its primary nature is as a sedimentary particle. 'Sediment' is a more precise genus than the very broad 'Fossil'.,True,None,,+R,+I,-D,
90,taxonomy,Fossil,bivalve,REPARENT,"parent → Fossil: The term is categorized as a Fossil, but parented under Mollusk (an organism). A fossil is not a kind of organism. The correct parent in this ontology is Fossil.",True,None,,+R,+I,-D,
91,taxonomy,Fossil,oncoid,REPARENT,"parent → Sediment: The NLD defines an oncoid as a 'coated grain', which is a type of sedimentary particle (Sediment), not a large-scale 'Organo-sedimentary Structure' like a stromatolite.",True,None,,+R,+I,-D,
92,taxonomy,Fossil,gastropod,KEEP,"Genuine subkind of Mollusk; the differentia is a structural feature, not a separable BFO entity.",True,None,,+R,+I,-D,
93,taxonomy,Fossil,Mollusk,REPARENT,"parent → object: Category error: A Mollusk is a kind of organism (an object), not a kind of Fossil (the preserved remains of an organism). The NLD defines it as an animal.",False,None,,+R,+I,-D,
94,taxonomy,Fossil,Organo-sedimentary Structure,REPARENT,"parent → Geological Structure: The NLD explicitly defines the term as a 'geological structure', which is a more precise parent class than Fossil.",True,None,,+R,-I,-D,
95,taxonomy,Facies Association,facies association,KEEP,Definitional root of the Facies Association branch.,True,None,,+R,+I,-D,
96,taxonomy,Facies Association,rework facies,KEEP,Genuine subkind defined by the genesis of its constituent parts (reworking).,True,None,,+R,+I,-D,
97,taxonomy,Facies Association,reworked,DROP_AS_MIXIN,"Term is an adjective describing a separable Quality (Probe 2), better modeled as a property.",True,Quality,facies association has_quality some BeingReworked,+R,+I,-D,"{""property"": ""has_quality"", ""filler"": ""BeingReworked""}"
98,taxonomy,Facies Association,facies distribution,REPARENT,"parent → generically dependent continuant: NLD defines an 'arrangement' (a GDC), not a material 'facies association'. Category error.",False,None,,+R,-I,+D,
99,taxonomy,Facies Association,Sedimentary Succession,KEEP,"Genuine subkind of facies association, specializing on the 'vertical sequence' aspect.",True,None,,+R,+I,-D,
100,taxonomy,Facies Association,cyclothem,DROP_AS_REDUNDANT,Near-synonym of sibling 'depositional cycle' (id=101); both describe recurring vertical successions driven by environmental oscillations.,,,,,,,
101,taxonomy,Facies Association,depositional cycle,KEEP,"Passes all probes. It is a genuine subkind of Sedimentary Succession, distinguished by its recurring or oscillating nature.",True,None,,+R,+I,-D,
102,taxonomy,Geological Contact,onlap,KEEP,(implicit — not mentioned by critic),,,,,,,
103,taxonomy,Facies,facies,KEEP,(dedup reverted — survivor also dropped) Vacuously restates its parent 'Facies'; the term is a lowercase duplicate with an identical definition.,False,None,,+R,+I,-D,
104,taxonomy,Facies,lithofacies,KEEP,"(dedup reverted — survivor also dropped) Vacuously restates parent 'facies'. The parent is already defined by 'lithological characteristics', making the 'litho-' prefix redundant (Probe 1).",False,None,,+R,+I,-D,
105,taxonomy,Facies,rock type,REPARENT,"parent → Lithology: The NLD defines 'rock type' as a 'category of rock' (a kind of Lithology), which is not a subclass of 'facies' (a 'body of rock').",False,None,,+R,+I,-D,
106,taxonomy,Facies,lithotype,DROP_AS_REDUNDANT,"Vacuously restates its parent 'rock type'; the definitions are synonymous, describing a class of rock based on physical attributes (Probe 1).",False,None,,+R,+I,-D,
107,taxonomy,Geological Boundary,Stratigraphic Surface,DROP_AS_REDUNDANT,"weak intermediate: child_count=1, does not group multiple children.",,,,,,,
108,taxonomy,Geological Boundary,Seismic Boundary,DROP_AS_MIXIN,"Differentia 'identified...in a seismic dataset' is an extrinsic role (Probe 2), not an intrinsic kind.",True,Role,Geological Boundary is_represented_in some SeismicDataset,~R,-I,+D,"{""property"": ""is_represented_in"", ""filler"": ""Seismic Dataset""}"
109,taxonomy,Geological Boundary,unconformity,KEEP,"Genuine subkind defined by its genetic history (hiatus, erosion), not a mixin.",True,None,,+R,-I,+D,
110,taxonomy,Geological Boundary,pre-alagoas unconformity,CONVERT_TO_INSTANCE,"Proper noun naming a specific, unique regional unconformity (Check 6).",True,Site,,+R,+I,+D,
111,taxonomy,Geological Boundary,intra-alagoas unconformity,CONVERT_TO_INSTANCE,"Proper noun naming a specific, unique intra-formational unconformity (Check 6).",True,Site,,+R,+I,+D,
112,taxonomy,Geological Boundary,seismic horizon,KEEP,A seismic horizon is an interpreted and mapped seismic boundary. This is a valid subkind within the domain of seismic interpretation artifacts.,True,None,,~R,+I,+D,
113,taxonomy,Geological Boundary,seismic reflector,KEEP,"A seismic reflector is the specific data feature resulting from an impedance contrast, a valid subtype of a boundary represented in seismic data.",True,None,,~R,+I,+D,
114,taxonomy,Geological Boundary,base of salt,CONVERT_TO_INSTANCE,"The term refers to a specific, unique regional surface in the Brazilian Pre-Salt, making it a proper-noun individual, not a class.",True,Site,Stratigraphic Surface located_between some EvaporiteSequence and some PreSaltCarbonateSuccession,+R,+I,-D,
115,taxonomy,Geological Boundary,oil-water contact,REPARENT,"parent → continuant fiat boundary: Rigidity violation (Check 1): term is non-rigid (~R) as it depends on transient fluid distribution, while parent 'Geological Boundary' is rigid (+R).",False,None,,~R,+I,+D,
116,taxonomy,Geological Boundary,sequence boundary,REPARENT,"parent → Stratigraphic Surface: Parentage is inverted. NLD states a sequence boundary is 'typically an unconformity', not a subtype of it, and explicitly provides the correct genus 'stratigraphic surface'.",False,None,,+R,+I,-D,
117,taxonomy,Geological Boundary,sediment-water interface,KEEP,Genuine subkind of boundary defined by the entities it separates (sediment and water).,True,None,,+R,+I,+D,
118,taxonomy,Geological Boundary,salt base,CONVERT_TO_INSTANCE,"The term refers to a specific, unique regional surface, defined by its relation to 'the Aptian evaporite sequence', making it a proper-noun individual.",True,None,,+R,+I,+D,
119,taxonomy,Earth Material,Diagenetic Feature,KEEP,"A standard geological kind defined by its genesis. While the differentia is a process, this historical property is essential and defines a valid subkind, analogous to 'Artifact'.",True,Process,Earth Material that was_generated_by some Diagenesis,+R,-I,-D,
120,taxonomy,Earth Material,Evaporite Mineral,KEEP,"A standard geological classification based on formation process. The historical property is essential to the kind, making it a valid subkind of Mineral.",True,Process,Mineral that is_generated_by some EvaporationProcess,+R,+I,-D,
121,taxonomy,Earth Material,Mineral,KEEP,Genus/differentia clean; a genuine subkind of Earth Material that supplies an identity criterion.,True,None,,+R,+I,-D,
122,taxonomy,Earth Material,Sulfate Mineral,KEEP,Standard chemical classification of minerals based on an essential structural component; a genuine subkind.,True,None,,+R,+I,-D,
123,taxonomy,Earth Material,dolomite,KEEP,A specific mineral species correctly placed under its chemical group parent; the differentia is the specific chemical formula.,True,None,,+R,+I,-D,
124,taxonomy,Earth Material,silica,KEEP,Genus/differentia clean; a specific mineral kind defined by chemical composition (SiO2).,True,None,,+R,+I,-D,
125,taxonomy,Earth Material,stevensite,KEEP,Genus/differentia clean; a specific kind of clay mineral defined by its composition and structure.,True,None,,+R,+I,-D,
126,taxonomy,Earth Material,calcite,KEEP,Genus/differentia clean; a specific carbonate mineral defined by chemical composition (CaCO3).,True,None,,+R,+I,-D,
127,taxonomy,Earth Material,anhydrite,KEEP,Genus/differentia clean; a specific kind of evaporite mineral.,True,None,,+R,+I,-D,
128,taxonomy,Earth Material,quartz,KEEP,"Genus/differentia clean; quartz is a specific crystalline polymorph of silica (SiO2), a valid subkind.",True,None,,+R,+I,-D,
129,taxonomy,Earth Material,matrix,REPARENT,"parent → role: The term describes a structural role ('fills the interstitial space') played by a material, not a kind of material. The NLD confirms different materials can play this role (clays, dolomite).",True,Role,Earth Material has_role some MatrixRole,~R,+I,-D,
130,taxonomy,Earth Material,mg-clay,DROP_AS_REDUNDANT,"Redundant collective term for a group of its siblings (e.g., sepiolite, saponite); it does not represent a distinct mineral kind.",,,,,,,
131,taxonomy,Earth Material,organic matter,KEEP,"Organic matter is a genuine and fundamental subkind of Earth Material, distinguished by its biological origin and carbon-based composition.",True,None,,+R,+I,-D,
132,taxonomy,Earth Material,saddle dolomite,DROP_AS_MIXIN,"The term is defined by morphological qualities (curved faces, sweeping extinction), not by a change in fundamental kind. The parent NLD lists 'saddle' as a morphology.",True,Quality,dolomite has_quality some SaddleMorphology,+R,+I,-D,"{""property"": ""has_quality"", ""filler"": ""SaddleMorphology""}"
133,taxonomy,Earth Material,clay mineral,KEEP,"Clay mineral is a standard mineralogical sub-group of Mineral, defined by its phyllosilicate structure and composition. This is a genuine subkind.",True,None,,+R,+I,-D,
134,taxonomy,Earth Material,pyrite,KEEP,Standard mineralogical classification; a genuine subkind of sulfide based on chemical composition.,True,None,,+R,+I,-D,
135,taxonomy,Earth Material,cement,KEEP,"A valid, context-dependent subkind of diagenetic product, distinguished by its mode of occurrence (filling voids), which is consistent with the parent's classification scheme.",True,None,,~R,-I,+D,
136,taxonomy,Earth Material,kerolite,KEEP,Standard mineralogical classification; a genuine subkind of clay mineral.,True,None,,+R,+I,-D,
137,taxonomy,Earth Material,microcrystalline calcite,DROP_AS_MIXIN,"The term is defined by a quality (texture/crystal size), not a genuine subkind. The NLD explicitly calls it a 'textural variety'.",True,Quality,calcite has_quality some MicrocrystallineTexture,+R,-I,-D,"{""property"": ""has_quality"", ""filler"": ""MicrocrystallineTexture""}"
138,taxonomy,Earth Material,microcrystalline quartz,DROP_AS_MIXIN,"The term is defined by a quality (texture/crystal size), not a genuine subkind. The parent NLD for quartz lists this as a possible texture.",True,Quality,quartz has_quality some MicrocrystallineTexture,+R,-I,-D,"{""property"": ""has_quality"", ""filler"": ""MicrocrystallineTexture""}"
139,taxonomy,Earth Material,barite,KEEP,"Genuine subkind of Sulfate Mineral, specified by its chemical composition (barium sulfate).",True,None,,+R,+I,-D,
140,taxonomy,Earth Material,feldspar,KEEP,"Genuine subkind of Mineral, specified by its tectosilicate structure.",True,None,,+R,+I,-D,
141,taxonomy,Earth Material,talc,KEEP,"Genuine subkind of Mineral, specified by its chemical composition (magnesium silicate).",True,None,,+R,+I,-D,
142,taxonomy,Earth Material,calcite cement,KEEP,"Genuine subkind of cement, specified by its mineral composition (calcite).",True,None,,+R,+I,-D,
143,taxonomy,Earth Material,gypsum,KEEP,"Genuine subkind of Sulfate Mineral, specified by its chemical composition (hydrated calcium sulfate).",True,None,,+R,+I,-D,
144,taxonomy,Earth Material,silica cement,KEEP,"Genuine subkind of cement, distinguished by its chemical composition (silica).",True,None,,+R,+I,-D,
145,taxonomy,Earth Material,substrate,REPARENT,"parent → role: NLD defines a function ('serves as a foundation'), which is a Role (Probe 2). Anti-rigid child (~R) under a rigid parent (+R).",True,Role,Earth Material has_role some SubstrateRole,~R,+I,+D,
