Term,Category,Property,Property_IRI,Filler,Filler_Source,Confidence,Evidence,Validation_Status,Validation_Reason
dissolution,Geological Process,precedes,http://purl.obolibrary.org/obo/BFO_0000063,dolomitization,domain_term,0.8,influence subsequent diagenetic events such as dolomitization,ACCEPTED,Valid.
pre-salt,Stratigraphic Unit,generated_in,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000014,early cretaceous,domain_term,1.0,during the Early Cretaceous,ACCEPTED,Valid.
pre-salt,Stratigraphic Unit,located_in,http://purl.obolibrary.org/obo/BFO_0000171,lacustrine system,domain_term,1.0,Deposited in a lacustrine system,ACCEPTED,Valid.
pre-salt,Stratigraphic Unit,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,carbonate reservoir,domain_term,1.0,contains prolific carbonate reservoirs,ACCEPTED,Valid.
dolomitization,Geological Process,has_participant,http://purl.obolibrary.org/obo/BFO_0000057,calcite,domain_term,1.0,"replaces pre-existing minerals, such as calcite",ACCEPTED,Valid.
dolomitization,Geological Process,has_participant,http://purl.obolibrary.org/obo/BFO_0000057,stevensite,domain_term,1.0,"replaces pre-existing minerals, such as calcite or stevensite",ACCEPTED,Valid.
itapema formation,Formation,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,lacustrine carbonate,domain_term,1.0,characterized by the intercalation of lacustrine carbonates,ACCEPTED,Valid.
structural high,Site,generated_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000013,tectonic activity,domain_term,0.8,a tectonically-formed positive relief feature,ACCEPTED,Valid.
structural high,Site,continuant_part_of,http://purl.obolibrary.org/obo/BFO_0000176,reservoir,domain_term,0.8,form the core of major hydrocarbon accumulations and reservoirs,ACCEPTED,Valid.
grainstone,Sedimentary Rock,derives_from,http://purl.obolibrary.org/obo/RO_0001000,spherulitestone,domain_term,1.0,formed by the reworking of deposits like spherulitestones,ACCEPTED,Valid.
grainstone,Sedimentary Rock,derives_from,http://purl.obolibrary.org/obo/RO_0001000,shrubstone,domain_term,1.0,formed by the reworking of deposits like spherulitestones and shrubstones,ACCEPTED,Valid.
grainstone,Sedimentary Rock,constituted_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,bioclast,domain_term,1.0,"its constituent grains include spherulites, peloids, bioclasts",ACCEPTED,Valid.
evaporite,Sedimentary Rock,generated_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000013,evaporation,domain_term,1.0,formed by the precipitation of mineral salts from a body of water that has become concentrated by evaporation,ACCEPTED,Valid.
evaporite,Sedimentary Rock,constituted_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,halite,domain_term,1.0,predominantly composed of halite and anhydrite,ACCEPTED,Valid.
evaporite,Sedimentary Rock,constituted_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,anhydrite,domain_term,1.0,predominantly composed of halite and anhydrite,ACCEPTED,Valid.
unconformity,Geological Boundary,generated_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000013,erosion,domain_term,1.0,caused by erosion or non-deposition,ACCEPTED,Valid.
dolomite,Earth Material,located_in,http://purl.obolibrary.org/obo/BFO_0000171,pre-salt reservoir,domain_term,1.0,occurs extensively in Brazilian Pre-Salt reservoirs,ACCEPTED,Valid.
dolomite,Earth Material,generated_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000013,replacement,domain_term,0.8,occurs ... as a ... diagenetic replacement phase,ACCEPTED,Valid. | Warnings: Evidence is paraphrased (not exact quote from NLD). Word overlap: 71%.
dolomite,Earth Material,generated_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000013,cementation,domain_term,0.8,occurs ... as a ... pore-filling cement,ACCEPTED,Valid. | Warnings: Evidence is paraphrased (not exact quote from NLD). Word overlap: 67%.
diagenesis,Geological Process,has_participant,http://purl.obolibrary.org/obo/BFO_0000057,sediment,domain_term,1.0,"alter the original texture, mineralogy, and chemical composition of sediments",ACCEPTED,Valid.
diagenesis,Geological Process,occurs_in,http://purl.obolibrary.org/obo/BFO_0000066,lacustrine carbonate,domain_term,1.0,In Brazilian Pre-Salt lacustrine carbonates,ACCEPTED,Valid.
diagenesis,Geological Process,has_occurrent_part,http://purl.obolibrary.org/obo/BFO_0000117,dissolution,domain_term,1.0,key diagenetic processes include the dissolution,ACCEPTED,Valid.
diagenesis,Geological Process,has_occurrent_part,http://purl.obolibrary.org/obo/BFO_0000117,cementation,domain_term,1.0,key diagenetic processes include ... cementation by calcite and dolomite,ACCEPTED,Valid. | Warnings: Evidence is paraphrased (not exact quote from NLD). Word overlap: 80%.
barremian,Geological Time Interval,occurrent_part_of,http://purl.obolibrary.org/obo/BFO_0000132,early cretaceous,domain_term,1.0,Barremian is a geological age of the Early Cretaceous epoch,ACCEPTED,Valid.
barremian,Geological Time Interval,occurrent_part_of,http://purl.obolibrary.org/obo/BFO_0000132,syn-rift,domain_term,0.8,corresponds to a critical syn-rift period,ACCEPTED,Valid.
silica,Earth Material,derives_from,http://purl.obolibrary.org/obo/RO_0001000,host rock,domain_term,0.8,as a replacement of the host rock,ACCEPTED,Valid.
silica,Earth Material,generated_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000013,cementation,domain_term,0.8,as pore-lining and pore-filling cements,ACCEPTED,Valid.
silicification,Geological Process,has_participant,http://purl.obolibrary.org/obo/BFO_0000057,host rock,domain_term,1.0,replaces host rock minerals,ACCEPTED,Valid.
silicification,Geological Process,occurs_in,http://purl.obolibrary.org/obo/BFO_0000066,lacustrine carbonate,domain_term,1.0,"In the Brazilian Pre-Salt lacustrine carbonates, this process manifests",ACCEPTED,Valid.
piçarras formation,Formation,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,conglomerate,domain_term,1.0,characterized by proximal alluvial fan deposits of conglomerates,ACCEPTED,Valid.
piçarras formation,Formation,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,sandstone,domain_term,1.0,characterized by proximal alluvial fan deposits of conglomerates and sandstones,ACCEPTED,Valid.
hauterivian,Geological Time Interval,occurrent_part_of,http://purl.obolibrary.org/obo/BFO_0000132,early cretaceous,domain_term,1.0,Hauterivian is a geological age of the Early Cretaceous Epoch,ACCEPTED,Valid.
early cretaceous,Geological Time Interval,has_occurrent_part,http://purl.obolibrary.org/obo/BFO_0000117,syn-rift,domain_term,1.0,this epoch encompasses the syn-rift and sag phases,ACCEPTED,Valid.
early cretaceous,Geological Time Interval,has_occurrent_part,http://purl.obolibrary.org/obo/BFO_0000117,sag phase,domain_term,1.0,this epoch encompasses the syn-rift and sag phases,ACCEPTED,Valid.
stevensite,Earth Material,located_in,http://purl.obolibrary.org/obo/BFO_0000171,lacustrine environment,domain_term,1.0,precipitates chemically in the highly alkaline (pH > 9) and silica-rich lacustrine environments,ACCEPTED,Valid.
stevensite,Earth Material,derives_into,http://purl.obolibrary.org/obo/RO_0001001,dolomite,domain_term,1.0,serving as a precursor for dolomite,ACCEPTED,Valid.
stevensite,Earth Material,derives_into,http://purl.obolibrary.org/obo/RO_0001001,quartz,domain_term,0.8,a major source of silica for quartz cement upon dissolution,ACCEPTED,Valid.
cabo frio high,Body of Rock,constituted_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,igneous rock,domain_term,1.0,This basement feature is characterized by a complex composition of igneous rocks,ACCEPTED,Valid.
pelotas basin,Basin,generated_in,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000014,early cretaceous,domain_term,1.0,formed as a marginal depression during the Early Cretaceous,ACCEPTED,Valid.
packstone,Sedimentary Rock,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,carbonate mud,domain_term,1.0,contains a matrix of carbonate mud (micrite),ACCEPTED,Valid.
packstone,Sedimentary Rock,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,shrub,domain_term,1.0,composed of reworked grains such as shrub fragments,ACCEPTED,Valid.
packstone,Sedimentary Rock,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,peloid,domain_term,1.0,composed of reworked grains such as... peloids,ACCEPTED,Valid. | Warnings: Evidence is paraphrased (not exact quote from NLD). Word overlap: 71%.
shrub,Geological Object,constituted_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,calcite,domain_term,1.0,"A shrub is a calcitic crystal aggregate that is characterized by a fan-like morphology composed of fibrous to coarse bladed, fascicular-optic calcite crystals",ACCEPTED,Valid.
calcite,Earth Material,located_in,http://purl.obolibrary.org/obo/BFO_0000171,pore,domain_term,1.0,fills various pore types,ACCEPTED,Valid.
calcite,Earth Material,participates_in,http://purl.obolibrary.org/obo/BFO_0000056,dissolution,domain_term,1.0,frequently subject to dissolution,ACCEPTED,Valid.
sag phase,Geological Time Interval,preceded_by,http://purl.obolibrary.org/obo/BFO_0000062,rift phase,domain_term,1.0,follows the main rift phase,ACCEPTED,Valid.
stromatolite,Fossil,located_in,http://purl.obolibrary.org/obo/BFO_0000171,lacustrine environment,domain_term,1.0,they typically occur in lacustrine settings,ACCEPTED,Valid.
albian,Geological Time Interval,occurrent_part_of,http://purl.obolibrary.org/obo/BFO_0000132,early cretaceous,domain_term,1.0,a geological age of the Early Cretaceous Epoch,ACCEPTED,Valid.
carbonate rock,Sedimentary Rock,constituted_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,carbonate mineral,domain_term,1.0,composed of more than 50% carbonate minerals,ACCEPTED,Valid.
carbonate rock,Sedimentary Rock,constituted_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,calcite,domain_term,1.0,principally calcite and dolomite,ACCEPTED,Valid.
carbonate rock,Sedimentary Rock,constituted_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,dolomite,domain_term,1.0,principally calcite and dolomite,ACCEPTED,Valid.
carbonate rock,Sedimentary Rock,has_quality,http://purl.obolibrary.org/obo/RO_0000086,heterogeneity,domain_term,1.0,exhibit significant heterogeneity,ACCEPTED,Valid.
rudstone,Sedimentary Rock,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,intraclast,domain_term,1.0,the coarse grains are typically intraclasts,ACCEPTED,Valid.
rudstone,Sedimentary Rock,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,bioclast,domain_term,1.0,the coarse grains are typically ... bioclastic fragments,ACCEPTED,Valid. | Warnings: Evidence is paraphrased (not exact quote from NLD). Word overlap: 75%.
rudstone,Sedimentary Rock,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,pore system,domain_term,1.0,its heterogeneous pore system,ACCEPTED,Valid.
intraclast,Geological Object,derives_from,http://purl.obolibrary.org/obo/RO_0001000,carbonate sediment,domain_term,1.0,"composed of a reworked fragment of penecontemporaneous, semi-lithified carbonate sediment",ACCEPTED,Valid.
intraclast,Geological Object,generated_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000013,erosion,domain_term,1.0,eroded from within the same depositional basin,ACCEPTED,Valid.
intraclast,Geological Object,participates_in,http://purl.obolibrary.org/obo/BFO_0000056,dolomitization,domain_term,1.0,diagenetically altered by dolomitization,ACCEPTED,Valid.
intraclast,Geological Object,participates_in,http://purl.obolibrary.org/obo/BFO_0000056,silicification,domain_term,1.0,diagenetically altered by dolomitization or silicification,ACCEPTED,Valid.
anhydrite,Earth Material,located_in,http://purl.obolibrary.org/obo/BFO_0000171,pore,domain_term,1.0,as a diagenetic pore-filling cement,ACCEPTED,Valid.
anhydrite,Earth Material,has_quality,http://purl.obolibrary.org/obo/RO_0000086,acoustic impedance,domain_term,1.0,Characterized by its ... high acoustic impedance,ACCEPTED,Valid. | Warnings: Evidence is paraphrased (not exact quote from NLD). Word overlap: 86%.
laminite,Sedimentary Rock,derives_from,http://purl.obolibrary.org/obo/RO_0001000,stevensite,domain_term,1.0,"originates from the diagenetic replacement of primary laminated clay deposits, such as stevensite",ACCEPTED,Valid.
laminite,Sedimentary Rock,constituted_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,calcite,domain_term,1.0,replacement of primary laminated clay deposits ... by calcite,ACCEPTED,Valid. | Warnings: Evidence is paraphrased (not exact quote from NLD). Word overlap: 78%.
laminite,Sedimentary Rock,constituted_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,dolomite,domain_term,1.0,replacement of primary laminated clay deposits ... by calcite or dolomite,ACCEPTED,Valid. | Warnings: Evidence is paraphrased (not exact quote from NLD). Word overlap: 73%.
diagenetic process,Geological Process,has_participant,http://purl.obolibrary.org/obo/BFO_0000057,fluid,domain_term,0.8,driven by changes in fluid chemistry,ACCEPTED,Valid.
rift,Geological Process,has_occurrent_part,http://purl.obolibrary.org/obo/BFO_0000117,subsidence,domain_term,0.8,leading to differential subsidence,ACCEPTED,Valid.
cementation,Geological Process,occurs_in,http://purl.obolibrary.org/obo/BFO_0000066,pore,domain_term,1.0,into the void spaces of a sediment or rock,ACCEPTED,Valid.
subsidence,Geological Process,occurs_in,http://purl.obolibrary.org/obo/BFO_0000066,sedimentary basin,domain_term,0.8,downward movement of a basin floor,ACCEPTED,Valid.
hydrocarbon,Earth Fluid,derives_from,http://purl.obolibrary.org/obo/RO_0001000,organic matter,domain_term,1.0,Generated from the thermal maturation of organic matter,ACCEPTED,Valid.
quartz,Earth Material,derives_from,http://purl.obolibrary.org/obo/RO_0001000,carbonate mineral,domain_term,1.0,replacing precursor carbonate minerals,ACCEPTED,Valid.
compaction,Geological Process,has_occurrent_part,http://purl.obolibrary.org/obo/BFO_0000117,mechanical compaction,domain_term,1.0,This process includes mechanical compaction,ACCEPTED,Valid.
compaction,Geological Process,has_participant,http://purl.obolibrary.org/obo/BFO_0000057,sediment,domain_term,1.0,reduces the bulk volume and porosity of sediments,ACCEPTED,Valid.
compaction,Geological Process,occurs_in,http://purl.obolibrary.org/obo/BFO_0000066,lacustrine carbonate,domain_term,0.8,"In the Pre-Salt lacustrine carbonates, the effects of compaction are often observed",ACCEPTED,Valid.
basalt,Rock,constituted_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,feldspar,domain_term,1.0,"composed of feldspar, pyroxene, and augite",ACCEPTED,Valid.
ostracod,Fossil,located_in,http://purl.obolibrary.org/obo/BFO_0000171,lacustrine environment,domain_term,0.8,Due to their tolerance for stressed lacustrine environments,ACCEPTED,Valid.
ostracod,Fossil,participates_in,http://purl.obolibrary.org/obo/BFO_0000056,dolomitization,domain_term,0.8,can be subject to diagenetic alteration like dolomitization,ACCEPTED,Valid.
basement,Body of Rock,constituted_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,igneous rock,domain_term,1.0,composed of crystalline igneous and metamorphic rocks,ACCEPTED,Valid.
erosion,Geological Process,has_participant,http://purl.obolibrary.org/obo/BFO_0000057,rock,domain_term,1.0,removes and transports pre-existing rock and sediment,ACCEPTED,Valid.
erosion,Geological Process,has_participant,http://purl.obolibrary.org/obo/BFO_0000057,sediment,domain_term,1.0,removes and transports pre-existing rock and sediment,ACCEPTED,Valid.
erosion,Geological Process,has_participant,http://purl.obolibrary.org/obo/BFO_0000057,microbial carbonate,domain_term,1.0,leading to the breakdown of microbial carbonates,ACCEPTED,Valid.
erosion,Geological Process,preceded_by,http://purl.obolibrary.org/obo/BFO_0000062,subaerial exposure,domain_term,0.8,this process is frequently driven by subaerial exposure,ACCEPTED,Valid.
microbialite,Sedimentary Rock,constituted_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,peloid,domain_term,1.0,composed of microbially-precipitated clots and peloids,ACCEPTED,Valid.
microbialite,Sedimentary Rock,constituted_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,calcite,domain_term,1.0,cemented by calcite,ACCEPTED,Valid.
lacustrine environment,Sedimentary Environment,has_quality,http://purl.obolibrary.org/obo/RO_0000086,salinity,domain_term,0.8,these environments were typically alkaline and saline,ACCEPTED,Valid.
wackestone,Sedimentary Rock,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,peloid,domain_term,1.0,"containing over 10% grains, such as ostracod bioclasts, spherulite fragments, and peloids",ACCEPTED,Valid.
recrystallization,Geological Process,has_participant,http://purl.obolibrary.org/obo/BFO_0000057,carbonate mineral,domain_term,1.0,alters the crystal fabric of pre-existing carbonate minerals,ACCEPTED,Valid.
recrystallization,Geological Process,has_participant,http://purl.obolibrary.org/obo/BFO_0000057,calcite,domain_term,1.0,"carbonate minerals, such as calcite",ACCEPTED,Valid.
recrystallization,Geological Process,has_participant,http://purl.obolibrary.org/obo/BFO_0000057,bioclast,domain_term,1.0,"this process affects components like bioclasts, matrix, and cement",ACCEPTED,Valid.
recrystallization,Geological Process,has_participant,http://purl.obolibrary.org/obo/BFO_0000057,matrix,domain_term,1.0,"this process affects components like bioclasts, matrix, and cement",ACCEPTED,Valid.
shrubstone,Sedimentary Rock,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,shrub,domain_term,1.0,composed primarily of shrubs,ACCEPTED,Valid.
shrubstone,Sedimentary Rock,has_quality,http://purl.obolibrary.org/obo/RO_0000086,vugular porosity,domain_term,1.0,often exhibit significant inter-aggregate and vugular porosity,ACCEPTED,Valid.
travertine,Sedimentary Rock,generated_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000013,abiotic precipitation,domain_term,1.0,formed by the abiotic precipitation of carbonate minerals,ACCEPTED,Valid.
travertine,Sedimentary Rock,derives_from,http://purl.obolibrary.org/obo/RO_0001000,hydrothermal fluid,domain_term,1.0,formed by the abiotic precipitation of carbonate minerals from hydrothermal waters,ACCEPTED,Valid.
vug,site,located_in,http://purl.obolibrary.org/obo/BFO_0000171,carbonate rock,domain_term,1.0,a non-fabric-selective pore within a carbonate rock,ACCEPTED,Valid.
vug,site,generated_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000013,dissolution,domain_term,1.0,generated or enhanced by dissolution,ACCEPTED,Valid.
salt,Lithostratigraphic Unit,constituted_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,halite,domain_term,1.0,primarily composed of halite and anhydrite,ACCEPTED,Valid.
salt,Lithostratigraphic Unit,constituted_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,anhydrite,domain_term,1.0,primarily composed of halite and anhydrite,ACCEPTED,Valid.
salt,Lithostratigraphic Unit,participates_in,http://purl.obolibrary.org/obo/BFO_0000056,halokinesis,domain_term,1.0,this succession undergoes significant deformation and flow (halokinesis),ACCEPTED,Valid.
lithology,Lithology,inheres_in,http://purl.obolibrary.org/obo/BFO_0000197,rock,domain_term,1.0,is the physical character of a rock unit,ACCEPTED,Valid.
sandstone,Sedimentary Rock,located_in,http://purl.obolibrary.org/obo/BFO_0000171,alluvial fan,domain_term,0.8,"sandstones are commonly deposited in fluvial, alluvial fan, and fan delta systems",ACCEPTED,Valid.
petrophysical property,Dimension,inheres_in,http://purl.obolibrary.org/obo/BFO_0000197,rock,domain_term,1.0,is a quantifiable physical attribute of a rock,ACCEPTED,Valid.
salt layer,Lithostratigraphic Unit,has_quality,http://purl.obolibrary.org/obo/RO_0000086,permeability,domain_term,0.8,The high mobility and low permeability of the salt make it a highly effective... seal rock.,ACCEPTED,Valid. | Warnings: Evidence is paraphrased (not exact quote from NLD). Word overlap: 93%.
post-rift,Geological Process,preceded_by,http://purl.obolibrary.org/obo/BFO_0000062,rift phase,domain_term,1.0,follows the active rifting stage,ACCEPTED,Valid.
chalcedony,Rock,constituted_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,silica,domain_term,1.0,is a cryptocrystalline variety of silica,ACCEPTED,Valid.
evaporation,Geological Process,occurs_in,http://purl.obolibrary.org/obo/BFO_0000066,lacustrine system,domain_term,1.0,from a lacustrine system,ACCEPTED,Valid.
accommodation space,Basin,generated_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000013,subsidence,domain_term,1.0,created and controlled by the combined effects of tectonic subsidence,ACCEPTED,Valid.
peloid,Geological Object,constituted_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,micrite,domain_term,1.0,composed of micrite,ACCEPTED,Valid.
peloid,Geological Object,derives_from,http://purl.obolibrary.org/obo/RO_0001000,intraclast,domain_term,0.8,commonly interpreted as micritized intraclasts,ACCEPTED,Valid.
peloid,Geological Object,continuant_part_of,http://purl.obolibrary.org/obo/BFO_0000176,grainstone,domain_term,1.0,a primary component of reservoir facies such as peloidal grainstones,ACCEPTED,Valid.
calcite spherulite,Geological Object,participates_in,http://purl.obolibrary.org/obo/BFO_0000056,dolomitization,domain_term,1.0,spherulites are commonly subject to... dolomitization,ACCEPTED,Valid. | Warnings: Evidence is paraphrased (not exact quote from NLD). Word overlap: 67%.
salinity,quality,inheres_in,http://purl.obolibrary.org/obo/BFO_0000197,fluid,domain_term,1.0,measure of the total amount of dissolved salts in a fluid,ACCEPTED,Valid.
pre-salt reservoir,Stratigraphic Unit,constituted_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,carbonate rock,domain_term,1.0,composed of carbonate rocks,ACCEPTED,Valid.
pre-salt reservoir,Stratigraphic Unit,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,microbialite,domain_term,1.0,consist of complex facies such as microbialites,ACCEPTED,Valid.
tectonic activity,Geological Process,has_occurrent_part,http://purl.obolibrary.org/obo/BFO_0000117,deformation,domain_term,1.0,involves the deformation of the Earth's crust,ACCEPTED,Valid.
tectonic activity,Geological Process,has_occurrent_part,http://purl.obolibrary.org/obo/BFO_0000117,fault reactivation,domain_term,1.0,"activity, primarily expressed as fault reactivation",ACCEPTED,Valid.
subaerial exposure,Geological Process,has_participant,http://purl.obolibrary.org/obo/BFO_0000057,sediment,domain_term,1.0,exposes previously submerged lacustrine sediments,ACCEPTED,Valid.
subaerial exposure,Geological Process,has_participant,http://purl.obolibrary.org/obo/BFO_0000057,rock,domain_term,1.0,exposes previously submerged... rocks,ACCEPTED,Valid. | Warnings: Evidence is paraphrased (not exact quote from NLD). Word overlap: 75%.
organic matter,Earth Material,located_in,http://purl.obolibrary.org/obo/BFO_0000171,mudstone,domain_term,1.0,commonly found as kerogen within dark-colored laminae and mudstones,ACCEPTED,Valid.
structural low,Basin,generated_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000013,tectonic activity,domain_term,0.8,is a tectonically formed depression,ACCEPTED,Valid.
structural low,Basin,generated_in,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000014,rift phase,domain_term,1.0,created during the rift phase,ACCEPTED,Valid.
heterogeneity,quality,inheres_in,http://purl.obolibrary.org/obo/BFO_0000197,reservoir,domain_term,1.0,is the spatial variation of reservoir properties,ACCEPTED,Valid.
bioclast,Fossil,derives_from,http://purl.obolibrary.org/obo/RO_0001000,bivalve,domain_term,1.0,"predominantly derived from bivalves, ostracods, and gastropods",ACCEPTED,Valid.
bioclast,Fossil,derives_from,http://purl.obolibrary.org/obo/RO_0001000,ostracod,domain_term,1.0,"predominantly derived from bivalves, ostracods, and gastropods",ACCEPTED,Valid.
bioclast,Fossil,participates_in,http://purl.obolibrary.org/obo/BFO_0000056,diagenetic alteration,domain_term,1.0,can be subject to significant diagenetic alteration,ACCEPTED,Valid.
florianopolis high,Body of Rock,generated_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000013,magmatism,domain_term,0.8,This dominantly magmatic feature,ACCEPTED,Valid.
primary porosity,Lithology,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,interparticle porosity,domain_term,1.0,this commonly includes interparticle porosity between grains,ACCEPTED,Valid.
primary porosity,Lithology,participates_in,http://purl.obolibrary.org/obo/BFO_0000056,compaction,domain_term,1.0,often reduced by subsequent compaction,ACCEPTED,Valid.
primary porosity,Lithology,participates_in,http://purl.obolibrary.org/obo/BFO_0000056,cementation,domain_term,1.0,often reduced by subsequent compaction and cementation,ACCEPTED,Valid.
pore system,Geological Structure,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,pore,domain_term,1.0,the totality of pore space... of all constituent voids,ACCEPTED,Valid. | Warnings: Evidence is paraphrased (not exact quote from NLD). Word overlap: 75%.
clay mineral,Earth Material,located_in,http://purl.obolibrary.org/obo/BFO_0000171,lacustrine carbonate,domain_term,1.0,In the Brazilian Pre-Salt lacustrine carbonates,ACCEPTED,Valid.
rework facies,Facies Association,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,interparticle porosity,domain_term,0.8,often forming intervals with significant interparticle porosity,ACCEPTED,Valid.
macabu formation,Formation,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,calcite shrub,domain_term,1.0,including... calcite shrubs,ACCEPTED,Valid. | Warnings: Evidence is paraphrased (not exact quote from NLD). Word overlap: 67%.
sediment,Sediment,derives_into,http://purl.obolibrary.org/obo/RO_0001001,sedimentary rock,domain_term,1.0,to form the precursor to sedimentary rock,ACCEPTED,Valid.
sediment,Sediment,located_in,http://purl.obolibrary.org/obo/BFO_0000171,lacustrine environment,domain_term,1.0,deposited by... processes within a lacustrine environment,ACCEPTED,Valid. | Warnings: Evidence is paraphrased (not exact quote from NLD). Word overlap: 86%.
sediment,Sediment,has_continuant_part,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,shrub,domain_term,1.0,these materials primarily include in-situ microbial precipitates like shrubs,ACCEPTED,Valid.
