Term,Category,Property,Property_IRI,Filler,Filler_Source,Confidence,Evidence,Validation_Status,Validation_Reason
barra velha formation,Formation,preceded_by,http://purl.obolibrary.org/obo/BFO_0000062,pre-alagoas unconformity,domain_term,1.0,stratigraphically bounded below by the Pre-Alagoas Unconformity,REJECTED,"Domain violation: 'Formation' has metatypes ['Continuant', 'IndependentContinuant', 'MaterialEntity', 'Object'] which do not intersect allowed domain ['History', 'Occurrent', 'Process', 'ProcessBoundary', 'SpatiotemporalRegion', 'TemporalInstant', 'TemporalRegion'] for 'preceded_by'."
barra velha formation,Formation,precedes,http://purl.obolibrary.org/obo/BFO_0000063,ariri formation,domain_term,1.0,stratigraphically bounded ... above by the Ariri Formation evaporites,REJECTED,"Domain violation: 'Formation' has metatypes ['Continuant', 'IndependentContinuant', 'MaterialEntity', 'Object'] which do not intersect allowed domain ['History', 'Occurrent', 'Process', 'ProcessBoundary', 'SpatiotemporalRegion', 'TemporalInstant', 'TemporalRegion'] for 'precedes'."
santos basin,Basin,located_in,http://purl.obolibrary.org/obo/BFO_0000171,brazilian continental margin,domain_term,1.0,an offshore sedimentary basin on the southeastern Brazilian margin,ACCEPTED,Valid.
santos basin,Basin,generated_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000013,breakup of gondwana supercontinent,external,1.0,was formed during the Early Cretaceous breakup of the Gondwana supercontinent,REJECTED,Unknown object category 'unknown'.
santos basin,Basin,has_age,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000015,early cretaceous,domain_term,1.0,was formed during the Early Cretaceous,REJECTED,"Range violation: 'Geological Time Interval' has metatypes ['Occurrent', 'TemporalRegion'] which do not intersect allowed range ['Quality', 'RelationalQuality'] for 'has_age'."
santos basin,Basin,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,rift sequence,domain_term,0.8,"its sedimentary fill is divided into rift, post-rift, and drift supersequences",ACCEPTED,Valid.
ariri formation,Formation,has_age,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000015,aptian,domain_term,1.0,is an Aptian-age evaporitic geological formation,REJECTED,"Range violation: 'Geological Time Interval' has metatypes ['Occurrent', 'TemporalRegion'] which do not intersect allowed range ['Quality', 'RelationalQuality'] for 'has_age'."
ariri formation,Formation,constituted_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,halite,domain_term,1.0,"composed of a thick, stratified sequence of halite, anhydrite, and other salts",ACCEPTED,Valid.
ariri formation,Formation,constituted_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,anhydrite,domain_term,1.0,"composed of a thick, stratified sequence of halite, anhydrite, and other salts",ACCEPTED,Valid.
ariri formation,Formation,preceded_by,http://purl.obolibrary.org/obo/BFO_0000062,barra velha formation,domain_term,1.0,overlying the Barra Velha Formation,REJECTED,"Domain violation: 'Formation' has metatypes ['Continuant', 'IndependentContinuant', 'MaterialEntity', 'Object'] which do not intersect allowed domain ['History', 'Occurrent', 'Process', 'ProcessBoundary', 'SpatiotemporalRegion', 'TemporalInstant', 'TemporalRegion'] for 'preceded_by'."
permeability,Dimension,inheres_in,http://purl.obolibrary.org/obo/BFO_0000197,rock,domain_term,1.0,petrophysical property that measures the capacity of a porous rock,ACCEPTED,Valid.
lacustrine carbonate,Sedimentary Rock,located_in,http://purl.obolibrary.org/obo/BFO_0000171,lacustrine environment,domain_term,1.0,"formed by chemical, biochemical, or detrital processes within a lake environment",ACCEPTED,Valid.
lacustrine carbonate,Sedimentary Rock,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,shrub,domain_term,1.0,"characterized by unusual textures, such as shrubs",ACCEPTED,Valid.
lacustrine carbonate,Sedimentary Rock,has_part,http://purl.obolibrary.org/obo/BFO_0000051,spherulite,external,1.0,"characterized by unusual textures, such as shrubs and spherulites",REJECTED,Unknown object category 'unknown'.
carbonate,Sedimentary Rock,constituted_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,calcite,domain_term,1.0,"composed primarily of carbonate minerals, such as calcite and dolomite",ACCEPTED,Valid.
carbonate,Sedimentary Rock,constituted_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,dolomite,domain_term,1.0,"composed primarily of carbonate minerals, such as calcite and dolomite",ACCEPTED,Valid.
carbonate,Sedimentary Rock,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,microbialite,domain_term,1.0,unique constituents like microbialites and spherulites,ACCEPTED,Valid.
carbonate,Sedimentary Rock,has_part,http://purl.obolibrary.org/obo/BFO_0000051,spherulite,external,1.0,unique constituents like microbialites and spherulites,REJECTED,Unknown object category 'unknown'.
reservoir quality,quality,inheres_in,http://purl.obolibrary.org/obo/BFO_0000197,reservoir rock,domain_term,1.0,collective measure of a reservoir rock's petrophysical properties,ACCEPTED,Valid.
reservoir quality,quality,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,porosity,domain_term,1.0,primarily defined by the rock's porosity and permeability,ACCEPTED,Valid.
reservoir quality,quality,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,permeability,domain_term,1.0,primarily defined by the rock's porosity and permeability,ACCEPTED,Valid.
mudstone,Sedimentary Rock,constituted_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,carbonate mud,domain_term,1.0,composed of less than 10% grains suspended in a carbonate mud matrix,ACCEPTED,Valid.
mudstone,Sedimentary Rock,constituted_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,grain,external,1.0,composed of less than 10% grains,REJECTED,Unknown object category 'unknown'.
mudstone,Sedimentary Rock,constituted_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,mg-clay,domain_term,1.0,"display significant mineralogical variation, including Mg-clay",ACCEPTED,Valid.
mudstone,Sedimentary Rock,located_in,http://purl.obolibrary.org/obo/BFO_0000171,lacustrine system,domain_term,0.8,Within Pre-Salt lacustrine systems,ACCEPTED,Valid.
dissolution,Geological Process,has_participant,http://purl.obolibrary.org/obo/BFO_0000057,rock,domain_term,1.0,removes mineral material from a rock through fluid-rock interaction,ACCEPTED,Valid.
dissolution,Geological Process,has_participant,http://purl.obolibrary.org/obo/BFO_0000057,porosity,domain_term,1.0,creating or enhancing porosity,ACCEPTED,Valid.
dissolution,Geological Process,has_participant,http://purl.obolibrary.org/obo/BFO_0000057,mg-clay,domain_term,1.0,affecting components like Mg-clays,ACCEPTED,Valid.
dissolution,Geological Process,precedes,http://purl.obolibrary.org/obo/BFO_0000063,dolomitization,domain_term,0.8,influence subsequent diagenetic events such as dolomitization,ACCEPTED,Valid.
pre-salt,Stratigraphic Unit,generated_in,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000014,early cretaceous,domain_term,1.0,during the Early Cretaceous,ACCEPTED,Valid.
pre-salt,Stratigraphic Unit,located_in,http://purl.obolibrary.org/obo/BFO_0000171,lacustrine system,domain_term,1.0,Deposited in a lacustrine system,ACCEPTED,Valid.
pre-salt,Stratigraphic Unit,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,carbonate reservoir,domain_term,1.0,contains prolific carbonate reservoirs,ACCEPTED,Valid.
pre-salt,Stratigraphic Unit,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,barra velha formation,domain_term,1.0,such as the coquinas and microbialites of the Barra Velha and Itapema formations,ACCEPTED,Valid.
dolomitization,Geological Process,has_participant,http://purl.obolibrary.org/obo/BFO_0000057,calcite,domain_term,1.0,"replaces pre-existing minerals, such as calcite",ACCEPTED,Valid.
dolomitization,Geological Process,has_participant,http://purl.obolibrary.org/obo/BFO_0000057,stevensite,domain_term,1.0,"replaces pre-existing minerals, such as calcite or stevensite",ACCEPTED,Valid.
dolomitization,Geological Process,has_participant,http://purl.obolibrary.org/obo/BFO_0000057,dolomite,domain_term,1.0,replaces pre-existing minerals... with the mineral dolomite,ACCEPTED,Valid. | Warnings: Evidence is paraphrased (not exact quote from NLD). Word overlap: 71%.
dolomitization,Geological Process,occurs_in,http://purl.obolibrary.org/obo/BFO_0000066,pre-salt,domain_term,1.0,In the Brazilian Pre-Salt,ACCEPTED,Valid.
fault,Geological Structure,generated_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000013,tectonic stress,external,1.0,as a result of tectonic stresses,REJECTED,Unknown object category 'unknown'.
fault,Geological Structure,has_quality,http://purl.obolibrary.org/obo/RO_0000086,displacement,external,1.0,exhibits measurable displacement,REJECTED,Unknown object category 'unknown'.
fault,Geological Structure,located_in,http://purl.obolibrary.org/obo/BFO_0000171,pre-salt,domain_term,1.0,In the Brazilian Pre-Salt,REJECTED,"Domain violation: 'Geological Structure' has metatypes ['Continuant', 'GenericallyDependentContinuant'] which do not intersect allowed domain ['ImmaterialEntity', 'IndependentContinuant', 'MaterialEntity', 'Object', 'Site'] for 'located_in'."
cretaceous,Geological Time Interval,occurrent_part_of,http://purl.obolibrary.org/obo/BFO_0000132,mesozoic,domain_term,1.0,representing the final part of the Mesozoic Era,ACCEPTED,Valid.
porosity,quality,inheres_in,http://purl.obolibrary.org/obo/BFO_0000197,rock,domain_term,1.0,petrophysical property of a rock,ACCEPTED,Valid.
porosity,quality,generated_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000013,dissolution,domain_term,1.0,secondary types created by dissolution,REJECTED,"Domain violation: 'quality' has metatypes ['Continuant', 'Quality', 'SpecificallyDependentContinuant'] which do not intersect allowed domain ['ImmaterialEntity', 'IndependentContinuant', 'MaterialEntity', 'Object', 'Site'] for 'generated_by'."
porosity,quality,generated_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000013,fracturing,external,1.0,"secondary types created by dissolution (vuggy, moldic) or fracturing",REJECTED,Unknown object category 'unknown'.
porosity,quality,located_in,http://purl.obolibrary.org/obo/BFO_0000171,pre-salt carbonate,domain_term,1.0,In Brazilian Pre-Salt carbonates,REJECTED,"Domain violation: 'quality' has metatypes ['Continuant', 'Quality', 'SpecificallyDependentContinuant'] which do not intersect allowed domain ['ImmaterialEntity', 'IndependentContinuant', 'MaterialEntity', 'Object', 'Site'] for 'located_in'."
itapema formation,Formation,continuant_part_of,http://purl.obolibrary.org/obo/BFO_0000176,pre-salt section,domain_term,1.0,a syn-rift stratigraphic unit of the Santos Basin's pre-salt section,ACCEPTED,Valid.
itapema formation,Formation,located_in,http://purl.obolibrary.org/obo/BFO_0000171,santos basin,domain_term,1.0,of the Santos Basin's pre-salt section,ACCEPTED,Valid.
itapema formation,Formation,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,lacustrine carbonate,domain_term,1.0,characterized by the intercalation of lacustrine carbonates,ACCEPTED,Valid.
itapema formation,Formation,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,organic-rich shale,domain_term,1.0,intercalation of lacustrine carbonates... and organic-rich shales,ACCEPTED,Valid. | Warnings: Evidence is paraphrased (not exact quote from NLD). Word overlap: 86%.
structural high,Site,generated_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000013,tectonic activity,domain_term,0.8,a tectonically-formed positive relief feature,ACCEPTED,Valid.
structural high,Site,located_in,http://purl.obolibrary.org/obo/BFO_0000171,pre-salt,domain_term,1.0,In the Brazilian Pre-Salt,ACCEPTED,Valid.
structural high,Site,continuant_part_of,http://purl.obolibrary.org/obo/BFO_0000176,hydrocarbon accumulation,domain_term,0.8,form the core of major hydrocarbon accumulations,ACCEPTED,Valid.
structural high,Site,continuant_part_of,http://purl.obolibrary.org/obo/BFO_0000176,reservoir,domain_term,0.8,form the core of major hydrocarbon accumulations and reservoirs,ACCEPTED,Valid.
grainstone,Sedimentary Rock,derives_from,http://purl.obolibrary.org/obo/RO_0001000,spherulitestone,domain_term,1.0,formed by the reworking of deposits like spherulitestones,ACCEPTED,Valid.
grainstone,Sedimentary Rock,derives_from,http://purl.obolibrary.org/obo/RO_0001000,shrubstone,domain_term,1.0,formed by the reworking of deposits like spherulitestones and shrubstones,ACCEPTED,Valid.
grainstone,Sedimentary Rock,constituted_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,spherulite,external,1.0,its constituent grains include spherulites,REJECTED,Unknown object category 'unknown'.
grainstone,Sedimentary Rock,constituted_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,bioclast,domain_term,1.0,"its constituent grains include spherulites, peloids, bioclasts",ACCEPTED,Valid.
evaporite,Sedimentary Rock,generated_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000013,evaporation,domain_term,1.0,formed by the precipitation of mineral salts from a body of water that has become concentrated by evaporation,ACCEPTED,Valid.
evaporite,Sedimentary Rock,constituted_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,halite,domain_term,1.0,predominantly composed of halite and anhydrite,ACCEPTED,Valid.
evaporite,Sedimentary Rock,constituted_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,anhydrite,domain_term,1.0,predominantly composed of halite and anhydrite,ACCEPTED,Valid.
evaporite,Sedimentary Rock,has_age,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000015,aptian,domain_term,1.0,these Aptian-age deposits,REJECTED,"Range violation: 'Geological Time Interval' has metatypes ['Occurrent', 'TemporalRegion'] which do not intersect allowed range ['Quality', 'RelationalQuality'] for 'has_age'."
reservoir,Body of Rock,has_quality,http://purl.obolibrary.org/obo/RO_0000086,porosity,domain_term,1.0,possesses sufficient porosity and permeability,ACCEPTED,Valid.
reservoir,Body of Rock,has_quality,http://purl.obolibrary.org/obo/RO_0000086,permeability,domain_term,1.0,possesses sufficient porosity and permeability,ACCEPTED,Valid.
reservoir,Body of Rock,participates_in,http://purl.obolibrary.org/obo/BFO_0000056,diagenesis,domain_term,0.8,quality and heterogeneity are controlled by depositional cycles and subsequent diagenesis,ACCEPTED,Valid.
unconformity,Geological Boundary,generated_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000013,erosion,domain_term,1.0,caused by erosion or non-deposition,ACCEPTED,Valid.
unconformity,Geological Boundary,generated_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000013,non-deposition,external,1.0,caused by erosion or non-deposition,REJECTED,Unknown object category 'unknown'.
dolomite,Earth Material,located_in,http://purl.obolibrary.org/obo/BFO_0000171,pre-salt reservoir,domain_term,1.0,occurs extensively in Brazilian Pre-Salt reservoirs,ACCEPTED,Valid.
dolomite,Earth Material,generated_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000013,replacement,domain_term,0.8,occurs ... as a ... diagenetic replacement phase,ACCEPTED,Valid. | Warnings: Evidence is paraphrased (not exact quote from NLD). Word overlap: 71%.
dolomite,Earth Material,generated_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000013,cementation,domain_term,0.8,occurs ... as a ... pore-filling cement,ACCEPTED,Valid. | Warnings: Evidence is paraphrased (not exact quote from NLD). Word overlap: 67%.
dolomite,Earth Material,generated_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000013,precipitation,external,0.8,occurs ... as a primary precipitate,REJECTED,Unknown object category 'unknown'.
carbonate reservoir,Body of Rock,constituted_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,carbonate rock,domain_term,1.0,composed of carbonate rocks,ACCEPTED,Valid.
carbonate reservoir,Body of Rock,has_quality,http://purl.obolibrary.org/obo/RO_0000086,porosity,domain_term,1.0,possesses sufficient porosity and permeability,ACCEPTED,Valid.
carbonate reservoir,Body of Rock,has_quality,http://purl.obolibrary.org/obo/RO_0000086,permeability,domain_term,1.0,possesses sufficient porosity and permeability,ACCEPTED,Valid.
carbonate reservoir,Body of Rock,participates_in,http://purl.obolibrary.org/obo/BFO_0000056,diagenesis,domain_term,0.8,heterogeneity resulting from complex depositional and diagenetic histories,ACCEPTED,Valid.
diagenesis,Geological Process,has_participant,http://purl.obolibrary.org/obo/BFO_0000057,sediment,domain_term,1.0,"alter the original texture, mineralogy, and chemical composition of sediments",ACCEPTED,Valid.
diagenesis,Geological Process,occurs_in,http://purl.obolibrary.org/obo/BFO_0000066,lacustrine carbonate,domain_term,1.0,In Brazilian Pre-Salt lacustrine carbonates,ACCEPTED,Valid.
diagenesis,Geological Process,has_occurrent_part,http://purl.obolibrary.org/obo/BFO_0000117,dissolution,domain_term,1.0,key diagenetic processes include the dissolution,ACCEPTED,Valid.
diagenesis,Geological Process,has_occurrent_part,http://purl.obolibrary.org/obo/BFO_0000117,cementation,domain_term,1.0,key diagenetic processes include ... cementation by calcite and dolomite,ACCEPTED,Valid. | Warnings: Evidence is paraphrased (not exact quote from NLD). Word overlap: 80%.
barremian,Geological Time Interval,occurrent_part_of,http://purl.obolibrary.org/obo/BFO_0000132,early cretaceous,domain_term,1.0,Barremian is a geological age of the Early Cretaceous epoch,ACCEPTED,Valid.
barremian,Geological Time Interval,occurrent_part_of,http://purl.obolibrary.org/obo/BFO_0000132,syn-rift,domain_term,0.8,corresponds to a critical syn-rift period,ACCEPTED,Valid.
shale,Sedimentary Rock,constituted_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,clay,external,1.0,composed of clay and silt-sized particles,REJECTED,Unknown object category 'unknown'.
shale,Sedimentary Rock,has_quality,http://purl.obolibrary.org/obo/RO_0000086,permeability,domain_term,1.0,characterized in the Pre-Salt context by its very low permeability,ACCEPTED,Valid.
shale,Sedimentary Rock,located_in,http://purl.obolibrary.org/obo/BFO_0000171,pre-salt succession,domain_term,1.0,Within the lacustrine Pre-Salt succession,ACCEPTED,Valid.
shale,Sedimentary Rock,constituted_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,silt,external,1.0,composed of clay and silt-sized particles,REJECTED,Unknown object category 'unknown'.
silica,Earth Material,located_in,http://purl.obolibrary.org/obo/BFO_0000171,pre-salt carbonate,domain_term,1.0,occurs in Pre-Salt carbonates,ACCEPTED,Valid.
silica,Earth Material,derives_from,http://purl.obolibrary.org/obo/RO_0001000,host rock,domain_term,0.8,as a replacement of the host rock,ACCEPTED,Valid.
silica,Earth Material,generated_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000013,cementation,domain_term,0.8,as pore-lining and pore-filling cements,ACCEPTED,Valid.
pre-alagoas unconformity,Geological Boundary,preceded_by,http://purl.obolibrary.org/obo/BFO_0000062,rift phase,domain_term,0.8,marking the tectonic transition from rifting to a transitional phase,REJECTED,"Domain violation: 'Geological Boundary' has metatypes ['Continuant', 'ImmaterialEntity', 'IndependentContinuant'] which do not intersect allowed domain ['History', 'Occurrent', 'Process', 'ProcessBoundary', 'SpatiotemporalRegion', 'TemporalInstant', 'TemporalRegion'] for 'preceded_by'."
pre-alagoas unconformity,Geological Boundary,precedes,http://purl.obolibrary.org/obo/BFO_0000063,sag phase,domain_term,0.8,marking the tectonic transition from rifting to a transitional to sag sequence,REJECTED,"Domain violation: 'Geological Boundary' has metatypes ['Continuant', 'ImmaterialEntity', 'IndependentContinuant'] which do not intersect allowed domain ['History', 'Occurrent', 'Process', 'ProcessBoundary', 'SpatiotemporalRegion', 'TemporalInstant', 'TemporalRegion'] for 'precedes'."
silicification,Geological Process,has_participant,http://purl.obolibrary.org/obo/BFO_0000057,host rock,domain_term,1.0,replaces host rock minerals,ACCEPTED,Valid.
silicification,Geological Process,has_participant,http://purl.obolibrary.org/obo/BFO_0000057,calcium carbonate,external,1.0,"replaces host rock minerals, such as calcium carbonate",REJECTED,Unknown object category 'unknown'.
silicification,Geological Process,has_participant,http://purl.obolibrary.org/obo/BFO_0000057,silica,domain_term,1.0,the concurrent precipitation of silica,ACCEPTED,Valid.
silicification,Geological Process,occurs_in,http://purl.obolibrary.org/obo/BFO_0000066,lacustrine carbonate,domain_term,1.0,"In the Brazilian Pre-Salt lacustrine carbonates, this process manifests",ACCEPTED,Valid.
piçarras formation,Formation,continuant_part_of,http://purl.obolibrary.org/obo/BFO_0000176,pre-salt section,domain_term,1.0,constitutes the basal siliciclastic unit of the Santos Basin's pre-salt section,ACCEPTED,Valid.
piçarras formation,Formation,generated_in,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000014,barremian,domain_term,1.0,deposited during the early syn-rift phase of the Barremian,ACCEPTED,Valid.
piçarras formation,Formation,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,conglomerate,domain_term,1.0,characterized by proximal alluvial fan deposits of conglomerates,ACCEPTED,Valid.
piçarras formation,Formation,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,sandstone,domain_term,1.0,characterized by proximal alluvial fan deposits of conglomerates and sandstones,ACCEPTED,Valid.
hauterivian,Geological Time Interval,occurrent_part_of,http://purl.obolibrary.org/obo/BFO_0000132,early cretaceous,domain_term,1.0,Hauterivian is a geological age of the Early Cretaceous Epoch,ACCEPTED,Valid.
hauterivian,Geological Time Interval,preceded_by,http://purl.obolibrary.org/obo/BFO_0000062,valanginian,domain_term,1.0,chronologically follows the Valanginian,ACCEPTED,Valid.
hauterivian,Geological Time Interval,precedes,http://purl.obolibrary.org/obo/BFO_0000063,barremian,domain_term,1.0,precedes the Barremian,ACCEPTED,Valid.
early cretaceous,Geological Time Interval,occurrent_part_of,http://purl.obolibrary.org/obo/BFO_0000132,cretaceous,domain_term,1.0,The Early Cretaceous is the earliest epoch of the Cretaceous Period,ACCEPTED,Valid.
early cretaceous,Geological Time Interval,has_part,http://purl.obolibrary.org/obo/BFO_0000051,continental rifting,external,0.8,is characterized by the continental rifting between South America and Africa,REJECTED,Unknown object category 'unknown'.
early cretaceous,Geological Time Interval,has_occurrent_part,http://purl.obolibrary.org/obo/BFO_0000117,syn-rift,domain_term,1.0,this epoch encompasses the syn-rift and sag phases,ACCEPTED,Valid.
early cretaceous,Geological Time Interval,has_occurrent_part,http://purl.obolibrary.org/obo/BFO_0000117,sag phase,domain_term,1.0,this epoch encompasses the syn-rift and sag phases,ACCEPTED,Valid.
stevensite,Earth Material,located_in,http://purl.obolibrary.org/obo/BFO_0000171,lacustrine environment,domain_term,1.0,precipitates chemically in the highly alkaline (pH > 9) and silica-rich lacustrine environments,ACCEPTED,Valid.
stevensite,Earth Material,derives_into,http://purl.obolibrary.org/obo/RO_0001001,dolomite,domain_term,1.0,serving as a precursor for dolomite,ACCEPTED,Valid.
stevensite,Earth Material,derives_into,http://purl.obolibrary.org/obo/RO_0001001,silica,domain_term,1.0,a major source of silica for quartz cement upon dissolution,ACCEPTED,Valid.
stevensite,Earth Material,derives_into,http://purl.obolibrary.org/obo/RO_0001001,quartz,domain_term,0.8,a major source of silica for quartz cement upon dissolution,ACCEPTED,Valid.
cabo frio high,Body of Rock,constituted_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,igneous rock,domain_term,1.0,This basement feature is characterized by a complex composition of igneous rocks,ACCEPTED,Valid.
pelotas basin,Basin,located_in,http://purl.obolibrary.org/obo/BFO_0000171,brazilian continental margin,domain_term,1.0,a sedimentary basin on the southeastern Brazilian Atlantic margin,ACCEPTED,Valid.
pelotas basin,Basin,has_part,http://purl.obolibrary.org/obo/BFO_0000051,rift,domain_term,1.0,contains huge rifts,REJECTED,Cross-category mereology: 'Basin' (Continuant) cannot have 'has_part' relation with 'Geological Process' (Occurrent). BFO forbids this.
pelotas basin,Basin,generated_in,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000014,early cretaceous,domain_term,1.0,formed as a marginal depression during the Early Cretaceous,ACCEPTED,Valid.
pelotas basin,Basin,generated_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000013,breakup of the gondwana supercontinent,external,1.0,formed as a marginal depression during the Early Cretaceous breakup of the Gondwana supercontinent,REJECTED,Unknown object category 'unknown'.
packstone,Sedimentary Rock,has_quality,http://purl.obolibrary.org/obo/RO_0000086,grain-supported,external,1.0,Packstone is a grain-supported sedimentary carbonate rock,REJECTED,Unknown object category 'unknown'.
packstone,Sedimentary Rock,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,carbonate mud,domain_term,1.0,contains a matrix of carbonate mud (micrite),ACCEPTED,Valid.
packstone,Sedimentary Rock,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,shrub,domain_term,1.0,composed of reworked grains such as shrub fragments,ACCEPTED,Valid.
packstone,Sedimentary Rock,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,peloid,domain_term,1.0,composed of reworked grains such as... peloids,ACCEPTED,Valid. | Warnings: Evidence is paraphrased (not exact quote from NLD). Word overlap: 71%.
rift phase,Geological Time Interval,part_of,http://purl.obolibrary.org/obo/BFO_0000050,sedimentary basin evolution,external,1.0,initial tectonostratigraphic stage of sedimentary basin evolution,REJECTED,Unknown object category 'unknown'.
rift phase,Geological Time Interval,has_part,http://purl.obolibrary.org/obo/BFO_0000051,continental extension,external,1.0,characterized by active continental extension,REJECTED,Unknown object category 'unknown'.
rift phase,Geological Time Interval,has_part,http://purl.obolibrary.org/obo/BFO_0000051,fault-controlled subsidence,external,1.0,characterized by... fault-controlled subsidence,REJECTED,Unknown object category 'unknown'.
