Term,Parent_Term,Relationship_Type,Category,Is_Intermediate,NLD,FALLBACK,Category_IRI,Parent_IRI
pelotas basin,passive-margin basin,rdf:type,Basin,False,"The Pelotas Basin is a sedimentary basin on the southeastern Brazilian Atlantic margin that is located south of the Santos Basin and is characterized as a classic volcanic passive margin. It is separated from the Santos Basin to the north by the Florianopolis High and, unlike the magma-poor Santos and Campos basins, contains huge rifts filled predominantly with volcanic material. Like adjacent basins, it formed as a marginal depression during the Early Cretaceous breakup of the Gondwana supercontinent.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000039,
espírito santo basin,passive-margin basin,rdf:type,Basin,False,"The Espírito Santo Basin is a sedimentary basin that is situated on the eastern Brazilian continental margin and is bounded to the south by the Vitória High, which separates it from the Campos Basin. Like adjacent basins, it was formed during the Early Cretaceous breakup of Gondwana and contains significant hydrocarbon accumulations in its pre-salt and post-salt sequences, making it an important petroleum province.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000039,
namibe basin,passive-margin basin,rdf:type,Basin,False,"The Namibe Basin is a South Atlantic marginal sedimentary basin that is located offshore Angola and Namibia and represents the African conjugate to the Brazilian Santos Basin. Formed during the Early Cretaceous continental breakup, it shares a common rift history and a pre-salt depositional system with its Brazilian counterpart, making its carbonate successions a key subject for comparative geological studies.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000039,
structural low,basin,rdfs:subClassOf,Basin,False,"A structural low is a tectonically formed depression in the subsurface that is characterized by a lower structural elevation relative to adjacent areas, such as horsts or structural highs. In the Brazilian Pre-Salt, these features often correspond to grabens and half-grabens created during the rift phase, which control the depositional architecture and thickness of overlying sedimentary sequences. They are identified on seismic data as areas of lower elevation on structural contour maps of key horizons, particularly the top of the basement.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000039,
depocenter,structural low,rdfs:subClassOf,Basin,False,"A depocenter is a structural low within a sedimentary basin that is characterized by the greatest thickness of accumulated sediment. In the Brazilian Pre-Salt rift setting, these features are typically fault-controlled depressions, such as half-grabens, that provide the accommodation space necessary for the deposition and preservation of thick lacustrine carbonate successions. The migration and evolution of these depocenters through time directly control the distribution and architecture of reservoir bodies.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000039,
half-graben,structural low,rdfs:subClassOf,Basin,False,"A half-graben is a structural basin that is bounded on one side by a major normal or listric fault, resulting in a characteristic wedge-shaped geometry with rotated internal blocks. Formed during extensional tectonics, these structures in the Brazilian Pre-Salt are filled with syn-rift deposits and can vary from narrow, discontinuous features to wide, continuous basins.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000039,
Geological Object,basin,rdfs:subClassOf,Basin,True,A Geological Object is a material entity that is a part of or constitutes the geosphere.,False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000039,
búzios field,Geological Object,rdf:type,Basin,False,"Búzios Field is a supergiant oil and gas field that contains the largest known pre-salt hydrocarbon accumulation by volume, located in the ultra-deep waters of the northern Santos Basin, Brazil. Discovered in 2010, its reservoirs are hosted within Barremian-Aptian age lacustrine carbonates of the Barra Velha and Itapema Formations, situated on the Santos Basin Outer High. The field is structurally positioned between the Iara-Iracema and Libra transfer zones and represents a critical component of Brazil's total oil reserves and production.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000039,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000001
brazilian continental margin,Geological Object,rdf:type,Basin,False,"The Brazilian continental margin is a passive continental margin that formed along the eastern and southeastern coast of Brazil as a result of the breakup of the Gondwana supercontinent and the opening of the South Atlantic Ocean. It is composed of a series of extensive sedimentary basins, including the Santos, Campos, and Pelotas basins, which are separated by structural features such as the Cabo Frio and Florianopolis Highs. This margin is globally significant as it hosts the prolific Pre-Salt petroleum province.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000039,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000001
accommodation space,basin,rdfs:subClassOf,Basin,False,"Accommodation space is the volume available for sediment accumulation that is created and controlled by the combined effects of tectonic subsidence and changes in base level. In the context of the Brazilian Pre-Salt's lacustrine rift basins, this space is primarily governed by tectonic stimuli, such as fault movement and thermal subsidence, and fluctuations in lake level.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000039,
carbonate platform,Depositional System,rdfs:subClassOf,Depositional System,False,"A carbonate platform is a large-scale sedimentary body that is composed predominantly of carbonate rocks deposited in a lacustrine environment, typically forming over a structural or basement high. Within the Brazilian Pre-Salt, these platforms are characterized by aggradational and/or progradational geometries and can host a wide range of facies, including microbialites, spherulitites, and grainstones, reflecting both high- and low-energy depositional conditions.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000020,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000020
depositional system,Depositional System,rdfs:subClassOf,Depositional System,False,"A depositional system is a three-dimensional assemblage of genetically related sedimentary facies that records the interplay of controlling factors such as tectonism, climate, and palaeotopography. It serves as a conceptual model for understanding and predicting the distribution of reservoir facies across a basin or platform. In the Brazilian Pre-Salt, these systems describe the evolution of lacustrine carbonate platforms where sedimentation rates and facies types are strongly influenced by fault activity and climatic shifts.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000020,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000020
lacustrine system,depositional system,rdfs:subClassOf,Depositional System,False,"A lacustrine system is a depositional system that encompasses the physical, chemical, and biological components and processes associated with a lake or a series of interconnected lakes. In the context of the Brazilian Pre-Salt, this refers to the vast, alkaline, and chemically stratified depositional environment of the Aptian South Atlantic where complex microbial and abiotic carbonate accumulations formed. The immense scale and internal stratification of this system distinguish it from typical lacustrine environments, with depositional changes often driven by internal processes rather than lake-level fluctuations.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000020,
lacustrine carbonate system,lacustrine system,rdfs:subClassOf,Depositional System,False,"A lacustrine carbonate system is a depositional system that encompasses the generation, accumulation, and diagenesis of carbonate sediments within a lake or a series of interconnected lakes. In the context of the Brazilian Pre-Salt, these systems developed in a continental rift setting during the Early Cretaceous, forming vast and complex reservoirs composed of largely abiotic and microbial carbonates whose genesis was influenced by unique lake chemistry and mantle-derived inputs.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000020,
permeability,petrophysical property,rdfs:subClassOf,Dimension,False,"Permeability is a fundamental petrophysical property that measures the capacity of a porous rock to transmit fluids through its interconnected pore network. In complex carbonate reservoirs such as the Brazilian Pre-Salt, it is a critical parameter for determining flow capacity, with the total permeability being a composite of contributions from the rock matrix and high-conductivity features like fractures, vugs, and caves.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000022,
petrophysical property,quality,rdfs:subClassOf,Dimension,False,"A petrophysical property is a quantifiable physical attribute of a rock that is used for formation evaluation and to characterize its capacity to store and transmit fluids. The main properties for reservoir management are porosity, permeability, and water saturation, which are critical for understanding fluid storage and flow. These properties are often influenced by diagenetic processes and can be estimated through the integration of well logs and rock sample data.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000022,http://purl.obolibrary.org/obo/BFO_0000019
water depth,quality,rdfs:subClassOf,Dimension,False,"Water depth is a paleo-environmental measurement that quantifies the vertical distance from the surface of an ancient lake to the depositional interface at a specific point in time. In the context of Pre-Salt carbonate reservoirs, this parameter is a primary control on facies distribution, with specific depth ranges often correlating to different lithofacies associations such as shrubby, reworked, and transitional carbonates. This paleo-water depth is distinct from the modern oceanic water depth, which is an operational parameter for drilling and production infrastructure.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000022,http://purl.obolibrary.org/obo/BFO_0000019
lake level,quality,rdfs:subClassOf,Dimension,False,"Lake level is the vertical position of a lake's water surface that is measured relative to a datum and serves as a primary control on sediment deposition. Fluctuations in lake level, driven by climatic and tectonic factors, directly control accommodation space, water chemistry, and the resulting depositional facies. In the Brazilian Pre-Salt, highstands are often associated with increased siliciclastic input, whereas lowstands promote the development of alkaline-rich carbonate facies such as microbialites and travertines.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000022,http://purl.obolibrary.org/obo/BFO_0000019
grain size,quality,rdfs:subClassOf,Dimension,False,"Grain size is a fundamental textural property of a sediment or sedimentary rock that quantifies the diameter of its constituent particles. In Brazilian Pre-Salt carbonates, it is a critical parameter for classifying rocks, such as distinguishing bioclastic grainstones (grains < 2 mm) from rudstones (grains > 2 mm), and reflects the depositional energy of the environment. Characteristic grain sizes in the Barra Velha Formation include spherulites commonly less than 2 mm, shrub-grains averaging 2-5 mm, and carbonate muds less than 125 μm.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000022,http://purl.obolibrary.org/obo/BFO_0000019
accommodation,spatial region,rdfs:subClassOf,Dimension,False,"Accommodation is the space available for sediment accumulation that is governed by the combined effects of tectonic movement, such as subsidence, and changes in base level. In the Pre-Salt rift basins, accommodation is primarily controlled by tectonically-driven differential subsidence across fault blocks, which creates localized variations that dictate the stacking patterns, geometry, and distribution of carbonate reservoir facies.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000022,http://purl.obolibrary.org/obo/BFO_0000006
oil reserve,quality,rdfs:subClassOf,Dimension,False,"Oil reserve is the estimated quantity of crude oil that is commercially and technically recoverable from known accumulations under defined economic and operational conditions. In the Brazilian Pre-Salt, these reserves are primarily hosted within complex lacustrine carbonate reservoirs, such as those of the Barra Velha Formation, and represent the exploitable portion of the total oil-in-place.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000022,http://purl.obolibrary.org/obo/BFO_0000019
pore size,petrophysical property,rdfs:subClassOf,Dimension,False,"Pore size is a petrophysical parameter that quantifies the physical dimensions of the void spaces (pores) within a rock. It is commonly measured as a pore throat radius or diameter (in micrometers) via mercury injection capillary pressure, as a pore area (in square millimeters) from petrographic image analysis, or inferred from NMR relaxation times. The distribution of pore sizes, often categorized into micropore, mesopore, and macropore classes, is a critical control on reservoir storage capacity and fluid flow properties in Pre-Salt carbonates.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000022,
quality,Dimension,rdfs:subClassOf,Dimension,True,"A quality is a measurable or observable attribute, property, or characteristic that inheres in a single entity.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000022,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000022
spatial region,Dimension,rdfs:subClassOf,Dimension,True,A spatial region is a region of space which may or may not be occupied by a material entity.,False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000022,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000022
fluid,Earth Fluid,rdfs:subClassOf,Earth Fluid,False,"Fluid is a substance that occupies the pore space of a reservoir rock and is characterized by its composition, physical properties, and mobility. In the context of petroleum reservoirs, fluids primarily consist of hydrocarbons (oil and gas) and water, which are classified based on their mobility within the pore network as either free fluid or bound fluid. The analysis of fluid properties, such as composition and pressure-volume-temperature (PVT) behavior, is essential for reservoir characterization and production forecasting.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000009,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000009
hydrocarbon accumulation,Earth Fluid,rdfs:subClassOf,Earth Fluid,False,"A hydrocarbon accumulation is a subsurface body of oil and/or gas that is trapped within a porous and permeable reservoir rock. In the Brazilian Pre-Salt, these accumulations typically form giant or supergiant fields hosted within complex lacustrine carbonate reservoirs, where internal seals can cause segregation and compartmentalization.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000009,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000009
Aqueous Fluid,fluid,rdfs:subClassOf,Earth Fluid,True,An Aqueous Fluid is an earth fluid in which water is the primary solvent.,False,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000009,
Organic Compound,fluid,rdfs:subClassOf,Earth Fluid,True,An Organic Compound is a chemical compound containing carbon-hydrogen bonds that exists as a component or primary constituent of an earth fluid.,False,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000009,
hydrothermal fluid,Aqueous Fluid,rdfs:subClassOf,Earth Fluid,False,"A hydrothermal fluid is a hot aqueous solution that circulates through the Earth's crust, driven by geothermal gradients, and causes significant physico-chemical alteration of the rocks it flows through. In the Brazilian Pre-Salt, these fluids typically migrate along tectonic faults and fractures, causing dissolution, brecciation, and the precipitation of a characteristic mineral suite such as saddle dolomite, quartz, and barite, which significantly modifies reservoir properties.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000009,
marine water,Aqueous Fluid,rdfs:subClassOf,Earth Fluid,False,"Marine water is water originating from the sea or ocean that is defined by a specific geochemical and isotopic composition distinct from continental lacustrine waters. In the context of the South Atlantic margin, the influx of Aptian marine water, characterized by a low strontium isotope ratio (⁸⁷Sr/⁸⁶Sr ≈ 0.707), terminated the Pre-Salt lacustrine system and led to the deposition of the overlying Ariri Formation evaporites.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000009,
hydrocarbon,Organic Compound,rdfs:subClassOf,Earth Fluid,False,"Hydrocarbon is a naturally occurring organic compound that consists primarily of hydrogen and carbon atoms, forming the principal constituent of petroleum, including crude oil and natural gas. Generated from the thermal maturation of organic matter, these compounds migrate and accumulate in geological traps, such as the lacustrine carbonate reservoirs of the Brazilian Pre-Salt, where they form commercially significant accumulations subject to exploration and production.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000009,
organic acid,Organic Compound,rdfs:subClassOf,Earth Fluid,False,"Organic acid is a type of acidic organic compound that is generated from the thermal maturation of kerogen or the degradation of biological matter within a sedimentary basin. In the Brazilian Pre-Salt, these acids are significant diagenetic agents that arrive with hydrocarbon charge and can cause the dissolution of carbonate minerals and Mg-rich clays, thereby influencing reservoir porosity. Certain organic acids present during deposition can also influence the morphology of primary carbonate precipitates.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000009,
oil,hydrocarbon,rdfs:subClassOf,Earth Fluid,False,"Oil is a naturally occurring liquid hydrocarbon fluid that accumulates in subsurface geological traps and is the primary target for commercial extraction in a petroleum system. Within the Brazilian Pre-Salt, it is a reservoir fluid characterized by specific pressure gradients and compositional properties, allowing its volume to be quantified above an oil-water contact. This fluid is produced in significant quantities from the deep-water carbonate reservoirs, representing a major component of Brazil's energy production.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000009,
gas,hydrocarbon,rdfs:subClassOf,Earth Fluid,False,"Gas is a fluid phase that consists of a mixture of low-molecular-weight hydrocarbons and non-hydrocarbon components existing under reservoir conditions. In the Brazilian Pre-Salt, it is typically an oil-associated thermogenic fluid, often containing high concentrations of carbon dioxide (CO2), whose composition is used to assess the thermal maturity of the petroleum system.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000009,
oil accumulation,hydrocarbon accumulation,rdfs:subClassOf,Earth Fluid,False,"An oil accumulation is a discrete subsurface volume of petroleum that is held within a stratigraphic or structural trap. In the context of the Brazilian Pre-Salt, these are typically giant accumulations of oil with associated gas found within lacustrine carbonate reservoirs of formations such as Barra Velha and Itapema. The contained fluids form a distinct oil column characterized by properties such as API gravity and saturation pressure, which may exhibit gradients due to post-accumulation processes.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000009,
reservoir,Body of Rock,rdfs:subClassOf,Body of Rock,False,"A reservoir is a subsurface rock unit that possesses sufficient porosity and permeability to store and transmit economically significant quantities of hydrocarbons. In the Brazilian Pre-Salt, these are typically lacustrine carbonate rocks, such as coquinas, whose quality and heterogeneity are controlled by depositional cycles and subsequent diagenesis.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000001,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000001
carbonate reservoir,reservoir,rdfs:subClassOf,Body of Rock,False,"A carbonate reservoir is a subsurface geological formation composed of carbonate rocks that possesses sufficient porosity and permeability to store and transmit economically viable quantities of hydrocarbons. These reservoirs are characterized by extreme geological complexity and heterogeneity resulting from complex depositional and diagenetic histories, which in the Brazilian Pre-Salt includes unique lacustrine facies like coquinas and microbialites, often leading to significant reservoir compartmentalization.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000001,
cabo frio high,basement high,rdf:type,Body of Rock,False,Cabo Frio High is a major regional structural high that forms the northeastern boundary of the Santos Basin and the southern boundary of the Campos Basin. This basement feature is characterized by a complex composition of igneous rocks from multiple magmatic events and separates two of Brazil's most prolific hydrocarbon-producing basins.,False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000001,
basement,Body of Rock,rdfs:subClassOf,Body of Rock,False,"Basement is a rock succession that underlies the sedimentary rift sequence and is typically composed of crystalline igneous and metamorphic rocks. In the Brazilian Pre-Salt, its pre-existing structural fabric and composition significantly controlled the development of rift-related faults, horsts, and grabens. Seismically, it is identified as the acoustic basement, often exhibiting chaotic or low-amplitude reflections, and can act as a source of diagenetic fluids for the overlying reservoirs.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000001,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000001
gondwana,Supercontinent,rdf:type,Body of Rock,False,"Gondwana is a former supercontinent that included the landmasses of the Southern Hemisphere, whose fragmentation during the Early Cretaceous created the conjugate continental margins of South America and Africa. The rifting process that separated these continents formed the basins along the Brazilian margin where the Pre-Salt lacustrine sequences were deposited. The Precambrian basement rocks of this supercontinent, often referred to as West Gondwana in this region, underlie the sedimentary successions of the South Atlantic rift system.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000001,
florianopolis high,basement high,rdf:type,Body of Rock,False,"Florianopolis High is a major structural high that defines the southern boundary of the Santos Basin, separating it from the Pelotas Basin. This dominantly magmatic feature acted as a significant barrier during the Early Cretaceous, isolating the basin and creating the restricted lacustrine conditions necessary for the deposition of the Pre-Salt carbonate reservoirs.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000001,
seal,Body of Rock,rdfs:subClassOf,Body of Rock,False,"A seal is a low-permeability rock unit or geological feature that prevents or significantly impedes the flow of fluids, enabling the trapping of petroleum accumulations over geological or production timescales. Seals are categorized as static, which are completely impermeable over geological time, or dynamic, which are low-permeability baffles that act as seals over production timescales. In the Brazilian Pre-Salt, the thick evaporite sequence of the Ariri Formation serves as the primary regional seal for the underlying carbonate reservoirs.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000001,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000001
outer high,basement high,rdf:type,Body of Rock,False,"Outer High is a major, NE-SW trending uplifted basement structure that is located in the distal Santos Basin and provided an elevated, clastic-starved platform for the deposition of lacustrine carbonates. This regional feature is composed of several large culminations, including the Sugar Loaf and Tupi highs. Its pronounced elevation and distal location created ideal conditions for the development of extensive carbonate reservoirs, which host the supergiant pre-salt oil fields.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000001,
hanging wall,fault block,rdfs:subClassOf,Body of Rock,False,"Hanging wall is the block of rock that lies structurally above an inclined fault plane. In the extensional rift settings of the Brazilian Pre-Salt, the hanging wall typically subsides relative to the footwall, accommodating syn-rift sedimentary packages that often exhibit deformation structures like drag folds and growth wedges.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000001,
silica nodule,Diagenetic Body,rdfs:subClassOf,Body of Rock,False,"A silica nodule is a diagenetic body that is composed of microcrystalline and/or macrocrystalline quartz, occurring as a discrete, rounded to almond-shaped mass within a host carbonate rock. In the Brazilian Pre-Salt, these are common early diagenetic features found within fine-grained lacustrine carbonates like mudstones. Their formation is often attributed to the precipitation of interstitial silica gels triggered by changes in pore-water chemistry, such as a lowering of pH.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000001,
lacustrine deposit,Sedimentary Deposit,rdfs:subClassOf,Body of Rock,False,"A lacustrine deposit is a body of sediment or sedimentary rock that is formed by accumulation within a lake environment. In the Brazilian Pre-Salt, these deposits are predominantly carbonates, including bioclastic accumulations and authigenic magnesian phyllosilicates, which were deposited in tectonically controlled rift basins. These lacustrine carbonates constitute the primary hydrocarbon reservoirs in the Santos and Campos basins, with their quality being highly influenced by the original depositional facies and subsequent diagenetic processes.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000001,
fault block,Structural Body of Rock,rdfs:subClassOf,Body of Rock,False,"A fault block is a crustal block that is bounded by faults, typically forming an uplifted horst or a tilted structure in an extensional tectonic setting. Within the Brazilian Pre-Salt, these blocks form prominent structural highs that control the deposition of carbonate reservoir facies, with stratigraphic thinning on the crests and the accumulation of reworked grainstones along their flanks.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000001,
oceanic crust,Crust,rdfs:subClassOf,Body of Rock,False,"Oceanic crust is the uppermost layer of the oceanic portion of a tectonic plate that is formed by seafloor spreading at mid-ocean ridges during the drift phase of a passive margin's evolution. Following its formation, the cooling of the newly formed oceanic crust drives long-term thermal subsidence, and continued spreading can transmit intraplate stress that may cause tectonic inversion.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000001,
lacustrine carbonate reservoir,carbonate reservoir,rdfs:subClassOf,Body of Rock,False,"A lacustrine carbonate reservoir is a hydrocarbon reservoir that is composed of carbonate rocks deposited in a lacustrine setting during a continental rift phase and is characteristically situated beneath a thick evaporite layer. In the Brazilian Pre-Salt, these reservoirs are found in the Santos and Campos basins and are known for their significant geological complexity, with reservoir quality controlled by a combination of depositional facies, such as shrubstones and grainstones, and extensive diagenetic modification. Their pore systems are typically dominated by secondary solution and intercrystalline porosity, which contributes to their world-class storage capacity for hydrocarbons.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000001,
lacustrine carbonate platform,carbonate deposit,rdfs:subClassOf,Body of Rock,False,"A lacustrine carbonate platform is a large-scale, seismically mappable sedimentary body that develops on structural highs within a lacustrine basin during rift sag phases. In the Brazilian Pre-Salt, these platforms are primarily built by non-marine carbonate grains, such as microbial boundstones, spherulites, and intraclasts. The resulting boundstone and grainstone facies form the main hydrocarbon reservoirs of the sequence.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000001,
ribeira belt,basement,rdf:type,Body of Rock,False,"The Ribeira Belt is a Neoproterozoic to Paleozoic collisional orogen in southeastern Brazil that formed during the Brasiliano Pan-African orogeny and the amalgamation of West Gondwana. Composed primarily of granites and gneisses, its structural fabric extends offshore to form the basement of the Santos Basin. This crustal inheritance exerted a strong control on the subsequent Mesozoic rifting architecture, creating the fault trends and structural highs that conditioned the deposition of the Pre-Salt carbonate reservoirs.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000001,
