Term,Cat_A,Cat_B,Cat_C,Cat_D,Pattern
horst,Geological Object,Geological Object,Geological Object,Geological Object,Stable
hydrocarbon,Earth Fluid,Earth Fluid,Earth Fluid,Earth Fluid,Stable
hydrothermal fluid,Earth Fluid,Earth Fluid,Earth Fluid,Earth Fluid,Stable
hydrothermal vent,Geological Structure,site,site,site,Multi-sensitive
hydrothermal vent complex,Geological Object,Depositional System,object aggregate,Geological Structure,Multi-sensitive
hyper-alkaline lake,Depositional System,site,Earth Fluid,Geological Object,Multi-sensitive
intra-alagoas unconformity,Geological Boundary,Geological Boundary,Geological Boundary,Geological Boundary,Stable
intraclast,Sediment,Sedimentary Geological Object,Geological Object,Sedimentary Geological Object,Multi-sensitive
itapema formation,Depositional Unit,Depositional Unit,Depositional Unit,Depositional Unit,Stable
kwanza basin,Depositional System,Depositional System,Depositional System,Geological Object,Compression-sensitive
lacustrine carbonate,Sedimentary Rock,Sedimentary Rock,Earth Material,Sedimentary Rock,NLD-sensitive
lacustrine environment,Depositional System,site,site,site,Multi-sensitive
lacustrine setting,Depositional System,site,Depositional System,site,RAG-sensitive
lagoa feia group,Depositional System,Depositional System,Depositional System,Depositional System,Stable
lake,Depositional System,site,Geological Object,site,Multi-sensitive
lake tanganyika,site,site,object,site,NLD-sensitive
lake water,Earth Fluid,Earth Fluid,Earth Fluid,Earth Fluid,Stable
laminite,Sedimentary Rock,Sedimentary Rock,Sedimentary Rock,Sedimentary Rock,Stable
late aptian,Geological Time Interval,Geological Time Interval,Geological Time Interval,Geological Time Interval,Stable
late cretaceous,Geological Time Interval,Geological Time Interval,Geological Time Interval,Geological Time Interval,Stable
limestone,Sedimentary Rock,Sedimentary Rock,Sedimentary Rock,Sedimentary Rock,Stable
lithology,Sedimentary Facies,Sedimentary Facies,Facies,Sedimentary Facies,NLD-sensitive
lower cretaceous,Geological Time Interval,Geological Time Interval,Geological Time Interval,Geological Time Interval,Stable
lula field,Depositional System,Depositional System,site,Geological Object,NLD-sensitive
macabu formation,Depositional Unit,Geological Object,Depositional Unit,Depositional Unit,RAG-sensitive
magmatic event,Geological Process,Geological Process,Geological Process,Geological Process,Stable
magmatism,Geological Process,Geological Process,Geological Process,Geological Process,Stable
marine carbonate,Sedimentary Rock,Sedimentary Rock,Sedimentary Rock,Sedimentary Rock,Stable
marine environment,Geological Process,site,site,site,Multi-sensitive
marine system,Depositional System,Depositional System,Depositional System,Depositional System,Stable
marl,Sedimentary Rock,Sedimentary Rock,Sedimentary Rock,Sediment,Compression-sensitive
microbial macrostructure,Sedimentary Structure,Sedimentary Structure,Sedimentary Structure,Geological Structure,Compression-sensitive
microbial microstructure,Sedimentary Facies,Sedimentary Facies,Geological Structure,Geological Structure,NLD-sensitive
microbialite,Sedimentary Rock,Sedimentary Rock,Sedimentary Rock,Sedimentary Rock,Stable
moldic porosity,quality,quality,quality,quality,Stable
mound,Mound Unit,Mound Unit,Mound Unit,Mound Unit,Stable
mudstone,Sedimentary Rock,Sedimentary Rock,Sedimentary Rock,Sedimentary Rock,Stable
normal fault,Geological Structure,Geological Structure,Geological Structure,Geological Structure,Stable
oceanic crust,Earth Material,Geological Object,Rock,Earth Material,Multi-sensitive
oil,Earth Fluid,Earth Fluid,Earth Fluid,Earth Fluid,Stable
onlap,Sedimentary Structure,Sedimentary Structure,Geological Contact,Geological Contact,NLD-sensitive
ooid,Geological Object,Geological Object,Geological Object,Geological Object,Stable
organic matter,Earth Material,Earth Material,Earth Material,Earth Material,Stable
ostracod,object,Geological Object,Geological Object,Geological Object,Multi-sensitive
packstone,Sedimentary Rock,Sedimentary Rock,Sedimentary Rock,Sedimentary Rock,Stable
peloid,Sediment,Sedimentary Geological Object,Geological Object,Sedimentary Geological Object,Multi-sensitive
permeability,quality,quality,quality,quality,Stable
petroleum system,object aggregate,Depositional System,object aggregate,object aggregate,RAG-sensitive
phanerozoic,Geological Time Interval,Geological Time Interval,Geological Time Interval,Geological Time Interval,Stable
piçarras formation,Depositional System,Depositional Unit,Depositional System,Depositional Unit,RAG-sensitive
platform,Depositional Unit,Depositional Unit,Depositional Unit,Depositional Unit,Stable
porosity,quality,quality,quality,quality,Stable
post-depositional faulting,Geological Process,Geological Process,Geological Process,Geological Process,Stable
post-rift phase,Geological Time Interval,Geological Process,Geological Time Interval,Geological Time Interval,RAG-sensitive
post-rift sequence,Depositional System,Depositional System,Depositional System,Depositional Unit,Compression-sensitive
pre-alagoas unconformity,Geological Boundary,Geological Boundary,Geological Boundary,Geological Boundary,Stable
pre-salt,Depositional System,Depositional System,Depositional System,Depositional System,Stable
pre-salt play,NOT_CLASSIFIED,generically dependent continuant,generically dependent continuant,NOT_CLASSIFIED,Multi-sensitive
pre-salt section,Geological Object,Depositional System,Depositional System,Depositional System,Multi-sensitive
precambrian,Geological Time Interval,Geological Time Interval,Geological Time Interval,Geological Time Interval,Stable
precambrian basement,Geological Object,Geological Object,Geological Object,Geological Object,Stable
progradation,Geological Process,Geological Process,Geological Process,Geological Process,Stable
pyramid lake,site,site,site,site,Stable
recrystallization,Geological Process,Geological Process,Geological Process,Geological Process,Stable
reflector termination,Geological Contact,Geological Contact,Geological Boundary,Sedimentary Structure,NLD-sensitive
reservoir,Sedimentary Geological Object,Sedimentary Geological Object,Geological Object,Sedimentary Geological Object,NLD-sensitive
reservoir facies,Sedimentary Facies,Sedimentary Facies,Sedimentary Facies,Sedimentary Facies,Stable
reservoir quality,quality,quality,quality,quality,Stable
rift,Geological Process,Geological Object,Geological Structure,Geological Process,Multi-sensitive
rift basin,Depositional System,Sedimentary Geological Object,Geological Object,Geological Object,Multi-sensitive
rift phase,Geological Process,Geological Process,Geological Time Interval,Geological Time Interval,NLD-sensitive
rift section,Depositional System,Depositional System,Geological Object,Geological Object,NLD-sensitive
rifting,Geological Process,Geological Process,Geological Process,Geological Process,Stable
rudstone,Sedimentary Rock,Sedimentary Rock,Sedimentary Rock,Sedimentary Rock,Stable
sag phase,Geological Process,Geological Process,Geological Time Interval,Geological Time Interval,NLD-sensitive
salt basin,Depositional System,Geological Object,Depositional System,Depositional System,RAG-sensitive
salt deposit,Depositional Unit,Sedimentary Rock,Sedimentary Geological Object,Depositional Unit,Multi-sensitive
salt deposition,Geological Process,Geological Process,Geological Process,Geological Process,Stable
sandstone,Sedimentary Rock,Sedimentary Rock,Sedimentary Rock,Sedimentary Rock,Stable
santos basin,Depositional System,Depositional System,Geological Object,Geological Object,NLD-sensitive
seal,Sedimentary Geological Object,Sedimentary Geological Object,Sedimentary Rock,Geological Object,NLD-sensitive
sediment,Sediment,Sediment,Sediment,Sediment,Stable
seismic facies,Facies,Facies,Facies,Sedimentary Facies,Compression-sensitive
shale,Sedimentary Rock,Sedimentary Rock,Sedimentary Rock,Sedimentary Rock,Stable
shallow lake,Depositional System,site,site,site,Multi-sensitive
shrub,Geological Structure,Sedimentary Geological Object,object,Sedimentary Structure,Multi-sensitive
silica,Earth Material,Earth Material,Earth Material,Earth Material,Stable
silica cement,Earth Material,Earth Material,Earth Material,Earth Material,Stable
silica nodule,Geological Object,Geological Object,Geological Object,Geological Object,Stable
siliciclastic,quality,Sedimentary Facies,quality,quality,RAG-sensitive
silicification,Geological Process,Geological Process,Geological Process,Geological Process,Stable
siltstone,Sedimentary Rock,Sedimentary Rock,Sedimentary Rock,Sedimentary Rock,Stable
source rock,Sedimentary Rock,Sedimentary Rock,Sedimentary Rock,Sedimentary Rock,Stable
south atlantic,site,site,fiat object part,fiat object part,NLD-sensitive
south atlantic ocean,site,site,site,fiat object part,Compression-sensitive
spherulite,Geological Object,Geological Object,Geological Object,Sedimentary Geological Object,Compression-sensitive
stevensite,Earth Material,Earth Material,Earth Material,Earth Material,Stable
stromatolite,Sedimentary Geological Object,Sedimentary Structure,Sedimentary Structure,Sedimentary Geological Object,Multi-sensitive
structural high,Geological Structure,Geological Structure,Geological Structure,Geological Structure,Stable
structural low,Geological Structure,site,site,site,Multi-sensitive
subsidence,Geological Process,Geological Process,Geological Process,Geological Process,Stable
syn-depositional faulting,Geological Process,Geological Process,Geological Process,Geological Process,Stable
tectonic activity,Geological Process,Geological Process,Geological Process,Geological Process,Stable
tectonics,Geological Process,Geological Process,Geological Process,Geological Process,Stable
tectono-stratigraphic evolution,Geological Process,Geological Process,Geological Process,Geological Process,Stable
texture,Geological Structure,quality,Facies,Facies,Multi-sensitive
thermal subsidence,Geological Process,Geological Process,Geological Process,Geological Process,Stable
tholeiitic basalt,Rock,Rock,Rock,Rock,Stable
trap,Geological Structure,Geological Structure,Geological Structure,Geological Structure,Stable
travertine,Sedimentary Rock,Sedimentary Rock,Sedimentary Rock,Sedimentary Rock,Stable
unconformity,Geological Boundary,Geological Boundary,Geological Boundary,Geological Boundary,Stable
wackestone,Sedimentary Rock,Sedimentary Rock,Sedimentary Rock,Sedimentary Rock,Stable
water depth,Dimension,Dimension,Thickness,Thickness,NLD-sensitive
wave base,fiat surface,fiat surface,fiat surface,fiat surface,Stable
weathering,Geological Process,Geological Process,Geological Process,Geological Process,Stable
