Term,Category,Property,Property_IRI,Filler,Filler_Source,Confidence,Evidence,Validation_Status,Validation_Reason,Relation_Scope,Scope_Reason,Scope_Confidence,Scope_Needs_Review
itapema formation,Formation,located_in,http://purl.obolibrary.org/obo/BFO_0000171,santos basin,domain_term,1.0,deposited during the upper rift stage of the Santos Basin,ACCEPTED,Valid.,individual_fact,subject was converted to owl:NamedIndividual,1.0,False
permeability,realizable entity,inheres_in,http://purl.obolibrary.org/obo/BFO_0000197,reservoir rock,domain_term,1.0,quantifies a reservoir rock's ability to transmit fluids,ACCEPTED,Valid. | Warnings: Evidence is paraphrased (not exact quote from NLD). Word overlap: 88%.,generic,"The NLD presents permeability as a petrophysical property of reservoir rock in definitional terms ('quantifies a reservoir rock’s ability to transmit fluids'), so the bearer relation is stated generically for the kind.",0.96,False
carbonate reservoir,Body of Rock,located_in,http://purl.obolibrary.org/obo/BFO_0000171,carbonate rock,domain_term,1.0,hosted in carbonate rocks,ACCEPTED,Valid.,generic,the relation is stated in the defining sentence of carbonate reservoir as being hosted in carbonate rocks,0.97,False
carbonate reservoir,Body of Rock,has_quality,http://purl.obolibrary.org/obo/RO_0000086,porosity,domain_term,1.0,whose porosity and permeability are controlled,ACCEPTED,Valid.,generic,porosity is presented as a characteristic quality in the class definition of carbonate reservoir,0.96,False
ariri formation,Formation,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,anhydrite,domain_term,1.0,dominated by basal anhydrite,ACCEPTED,Valid.,individual_fact,subject was converted to owl:NamedIndividual,1.0,False
ariri formation,Formation,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,halite,domain_term,1.0,and thick halite,ACCEPTED,Valid.,individual_fact,subject was converted to owl:NamedIndividual,1.0,False
ariri formation,Formation,located_in,http://purl.obolibrary.org/obo/BFO_0000171,santos basin,domain_term,1.0,In the Santos Basin it is dominated by basal anhydrite and thick halite,ACCEPTED,Valid.,individual_fact,subject was converted to owl:NamedIndividual,1.0,False
coquina,Sedimentary Rock,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,bioclast,domain_term,0.8,a bioclastic carbonate rock that consists of accumulations of biological hard parts,ACCEPTED,Valid.,generic,bioclast accumulation is part of the class definition of coquina,0.96,False
coquina,Sedimentary Rock,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,ostracod,domain_term,1.0,with subordinate gastropods and ostracods,ACCEPTED,Valid.,corpus_context,ostracods are mentioned only for the Itapema Formation occurrence of coquina,0.98,False
piçarras formation,Formation,located_in,http://purl.obolibrary.org/obo/BFO_0000171,santos basin,domain_term,1.0,in the Brazilian pre-salt of the Santos Basin,ACCEPTED,Valid.,individual_fact,subject was converted to owl:NamedIndividual,1.0,False
piçarras formation,Formation,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,conglomerate,domain_term,1.0,It is characterized by proximal alluvial-fan conglomerates,ACCEPTED,Valid.,individual_fact,subject was converted to owl:NamedIndividual,1.0,False
piçarras formation,Formation,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,sandstone,domain_term,1.0,and polymictic to coarse- and medium-grained sandstones,ACCEPTED,Valid.,individual_fact,subject was converted to owl:NamedIndividual,1.0,False
early cretaceous,Geological Time Interval,occurrent_part_of,http://purl.obolibrary.org/obo/BFO_0000132,cretaceous,domain_term,1.0,comprises the earlier part of the Cretaceous Period,ACCEPTED,Valid.,individual_fact,subject was converted to owl:NamedIndividual,1.0,False
dolomitization,Geological Process,has_participant,http://purl.obolibrary.org/obo/BFO_0000057,mg-clay,domain_term,1.0,transforms carbonate and Mg-clay constituents into dolomite,ACCEPTED,Valid.,generic,definition presents Mg-clay as a constituent transformed in dolomitization,0.96,False
dolomitization,Geological Process,has_participant,http://purl.obolibrary.org/obo/BFO_0000057,dolomite,domain_term,1.0,transforms carbonate and Mg-clay constituents into dolomite,ACCEPTED,Valid.,generic,definition presents dolomite as the resulting mineral in dolomitization,0.93,False
dolomitization,Geological Process,occurs_in,http://purl.obolibrary.org/obo/BFO_0000066,lacustrine carbonate,domain_term,1.0,during early diagenesis in Brazilian pre-salt lacustrine carbonates,ACCEPTED,Valid.,corpus_context,"host lacustrine carbonates are given in a Brazilian Pre-Salt setting, not safely universal",0.72,True
silica,Earth Material,located_in,http://purl.obolibrary.org/obo/BFO_0000171,brazilian pre-salt,domain_term,1.0,in the Brazilian Pre-Salt carbonates occurs as early replacive layers or bodies,ACCEPTED,Valid.,corpus_context,"the filler is the named regional setting Brazilian Pre-Salt, so this is a contextual occurrence rather than a class-level generic relation",0.98,False
stevensite,Earth Material,participates_in,http://purl.obolibrary.org/obo/BFO_0000056,compaction,domain_term,1.0,It is commonly compacted,ACCEPTED,Valid.,generic,"being compacted is stated as a common diagenetic behavior of stevensite, not a one-off specimen fact",0.93,False
stevensite,Earth Material,participates_in,http://purl.obolibrary.org/obo/BFO_0000056,diagenesis,domain_term,1.0,during diagenesis,ACCEPTED,Valid.,generic,alteration during diagenesis is presented as characteristic process participation for stevensite,0.94,False
stromatolite,Geological Structure,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,lamination,domain_term,1.0,producing characteristic lamination,ACCEPTED,Valid.,generic,lamination is presented as a characteristic product of stromatolite formation,0.96,False
intra-alagoas unconformity,Geological Boundary,located_in,http://purl.obolibrary.org/obo/BFO_0000171,santos basin,domain_term,0.8,commonly corresponding to the base-sag horizon in the Santos Basin,ACCEPTED,Valid.,individual_fact,subject was converted to owl:NamedIndividual,1.0,False
anhydrite,Earth Material,located_in,http://purl.obolibrary.org/obo/BFO_0000171,ariri formation,domain_term,1.0,"forms dense, brittle basal layers of the Ariri Formation",ACCEPTED,Valid.,corpus_context,"Ariri Formation is a named stratigraphic unit, so the relation is a contextual occurrence",0.99,False
quartz,Earth Material,participates_in,http://purl.obolibrary.org/obo/BFO_0000056,replacement,domain_term,1.0,phases that replace carbonate minerals and grains,ACCEPTED,Valid.,generic,quartz replacing carbonate minerals is described as a characteristic diagenetic role of the kind,0.9,False
quartz,Earth Material,located_in,http://purl.obolibrary.org/obo/BFO_0000171,breccia,domain_term,0.8,fill fractures and breccia matrices,ACCEPTED,Valid.,generic,"occurrence in breccia matrices is presented as a common facies-level occurrence pattern, with a generic rock-type filler",0.84,False
rudstone,Sedimentary Rock,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,bioclast,domain_term,1.0,"composed of bioclasts, intraclasts, spherulites, shrub fragments",ACCEPTED,Valid.,corpus_context,"bioclasts are listed only for the Brazilian Pre-Salt manifestation of rudstone, not rudstone universally",0.9,False
rudstone,Sedimentary Rock,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,intraclast,domain_term,1.0,"composed of bioclasts, intraclasts, spherulites, shrub fragments",ACCEPTED,Valid.,corpus_context,"intraclasts are listed only for the Brazilian Pre-Salt manifestation of rudstone, not rudstone universally",0.9,False
rudstone,Sedimentary Rock,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,spherulite,domain_term,1.0,"composed of bioclasts, intraclasts, spherulites, shrub fragments",ACCEPTED,Valid.,corpus_context,"spherulites are listed only for the Brazilian Pre-Salt manifestation of rudstone, not rudstone universally",0.91,False
kwanza basin,Basin,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,lacustrine carbonate,domain_term,0.8,"preserves Barremian–Aptian presalt synrift and sag successions composed of lacustrine carbonates, mudstones, and siliciclastic deposits",ACCEPTED,Valid.,individual_fact,subject was converted to owl:NamedIndividual,1.0,False
laminite,Sedimentary Rock,constituted_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,calcite,domain_term,1.0,composed mainly of calcite and dolomite,ACCEPTED,Valid.,generic,calcite is stated as a main constituent of laminite at the class level,0.91,False
laminite,Sedimentary Rock,constituted_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,dolomite,domain_term,1.0,composed mainly of calcite and dolomite,ACCEPTED,Valid.,generic,dolomite is stated as a main constituent of laminite at the class level,0.91,False
carbonate platform,Depositional System,located_in,http://purl.obolibrary.org/obo/BFO_0000171,lacustrine system,domain_term,0.8,it commonly formed in lacustrine settings,ACCEPTED,Valid.,corpus_context,The lacustrine location is stated only in the Brazilian Pre-Salt context ('commonly formed in lacustrine settings'); it does not quantify over carbonate platforms as a class.,0.96,False
lower cretaceous,Stratigraphic Unit,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,guaratiba group,domain_term,1.0,includes the Guaratiba Group,ACCEPTED,Valid.,individual_fact,subject was converted to owl:NamedIndividual,1.0,False
lower cretaceous,Stratigraphic Unit,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,ariri formation,domain_term,1.0,"It comprises the Camboriú, Piçarras, Itapema, Barra Velha, and Ariri formations",ACCEPTED,Valid.,individual_fact,subject was converted to owl:NamedIndividual,1.0,False
lower cretaceous,Stratigraphic Unit,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,itapema formation,domain_term,1.0,"It comprises the Camboriú, Piçarras, Itapema, Barra Velha, and Ariri formations",ACCEPTED,Valid.,individual_fact,subject was converted to owl:NamedIndividual,1.0,False
lower cretaceous,Stratigraphic Unit,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,barra velha formation,domain_term,1.0,"It comprises the Camboriú, Piçarras, Itapema, Barra Velha, and Ariri formations",ACCEPTED,Valid.,individual_fact,subject was converted to owl:NamedIndividual,1.0,False
pre-salt,Stratigraphic Unit,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,coquina,domain_term,0.8,including coquinas and microbialites,ACCEPTED,Valid.,corpus_context,"the coquina claim comes from the Santos and Campos basin usage ('commonly denotes'), so it is not safely universal for the class",0.67,True
pre-salt,Stratigraphic Unit,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,microbialite,domain_term,0.8,including coquinas and microbialites,ACCEPTED,Valid.,corpus_context,"the microbialite claim is framed for the Santos and Campos basin usage of pre-salt, not as a universal class-defining axiom",0.67,True
sag phase,Geological Time Interval,preceded_by,http://purl.obolibrary.org/obo/BFO_0000062,rift phase,domain_term,1.0,follows the main rift phase,ACCEPTED,Valid.,generic,"The definition states that sag phase follows the main rift phase as a characteristic ordering of the stage itself, so the relation is presented at the kind level.",0.97,False
diagenesis,Geological Process,has_occurrent_part,http://purl.obolibrary.org/obo/BFO_0000117,dissolution,domain_term,1.0,"through dissolution, cementation, recrystallization, dolomitization, compaction, and mineral replacement",ACCEPTED,Valid.,generic,diagenesis is defined as proceeding through dissolution among its characteristic subprocesses,0.95,False
diagenesis,Geological Process,has_occurrent_part,http://purl.obolibrary.org/obo/BFO_0000117,cementation,domain_term,1.0,"through dissolution, cementation, recrystallization, dolomitization, compaction, and mineral replacement",ACCEPTED,Valid.,generic,diagenesis is defined as proceeding through cementation among its characteristic subprocesses,0.95,False
diagenesis,Geological Process,has_occurrent_part,http://purl.obolibrary.org/obo/BFO_0000117,recrystallization,domain_term,1.0,"through dissolution, cementation, recrystallization, dolomitization, compaction, and mineral replacement",ACCEPTED,Valid.,generic,diagenesis is defined as proceeding through recrystallization among its characteristic subprocesses,0.95,False
diagenesis,Geological Process,has_occurrent_part,http://purl.obolibrary.org/obo/BFO_0000117,dolomitization,domain_term,1.0,"through dissolution, cementation, recrystallization, dolomitization, compaction, and mineral replacement",ACCEPTED,Valid.,generic,diagenesis is defined as proceeding through dolomitization among its characteristic subprocesses,0.95,False
silicification,Geological Process,has_participant,http://purl.obolibrary.org/obo/BFO_0000057,mg-clay,domain_term,1.0,replaces carbonate and Mg-rich clay constituents of reservoir rocks with silica,ACCEPTED,Valid.,generic,definition presents Mg-rich clay material as a replaced constituent in silicification,0.88,False
silicification,Geological Process,has_participant,http://purl.obolibrary.org/obo/BFO_0000057,silica,domain_term,1.0,replaces carbonate and Mg-rich clay constituents of reservoir rocks with silica,ACCEPTED,Valid.,generic,definition presents silica as the replacing material in silicification,0.95,False
silicification,Geological Process,occurs_in,http://purl.obolibrary.org/obo/BFO_0000066,reservoir rock,domain_term,1.0,constituents of reservoir rocks,ACCEPTED,Valid.,corpus_context,"reservoir-rock host is domain-specific framing, not a safe universal host for silicification",0.67,True
intraclast,Geological Object,derives_from,http://purl.obolibrary.org/obo/RO_0001000,lacustrine carbonate,domain_term,0.8,"intraclasts commonly derive from spherulitic, shrub, laminated, fascicular, or microcrystalline lacustrine carbonates",ACCEPTED,Valid.,corpus_context,"Derivation from lacustrine carbonate is stated specifically for Brazilian pre-salt intraclasts, not for the class in general.",0.93,False
microbialite,Sedimentary Rock,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,peloid,domain_term,1.0,typically composed of carbonate clots and peloids,ACCEPTED,Valid.,corpus_context,"peloids are asserted for the Brazilian Pre-Salt Barra Velha manifestation of microbialite, not microbialite universally",0.84,False
graben,Basin,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,normal fault,domain_term,0.8,bounded by normal faults,ACCEPTED,Valid.,generic,"the definition of graben states that it is bounded by normal faults, so this is a characteristic class-level relation",0.96,False
camboriú formation,Formation,located_in,http://purl.obolibrary.org/obo/BFO_0000171,santos basin,domain_term,1.0,in the Santos Basin pre-salt,ACCEPTED,Valid.,individual_fact,subject was converted to owl:NamedIndividual,1.0,False
camboriú formation,Formation,located_in,http://purl.obolibrary.org/obo/BFO_0000171,pre-salt,domain_term,1.0,in the Santos Basin pre-salt,ACCEPTED,Valid.,individual_fact,subject was converted to owl:NamedIndividual,1.0,False
camboriú formation,Formation,constituted_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,basalt,domain_term,0.8,forms the economic basement through basaltic rocks,ACCEPTED,Valid.,individual_fact,subject was converted to owl:NamedIndividual,1.0,False
recrystallization,Geological Process,has_participant,http://purl.obolibrary.org/obo/BFO_0000057,calcite,domain_term,1.0,"affects shells, micritic matrix, and calcite cements",ACCEPTED,Valid.,generic,calcite is presented as a characteristic mineral involved in recrystallization,0.82,False
recrystallization,Geological Process,occurs_in,http://purl.obolibrary.org/obo/BFO_0000066,pre-salt carbonate,domain_term,1.0,In Brazilian Pre-Salt carbonates,ACCEPTED,Valid.,corpus_context,"relation is stated specifically for Brazilian Pre-Salt carbonates, not for the class generally",0.83,False
ostracod,object,located_in,http://purl.obolibrary.org/obo/BFO_0000171,lacustrine system,domain_term,1.0,in pre-salt lacustrine systems,ACCEPTED,Valid.,corpus_context,The statement is framed specifically for pre-salt lacustrine systems rather than as a general class-defining habitat relation for ostracods.,0.88,False
ostracod,object,located_in,http://purl.obolibrary.org/obo/BFO_0000171,wackestone,domain_term,1.0,"ostracods commonly occur in wackestones, packstones, and grainstones",ACCEPTED,Valid.,corpus_context,"The evidence says ostracods occur in wackestones in the Brazilian Pre-Salt, which is a regional occurrence claim, not a generic axiom about ostracods as a kind.",0.95,False
shrub,Geological Object,constituted_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,calcite,domain_term,1.0,fibrous to very coarse bladed calcite,ACCEPTED,Valid.,generic,"The shrub definition says it consists of bladed calcite aggregates, so this is a generic constitutive relation.",0.98,False
shrub,Geological Object,located_in,http://purl.obolibrary.org/obo/BFO_0000171,barra velha formation,domain_term,1.0,"In the Barra Velha pre-salt carbonates, shrubs commonly occur",ACCEPTED,Valid.,corpus_context,"This is an occurrence claim in a named formation (Barra Velha), which is context-specific rather than generic.",0.99,False
subaerial exposure,Geological Process,has_participant,http://purl.obolibrary.org/obo/BFO_0000057,carbonate rock,domain_term,1.0,places previously submerged carbonate sediments or rocks above the water surface,ACCEPTED,Valid.,generic,subaerial exposure is defined as involving carbonate sediments or rocks,0.95,False
chalcedony,Earth Material,located_in,http://purl.obolibrary.org/obo/BFO_0000171,chert,domain_term,1.0,it commonly occurs in chert,ACCEPTED,Valid.,generic,"the NLD directly states that chalcedony commonly occurs in chert, making this a characteristic occurrence relation",0.89,False
chalcedony,Earth Material,located_in,http://purl.obolibrary.org/obo/BFO_0000171,vug,domain_term,1.0,"lining or partly filling pores, fractures, and vugs",ACCEPTED,Valid.,generic,lining or filling vugs is given as a characteristic occurrence pattern of chalcedony,0.93,False
cabo frio high,Geological Structure,continuant_part_of,http://purl.obolibrary.org/obo/BFO_0000176,basement,domain_term,0.8,is a basement structural high,ACCEPTED,Valid.,individual_fact,subject was converted to owl:NamedIndividual,1.0,False
cabo frio high,Geological Structure,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,igneous rock,domain_term,0.8,is characterized by igneous rocks,ACCEPTED,Valid.,individual_fact,subject was converted to owl:NamedIndividual,1.0,False
hydrothermal fluid,Earth Fluid,participates_in,http://purl.obolibrary.org/obo/BFO_0000056,hydrothermal alteration,domain_term,0.8,altering preexisting rocks,ACCEPTED,Valid.,generic,"Both definitions characterize hydrothermal fluid as the hot fluid involved in altering rocks and hydrothermal alteration as occurring through circulation of hot fluids, so the participation relation is characteristic of the class.",0.95,False
cementation,Geological Process,has_participant,http://purl.obolibrary.org/obo/BFO_0000057,calcite,domain_term,1.0,common cements include calcite,ACCEPTED,Valid.,corpus_context,"calcite is listed as a common cement in Brazilian Pre-Salt examples, not definitional",0.79,True
cementation,Geological Process,has_participant,http://purl.obolibrary.org/obo/BFO_0000057,dolomite,domain_term,1.0,"common cements include calcite, dolomite",ACCEPTED,Valid.,corpus_context,"dolomite is listed as a common cement in Brazilian Pre-Salt examples, not definitional",0.79,True
cementation,Geological Process,has_participant,http://purl.obolibrary.org/obo/BFO_0000057,quartz,domain_term,1.0,"common cements include calcite, dolomite, quartz",ACCEPTED,Valid.,corpus_context,"quartz is listed as a common cement in Brazilian Pre-Salt examples, not definitional",0.79,True
pre-salt reservoir,Body of Rock,located_in,http://purl.obolibrary.org/obo/BFO_0000171,lacustrine carbonate,domain_term,1.0,hosted in Aptian syn-rift to sag lacustrine carbonate rocks,ACCEPTED,Valid.,generic,hosting in lacustrine carbonate rocks is part of the definition of pre-salt reservoir,0.96,False
pre-salt reservoir,Body of Rock,located_in,http://purl.obolibrary.org/obo/BFO_0000171,brazilian pre-salt,domain_term,1.0,in the Brazilian pre-salt province,ACCEPTED,Valid.,generic,"the Brazilian pre-salt province is built into the class definition of pre-salt reservoir, so the location is class-level",0.87,False
pre-salt reservoir,Body of Rock,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,coquina,domain_term,0.8,"typically composed of heterogeneous carbonate facies such as coquinas, microbialites",ACCEPTED,Valid.,generic,"coquina is given as a typical compositional facies of the kind, not as a one-off occurrence",0.84,False
pre-salt reservoir,Body of Rock,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,microbialite,domain_term,0.8,"typically composed of heterogeneous carbonate facies such as coquinas, microbialites",ACCEPTED,Valid.,generic,"microbialite is given as a typical compositional facies of the kind, not as a one-off occurrence",0.84,False
macabu formation,Formation,located_in,http://purl.obolibrary.org/obo/BFO_0000171,campos basin,domain_term,1.0,in the Campos Basin,ACCEPTED,Valid.,individual_fact,subject was converted to owl:NamedIndividual,1.0,False
macabu formation,Formation,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,lacustrine carbonate,domain_term,1.0,comprises mainly lacustrine carbonate and mixed siliciclastic deposits,ACCEPTED,Valid.,individual_fact,subject was converted to owl:NamedIndividual,1.0,False
peloid,Geological Object,derives_from,http://purl.obolibrary.org/obo/RO_0001000,intraclast,domain_term,0.8,commonly representing a micritized very fine to fine intraclast,ACCEPTED,Valid.,corpus_context,"The intraclast origin is described as common in pre-salt lacustrine carbonates, not clearly as a universal or defining property of peloids.",0.67,True
peloid,Geological Object,continuant_part_of,http://purl.obolibrary.org/obo/BFO_0000176,shrubstone,domain_term,0.8,commonly occur with Mg-clay matrices in spherulstones and shrubstones,ACCEPTED,Valid.,corpus_context,"Occurrence in shrubstones is presented as contextual host-facies information, not as a generic axiom over the class.",0.86,False
salt layer,Lithostratigraphic Unit,has_age,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000015,aptian,domain_term,0.8,it corresponds chiefly to the Aptian Ariri Formation,ACCEPTED,Valid.,corpus_context,"the Aptian age is asserted via a Santos Basin-specific correlation to the Ariri Formation, so it is not safely quantified over the class 'salt layer' in general",0.88,False
organic matter,Earth Material,located_in,http://purl.obolibrary.org/obo/BFO_0000171,laminite,domain_term,1.0,it commonly occurs as remnants in laminites,ACCEPTED,Valid.,generic,occurrence in laminites is presented as a common characteristic of organic matter in the class description,0.87,False
rework facies,Sedimentary Facies,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,intraclast,domain_term,1.0,is dominated by grains and intraclasts,ACCEPTED,Valid.,generic,the relation is stated in the class definition itself: rework facies is dominated by grains and intraclasts,0.96,False
rework facies,Sedimentary Facies,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,spherulite,domain_term,0.8,commonly consists of reworked fragments of spherulites,ACCEPTED,Valid.,corpus_context,"the spherulite relation is introduced under an explicit study-area qualifier ('In the Brazilian Pre-Salt, especially in the Barra Velha Formation'), so it is not safely quantified over all rework facies",0.93,False
carbonate rock,Sedimentary Rock,participates_in,http://purl.obolibrary.org/obo/BFO_0000056,cementation,domain_term,0.8,"diagenetic processes such as cementation, dissolution, dolomitization, and silicification can strongly modify their texture",ACCEPTED,Valid.,generic,cementation is presented as a characteristic diagenetic process affecting carbonate rock as a kind,0.79,False
carbonate rock,Sedimentary Rock,participates_in,http://purl.obolibrary.org/obo/BFO_0000056,dissolution,domain_term,0.8,"diagenetic processes such as cementation, dissolution, dolomitization, and silicification can strongly modify their texture",ACCEPTED,Valid.,generic,dissolution is presented as a characteristic diagenetic process affecting carbonate rock as a kind,0.79,False
carbonate rock,Sedimentary Rock,participates_in,http://purl.obolibrary.org/obo/BFO_0000056,dolomitization,domain_term,0.8,"diagenetic processes such as cementation, dissolution, dolomitization, and silicification can strongly modify their texture",ACCEPTED,Valid.,generic,dolomitization is presented as a characteristic diagenetic process affecting carbonate rock as a kind,0.79,False
kerolite,Earth Material,located_in,http://purl.obolibrary.org/obo/BFO_0000171,santos basin,domain_term,1.0,occurs as a principal authigenic Mg-clay in Aptian pre-salt lacustrine carbonate facies of the Santos Basin,ACCEPTED,Valid.,corpus_context,"Santos Basin is a named basin, so this is a study-area occurrence rather than a generic class axiom",0.99,False
kerolite,Earth Material,located_in,http://purl.obolibrary.org/obo/BFO_0000171,fascicular calcite crust,domain_term,1.0,"it is common in Mg-claystones, intraclastic grainstones, fascicular calcite crusts, and laminites",ACCEPTED,Valid.,generic,"the NLD treats occurrence in fascicular calcite crust as a characteristic facies association, not an individual occurrence",0.74,False
kerolite,Earth Material,located_in,http://purl.obolibrary.org/obo/BFO_0000171,laminite,domain_term,1.0,"it is common in Mg-claystones, intraclastic grainstones, fascicular calcite crusts, and laminites",ACCEPTED,Valid.,generic,"occurrence in laminite is stated as a common facies association for kerolite, with a generic rock-type filler",0.74,False
source rock,Sedimentary Rock,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,organic matter,domain_term,1.0,contains sufficient organic matter,ACCEPTED,Valid.,generic,organic matter is a defining constituent of source rock,0.98,False
vug,site,generated_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000013,dissolution,domain_term,1.0,generated or enlarged by dissolution,ACCEPTED,Valid.,generic,"the relation is stated in the core class definition of vug, so it is presented as characteristic of the kind",0.98,False
