Term,RAG_Context_Used,Category,Reasoning,NLD
permeability,True,realizable entity,"It denotes the inhering capacity of reservoir rock to transmit fluids, which is realized during fluid-flow processes.","Permeability is a petrophysical property that quantifies a reservoir rock’s ability to transmit fluids through its interconnected pore system. In Brazilian Pre-Salt carbonate reservoirs, it is often highly heterogeneous because flow may occur through both the rock matrix and high-permeability features such as fractures, vugs, and caves. As a result, permeability is a key parameter for estimating flow capacity and production potential, and it can be strongly underestimated if thin highly permeable layers are not resolved."
grainstone,True,Sedimentary Rock,"Despite facies wording, the definition describes a specific carbonate rock type composed of grain-supported sedimentary material.","Grainstone is a grain-supported carbonate facies that lacks mud matrix and, in the Barra Velha Formation, is distinguished from spherulitestone by containing more than 50% reworked components. In the Brazilian pre-salt, it commonly comprises reworked shrubs and spherulitestone fragments, peloids, spherulites, volcanic clasts, ooids, and bioclasts, and typically occurs as coarse, tightly packed beds with variable sorting and common fining-upward patterns produced by high-energy lacustrine shoreline reworking."
carbonate reservoir,True,Body of Rock,It is described as a discrete reservoir rock body hosted in carbonate rocks and characterized by reservoir properties.,"Carbonate reservoir is a hydrocarbon reservoir that is hosted in carbonate rocks and whose porosity and permeability are controlled by highly heterogeneous depositional facies, diagenetic alteration, and structural compartmentalization. In the Brazilian Pre-Salt, these reservoirs are commonly lacustrine Aptian carbonates in which secondary dissolution porosity is often critical to reservoir quality, while facies variation, cementation, faults, and hydrothermal influences can create abrupt vertical and lateral permeability contrasts."
ariri formation,True,Formation,It is explicitly identified as an Upper Aptian evaporitic stratigraphic unit of formal formation rank.,"Ariri Formation is an Upper Aptian evaporitic stratigraphic unit that caps the Barra Velha Formation and provides the regional seal for the Brazilian pre-salt petroleum system. In the Santos Basin it is dominated by basal anhydrite and thick halite, with interlayers of more soluble potassium- and magnesium-bearing salts such as carnallite, tachyhydrite, and sylvite, and locally reaches about 2 to 2.65 km in thickness."
coquina,True,Sedimentary Rock,"The NLD defines coquina as a bioclastic carbonate rock, which fits the GeoReservoir category Sedimentary Rock.","Coquina is a bioclastic carbonate rock that consists of accumulations of biological hard parts, commonly shell-rich and bioclast-enriched, and in the Brazilian pre-salt typically shows packstone, grainstone, or rudstone textures. In the Itapema Formation of the Santos Basin, it is commonly dominated by reworked bivalve shells with subordinate gastropods and ostracods, and it forms an important reservoir facies where moldic, vuggy, and intergranular porosity may be well developed."
piçarras formation,True,Formation,"The NLD explicitly identifies it as a named lithostratigraphic unit of formal rank, which matches Formation.","Piçarras Formation is a syn-rift lithostratigraphic unit in the Brazilian pre-salt of the Santos Basin that records the first major siliciclastic and initial lacustrine deposition during Barremian continental rifting, overlying the Camboriú Formation and underlying the Itapema Formation. It is characterized by proximal alluvial-fan conglomerates and polymictic to coarse- and medium-grained sandstones, passing basinward into distal lacustrine fine sandstones, siltstones, shales, siliciclastic laminites, and talc-stevensite-rich claystones."
calcite,True,Earth Material,"The NLD describes calcite as a carbonate mineral phase occurring as precipitate, cement, and replacement material, fitting Earth Material.","Calcite is a carbonate mineral that is the crystalline calcium carbonate phase commonly present in Pre-Salt lacustrine carbonates as fascicular, spherulitic, blocky, or microcrystalline forms. In Brazilian Pre-Salt reservoirs, it occurs both as primary precipitates and as diagenetic cement or replacement, filling interparticle, intraparticle, vugular, and fracture porosity and locally replacing grains, peloids, and ooid envelopes."
early cretaceous,True,Geological Time Interval,The NLD directly describes Early Cretaceous as a geologic time interval during which pre-salt deposition occurred.,"Early Cretaceous is a geologic time interval that comprises the earlier part of the Cretaceous Period and, in the Brazilian Pre-Salt, corresponds to the rift-to-sag evolution during which South Atlantic extensional basins formed and key pre-salt deposits accumulated. In the Santos and Campos basins, this interval includes deposition of lacustrine organic-rich shales, Aptian carbonate reservoirs such as the Barra Velha succession, and the onset of overlying evaporite sealing that together underpin the pre-salt petroleum system."
mudstone,True,Sedimentary Rock,"The NLD defines mudstone as a carbonate rock type, so it fits the GeoReservoir category Sedimentary Rock.","Mudstone is a carbonate rock that consists predominantly of mud matrix and contains less than 10% grains. In the Brazilian pre-salt, it is commonly classified by mineralogical composition into calci-mudstone, dolo-mudstone, siliceous mudstone, Mg-clay mudstone, and mixed mudstone, and it typically records deeper lacustrine or locally reworked deposition with generally variable but often low reservoir quality."
pre-alagoas unconformity,True,Geological Boundary,"It is described as a regional erosional stratigraphic surface separating rock successions, which fits a geological boundary.","Pre-Alagoas Unconformity is a regional stratigraphic unconformity that marks the base of the Alagoas Stage and the transition from rifting to the transitional pre-salt sag phase in the Brazilian basins. In the pre-salt succession, it commonly separates lower syn-rift deposits, including coquina-bearing intervals, from overlying upper pre-salt carbonates. Seismically, it is typically a low- to medium-amplitude discontinuous reflector, expressed locally as an angular erosional surface over palaeohighs but passing into a near-conformable surface in palaeodepressions."
fracture,True,Geological Structure,"It is a planar brittle-deformation discontinuity in rock, i.e., a structural feature of a geological object.","Fracture is a planar rock discontinuity that forms by brittle deformation and creates non-matrix porosity and potential fluid-flow pathways in carbonate reservoirs. In the Brazilian Pre-Salt, fractures are commonly related to tectonic and gravitational processes and are especially developed in silica-rich intervals where rheological contrast promotes brittle failure; they may remain open, be partially cemented, or be filled by minerals such as silica, dolomite, or barite."
dolomitization,True,Geological Process,It is explicitly defined as a diagenetic replacement process that alters carbonate material into dolomite.,"Dolomitization is a diagenetic replacement process that transforms carbonate and Mg-clay constituents into dolomite, typically during early diagenesis in Brazilian pre-salt lacustrine carbonates. In these reservoirs, it commonly generates intercrystalline porosity and helps connect moldic and vugular pores, improving porosity and permeability, although pervasive dolomitization in some sag facies can reduce pore-throat size."
packstone,True,Sedimentary Rock,"It describes a carbonate grain-supported rock type with mud matrix, matching a sedimentary rock.","Packstone is a grain-supported carbonate facies that contains mud and micrite between framework grains, commonly comprising more than 50% reworked particles such as shrub fragments, peloids, spherulites, and bioclasts. In the Brazilian pre-salt, it is typically fine- to medium-grained, with rounded to sub-rounded and variably sorted grains, and it commonly occurs as massive or laminated beds with local plane-parallel or cross-stratification and mud-rich carbonate or Mg-clay interlayers."
silica,True,Earth Material,"It is a naturally occurring mineral phase used as replacive and cementing material in reservoir rocks, fitting earth material.","Silica is a silicon dioxide mineral phase that in the Brazilian Pre-Salt carbonates occurs as early replacive layers or bodies, pore-lining chalcedony cement, and late pore-filling quartz cement. In these reservoirs it commonly appears as microcrystalline silica, spherulitic chalcedony, and macrocrystalline quartz, and silicified intervals are commonly associated with nonmatrix features and locally with excess permeability."
lacustrine carbonate,True,Sedimentary Rock,It is explicitly defined as a carbonate sedimentary rock formed in lake environments.,"Lacustrine carbonate is a carbonate sedimentary rock that forms in lake environments under strong local controls such as tectonics, climate, hydrology, sediment input, temperature, and water chemistry. In the Brazilian Pre-Salt, these rocks commonly include autochthonous facies with shrubs, spherulites, and microcrystalline calcite, as well as reworked facies made of their fragments mixed with clay, and they are major reservoir constituents."
rift phase,True,Geological Time Interval,"It is described as a tectonostratigraphic stage, i.e., a basin-evolution interval during which rifting processes operated.","Rift phase is a tectonostratigraphic stage that corresponds to active extensional deformation, fault-controlled subsidence, and associated volcanism and sedimentation during the initial opening of a basin. In the Brazilian Pre-Salt, it begins in the Hauterivian with basaltic volcanism over the basement and evolves into graben- and half-graben-controlled fluvial-lacustrine deposition. This phase includes the accumulation of siliciclastics, organic-rich shales, coquinas, and early bioclastic carbonates in units such as the Camboriu or Cabiunas, Picarras, and Itapema formations, before the post-rift microbialite and evaporite succession."
stevensite,True,Earth Material,"It is a clay mineral, which fits as a natural geological material rather than a rock body or process.","Stevensite is an aluminum-poor Ca-Mg smectitic clay mineral that precipitates from highly alkaline lacustrine waters, typically at pH greater than about 9, in pre-salt sag deposits. In Brazilian Pre-Salt carbonate systems, it commonly forms laminated clay-rich facies and may occur with calcitic spherulites or dolomite rhombs in low-energy, relatively deeper lake settings. It is commonly compacted and later partially dissolved or replaced by calcite or dolomite during diagenesis."
stromatolite,True,Geological Structure,It is defined as an organo-sedimentary carbonate structure characterized by microbial lamination.,"Stromatolite is an organo-sedimentary carbonate structure that forms through microbial trapping and binding of sediment together with in situ carbonate precipitation, producing characteristic lamination. In the Brazilian pre-salt, it typically occurs as rare columnar, laterally linked domal, or stratiform facies in shallow lacustrine settings, commonly enclosing ooid-intraclastic grainstone and locally preserving moderate intercrystalline, intraelement, and fracture porosity."
intra-alagoas unconformity,True,Geological Boundary,It is defined as a stratigraphic surface marking a physical discontinuity and time break within the succession.,"The Intra-Alagoas Unconformity is an intraformational stratigraphic surface that marks a time-significant internal break within the Alagoas-age pre-salt carbonate succession of the Barra Velha Formation, commonly corresponding to the base-sag horizon in the Santos Basin. In seismic data it is recognized as a high-positive-amplitude, fairly continuous reflector, prominent on palaeohighs, moderately affected by faults, and locally conformable in palaeodepressions; it is commonly dated at about 117 Ma."
wackestone,True,Sedimentary Rock,"It describes a mud-supported carbonate rock type, which fits a sedimentary rock category.","Wackestone is a mud-supported carbonate rock facies that contains more than 10% grains within a muddy matrix, commonly including ostracod bioclasts and reworked fragments of shrubs, peloids, and spherulites. In the Brazilian Pre-Salt, it is typically fine-grained, matrix-supported, and massive or plane-parallel laminated, and it commonly records low-energy lacustrine deposition below storm-wave base or the return to more normal conditions after stressful or storm events."
shale,True,Sedimentary Rock,It is explicitly defined as a fine-grained sedimentary rock.,"Shale is a fine-grained sedimentary rock that is composed predominantly of compacted clay-sized particles and commonly displays high gamma-ray values and very low permeability. In the Brazilian Pre-Salt, shale commonly occurs as clay-rich or organic-rich intervals associated with the deeper parts of the Barra Velha Formation, where it behaves as a non-reservoir facies and local seal that restricts fluid flow and can trap CO2. In petrophysical analysis, shale is also used as a high-gamma-ray end member for evaluating shale distribution in mixed lithologies."
anhydrite,True,Earth Material,The definition presents it primarily as a natural mineral material rather than a discrete geological body or unit.,"Anhydrite is an evaporite mineral that consists of anhydrous calcium sulfate and commonly forms dense, brittle basal layers of the Ariri Formation above the Barra Velha carbonates. In the Brazilian Pre-Salt, this layer marks the transition from lacustrine limestones to overlying evaporites and generates a strong positive seismic reflector because it has higher density and seismic velocity than halite, contributing to the regional sealing succession."
quartz,True,Earth Material,"The NLD describes quartz as a natural mineral material occurring as grains, cement, and replacement phases, which fits GeoCore Earth Material.","Quartz is a silica mineral that consists of crystalline SiO2 and, in Brazilian Pre-Salt carbonate reservoirs, commonly occurs as detrital grains or as diagenetic microcrystalline, prismatic, botryoidal, or macrocrystalline phases that replace carbonate minerals and grains or fill fractures and breccia matrices. It acts as a silica cement sourced internally from hybrid lithologies or externally from basement and arkosic units, and it can strongly modify reservoir quality by occluding or locally preserving pore space during replacement and fracture-related diagenesis."
rudstone,True,Sedimentary Rock,"The NLD explicitly defines rudstone as a grain-supported sedimentary carbonate rock, fitting GeoReservoir Sedimentary Rock.","Rudstone is a sedimentary carbonate rock that is grain-supported and contains more than 10% grains or clasts larger than 2 mm. In Brazilian Pre-Salt reservoirs, it commonly occurs as a reworked lacustrine facies composed of bioclasts, intraclasts, spherulites, shrub fragments, or silicified carbonate pebbles and cobbles, typically in poorly sorted massive to inversely graded beds with erosive bases. Its reservoir quality is highly heterogeneous and depends on the dominant pore system, including interparticle, moldic, intraparticle, and vugular porosity."
kwanza basin,True,Basin,"The NLD describes a sedimentary basin as a depressed area where sediments accumulated, matching the GeoReservoir Basin category.","Kwanza Basin is a South Atlantic sedimentary basin that lies offshore Angola and preserves Barremian–Aptian presalt synrift and sag successions composed of lacustrine carbonates, mudstones, and siliciclastic deposits. In its upper synrift interval, the basin is commonly differentiated into eastern siliciclastic-rich, central platform, and western basinward domains, with structural highs hosting mollusk grainstones, packstones, and related reservoir facies."
laminite,True,Sedimentary Rock,"The NLD defines laminite as a fine-laminated lacustrine carbonate rock, so it fits GeoReservoir Sedimentary Rock.","Laminite is a fine-laminated lacustrine carbonate rock that consists of thin parallel laminae and, in the Brazilian Pre-Salt, commonly derives from originally laminated clay-rich, probably stevensitic, deposits replaced by calcite or dolomite. It is typically composed mainly of calcite and dolomite, may preserve organic matter and minor siliciclastic grains between laminae, and can be variably affected by dolomitization, silicification, and dissolution porosity during diagenesis."
carbonate platform,True,Depositional System,"The NLD explicitly describes a broad shallow-water carbonate depositional system with organized facies and architecture, matching GeoReservoir Depositional System.","Carbonate platform is a broad, shallow-water depositional system that accumulates carbonate sediments on a structural or topographic high and develops a relatively flat platform top bounded by marginal and slope deposits. In the Brazilian Pre-Salt, it commonly formed in lacustrine settings over basement highs or volcanic pedestals, where aggradation, local progradation, fault-controlled paleotopography, and lake-level oscillations governed facies distribution and reservoir architecture."
unconformity,True,Geological Boundary,It is defined as a stratigraphic surface marking a physical discontinuity and hiatus between older and younger rock successions.,"Unconformity is a stratigraphic surface that represents a hiatus caused by nondeposition, erosion, or deformation between older and younger rock successions. In the Brazilian Pre-Salt, unconformities are key seismic and well-correlated horizons, such as the Pre-Alagoas, Intra-Alagoas, and base-salt surfaces, that bound major tectono-stratigraphic units. Their expression commonly varies from erosional or angular truncation over palaeohighs to near-conformable geometry in palaeodepressions."
hauterivian,True,Geological Age,The NLD explicitly identifies Hauterivian as an Early Cretaceous geologic age used to date pre-salt rocks and structures.,"Hauterivian is an Early Cretaceous geologic age that, in the Brazilian Pre-Salt, marks the volcanic-rift interval associated with the Camboriú Formation basalts and the initial development of grabens and half-grabens before the Barremian. In the Santos Basin, the term is commonly used to date the top-of-basalt unconformity and related extensional structures that underlie the Piçarras and younger rift deposits."
lower cretaceous,True,Stratigraphic Unit,"It is described as a chronostratigraphic rock interval comprising multiple formations, which fits a stratigraphic unit.","Lower Cretaceous is a chronostratigraphic interval that, in the Santos Basin pre-salt context, spans the Hauterivian to Aptian and includes the Guaratiba Group deposited during rift to post-rift evolution. It comprises the Camboriú, Piçarras, Itapema, Barra Velha, and Ariri formations, and it contains the main pre-salt carbonate reservoirs in the Itapema and Barra Velha formations."
pre-salt,True,Stratigraphic Unit,The term denotes a basin-scale stratigraphic succession beneath the Aptian salt seal rather than a single lithology or process.,"Pre-salt is a stratigraphic interval that comprises the sedimentary and locally volcanic succession deposited during the rift to sag stages beneath the regional Aptian evaporite seal in the Brazilian margin basins. In the Santos and Campos basins, the term commonly denotes the lacustrine carbonate reservoir succession, including coquinas and microbialites of units such as the Itapema and Barra Velha equivalents, which hosts giant hydrocarbon accumulations beneath thick salt."
sag phase,True,Geological Time Interval,It is described as a tectonostratigraphic stage or interval in basin evolution during which thermal subsidence and related deposition occurred.,"Sag phase is a tectonostratigraphic stage that follows the main rift phase and is marked by the development of a broad, laterally continuous regional depression generated predominantly by thermal subsidence. In the Brazilian Pre-Salt, it corresponds to a transitional continental to shallow-marine, increasingly saline interval that controlled accommodation and facies distribution in the Barra Velha system and culminated in evaporite deposition, although local fault reactivation could persist during this supposedly quiescent period."
diagenesis,True,Geological Process,"It is explicitly a post-depositional alteration process that modifies sediments, rocks, and reservoir pore systems.","Diagenesis is a post-depositional alteration process that modifies carbonate sediments and rocks through dissolution, cementation, recrystallization, dolomitization, compaction, and mineral replacement. In Brazilian pre-salt lacustrine carbonates, it is the main control on pore-size distribution, connectivity, porosity, and permeability, with processes such as Mg-clay and carbonate dissolution generating vuggy and moldic porosity, while calcite, dolomite, silica cements, and chemical compaction commonly occlude or locally preserve reservoir pore space."
structural high,True,Geological Structure,It describes a tectonically generated positive structural relief configuration such as a horst or faulted graben margin.,"Structural high is a positive structural relief element that stands above adjacent structural lows because of fault-controlled uplift, reduced subsidence, or both. In the Brazilian pre-salt, structural highs commonly correspond to horsts or faulted borders of grabens and half-grabens, persist through syn-rift evolution, and often favor the deposition and trapping of Barra Velha carbonate reservoirs."
barremian,True,Geological Age,It names an Early Cretaceous geochronologic age used to date strata and tectono-diagenetic events.,"Barremian is an Early Cretaceous chronostratigraphic stage and geochronologic age that, in the Brazilian pre-salt, represents a key syn-rift interval between older rift deposits and the Aptian lacustrine-salt succession. In Campos and adjacent basins, the base Barremian is commonly mapped at the top of the Cabiúnas Formation, and Barremian subdivisions are used to date fault activity, accommodation development, and Barremian-Aptian diagenetic events."
silicification,True,Geological Process,It is a diagenetic replacement process in which carbonate or clay components are dissolved and silica precipitates.,"Silicification is a diagenetic process that replaces carbonate and Mg-rich clay constituents of reservoir rocks with silica through concurrent dissolution of calcium carbonate and precipitation of silica. In the Brazilian Pre-Salt, it can occur from syndepositional to burial stages and commonly appears as microcrystalline silica, chalcedony, quartz cement, pore-filling silica, or siliceous bands, increasing mineralogical heterogeneity and commonly reducing porosity and permeability."
reservoir quality,True,realizable entity,"It denotes the reservoir rock's capacity to store and transmit fluids, which is a disposition inhering in the rock.","Reservoir quality is a petrophysical characteristic of a reservoir rock that expresses its capacity to store and transmit fluids through connected pore space. In Brazilian pre-salt carbonates, it is primarily evaluated from porosity and permeability and is controlled by depositional facies and diagenetic evolution, including grain size and sorting, pore type, dissolution, recrystallization, cementation, compaction, and fracturing."
intraclast,True,Geological Object,It is a discrete reworked carbonate clast with its own physical unity rather than a reservoir-scale rock body.,"Intraclast is a carbonate clast that consists of a reworked fragment of semi-lithified to lithified carbonate sediment formed within the same depositional system. In the Brazilian pre-salt, intraclasts commonly derive from spherulitic, shrub, laminated, fascicular, or microcrystalline lacustrine carbonates and occur as angular to well-rounded grains ranging from sand to pebble size in intraclastic grainstones and rudstones."
microbialite,True,Sedimentary Rock,"It is described as an organosedimentary carbonate deposit/body produced by microbial activity, fitting a sedimentary rock type.","Microbialite is an organosedimentary carbonate deposit that is produced, induced, or influenced by benthic microbial communities. In the Brazilian Pre-Salt, especially the Barra Velha Formation, it commonly occurs as autochthonous porous tabular, irregular, or lenticular bodies with massive texture, relic lamination, and local subvertical branching, and is typically composed of carbonate clots and peloids fringed by fibrous or mosaic calcite."
normal fault,True,Geological Structure,"It is a tectonic fault defined by displacement geometry and structural relations, which matches Geological Structure.","Normal fault is a tectonic fault that forms under extensional stress and is characterized by downward displacement of the hanging wall relative to the footwall. In the Brazilian Pre-Salt rift setting, normal faults commonly bound and compartmentalize crustal blocks, may display planar to curved geometries with significant dip and displacement, and can remain active during salt deposition, offsetting the base salt and influencing uplift, erosion, and reservoir architecture."
graben,True,Basin,"It is a fault-bounded depressed depocenter where sediments accumulate, matching the GeoReservoir notion of a basin.","Graben is a rift-related structural low that is bounded by normal faults and forms a subsiding depocenter between adjacent uplifted blocks. In the Brazilian Pre-Salt, grabens developed during the opening of the South Atlantic, commonly trapped thicker lacustrine sediment accumulations including organic-rich shales, and occur adjacent to horsts that favored carbonate reservoir development."
halite,True,Earth Material,It is a natural evaporite salt material that forms flowing salt bodies and the regional seal.,"Halite is an evaporite mineral that consists of sodium chloride and commonly forms the dominant salt component of the Ariri Formation above the Brazilian Pre-Salt carbonates. In the Santos Basin, it is more ductile and plastic than anhydrite, so it flows during salt deformation to form thick salt bodies and diapirs. This halite-rich evaporite succession provides the regional seal over the Barra Velha reservoirs."
camboriú formation,True,Formation,"It is explicitly described as a named formation, which is a formal lithostratigraphic unit.","Camboriú Formation is a volcanic stratigraphic unit that marks the onset of rifting in the Santos Basin pre-salt and forms the economic basement through basaltic rocks, including dyke swarms. Its top is commonly recognized in seismic data as a high-amplitude positive reflector corresponding to the top-of-basalt unconformity, and it is overlain by the Piçarras Formation."
recrystallization,True,Geological Process,"The NLD defines a diagenetic transformation that modifies carbonate minerals and rock fabric, fitting a geological process.","Recrystallization is a diagenetic process that reorganizes pre-existing carbonate minerals into new crystals, commonly coarser calcite, thereby modifying the matrix, cement, or bioclast fabric of the rock. In Brazilian Pre-Salt carbonates, it commonly affects shells, micritic matrix, and calcite cements, and may either create intercrystalline or intraelement porosity or, when intense, obliterate the original depositional fabric and alter reservoir quality."
ostracod,True,object,"The NLD defines an aquatic crustacean organism, so it fits a BFO object rather than a geological unit or process.","Ostracod is a small aquatic crustacean that commonly inhabits marine and non-marine waters and, in pre-salt lacustrine systems, can persist in relatively deep, saline, or otherwise environmentally stressed conditions where mollusks may be absent. In the Brazilian Pre-Salt, ostracods commonly occur in wackestones, packstones, and grainstones, where they help indicate low-energy deeper-water or stressed lacustrine settings and are a key basis for non-marine biostratigraphy."
shrub,True,Geological Object,"The NLD describes a discrete calcitic crystal crust formed by mineral growth, which fits a geological object.","Shrub is a calcitic crystal crust that consists of fan-shaped fascicular-optic aggregates of fibrous to very coarse bladed calcite growing perpendicular to, and away from, the substrate. In the Barra Velha pre-salt carbonates, shrubs commonly occur as parallel horizontal layers or low domes, typically with growth axes 0.15–6.5 mm long, and may trap fine detrital grains or develop into composite crusts up to 20 mm through multiple growth phases."
subaerial exposure,True,Geological Process,"It describes the geologic exposure of sediments or rocks to the atmosphere, leading to weathering, pedogenesis, and erosion.","Subaerial exposure is a geologic condition that places previously submerged carbonate sediments or rocks above the water surface and in contact with the atmosphere due to lake-level fall, desiccation, or uplift. In the Brazilian pre-salt, especially in littoral to shoreline settings of the Barra Velha Formation, it is commonly associated with weathering and pedogenetic alteration, dolomite-enriched exposure profiles, and local erosion or disaggregation of limestones that can contribute to reworked grainstone deposits."
basalt,True,Rock,"It is explicitly defined as a mafic volcanic igneous rock, which fits the GeoCore rock category.","Basalt is a mafic volcanic igneous rock that commonly occurs in the Brazilian pre-salt as micro- to macro-crystalline, commonly tholeiitic lava-flow successions forming part of the syn-rift basement beneath the carbonate section. It is typically composed mainly of feldspar and pyroxene, including augite, and may also occur as clasts reworked into overlying conglomerates and carbonate grainstones during uplift and erosion."
chalcedony,True,Earth Material,"It is a natural mineral material phase of microcrystalline silica occurring as cement, fill, and replacement material.","Chalcedony is a microcrystalline silica phase that forms fibrous-radial, spherulitic, and botryoidal aggregates as syndepositional to diagenetic cement in pre-salt lacustrine carbonates. In the Brazilian Pre-Salt it commonly occurs in chert and silicified intervals, lining or partly filling pores, fractures, and vugs, and may locally replace the host rock, thereby affecting reservoir quality and permeability."
cabo frio high,True,Geological Structure,"It is defined as a basement structural high, i.e. a tectonic and physiographic structural configuration.","Cabo Frio High is a basement structural high that forms the northern limit of the Santos Basin offshore southeastern Brazil. In the pre-salt framework, it is a major physiographic and tectonic element associated with adjacent depocenters such as the West Cabo Frio Low and is characterized by igneous rocks recording multiple magmatic events."
horst,True,Geological Structure,"A horst is defined by its fault-bounded uplifted configuration, making it a tectonic Geological Structure.","Horst is a fault-bounded structural high that remains relatively uplifted or less subsided than adjacent grabens or half-grabens during extensional deformation. In the Brazilian Pre-Salt, horsts commonly occur as elongated basement highs, locally asymmetric or S-shaped, flanked by half-grabens and grabens and controlled by planar and listric normal faults. These highs help define the rift structural architecture and compartmentalize nearby depocenters and reservoirs."
