Term,Parent_Term,Relationship_Type,Category,Is_Intermediate,NLD,FALLBACK,Category_IRI,Parent_IRI
reservoir facies,Facies,rdfs:subClassOf,Facies,False,"Reservoir facies is a depositional or diagenetic facies that has pore-system architecture and petrophysical properties favorable for hydrocarbon storage and flow. In the Brazilian Pre-Salt, the best reservoir facies commonly include stromatolites, grainstones, and shrub- or spherulite-rich facies, where connected primary porosity may be further enhanced by dissolution and fractures. Distinguishing reservoir facies from tighter muddy, bench-interior, or profundal facies is fundamental for predicting porosity-permeability distribution and production behavior.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000028,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000028
hydrocarbon reservoir,Body of Rock,rdfs:subClassOf,Body of Rock,False,"Hydrocarbon reservoir is a subsurface rock body that contains and transmits accumulated hydrocarbons because it has sufficient porosity, permeability, and trapping conditions. In the Brazilian Pre-Salt, these reservoirs are commonly lacustrine carbonate bodies whose quality and connectivity are strongly controlled by depositional facies, diagenetic alteration, fractures, vugs, and compartmentalization.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000001,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000001
carbonate reservoir,hydrocarbon reservoir,rdfs:subClassOf,Body of Rock,False,"Carbonate reservoir is a hydrocarbon reservoir that is hosted in carbonate rocks and whose porosity and permeability are controlled by highly heterogeneous depositional facies, diagenetic alteration, and structural compartmentalization. In the Brazilian Pre-Salt, these reservoirs are commonly lacustrine Aptian carbonates in which secondary dissolution porosity is often critical to reservoir quality, while facies variation, cementation, faults, and hydrothermal influences can create abrupt vertical and lateral permeability contrasts.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000001,
pre-salt reservoir,carbonate reservoir,rdfs:subClassOf,Body of Rock,False,"Pre-salt reservoir is a hydrocarbon reservoir that is hosted in Aptian syn-rift to sag lacustrine carbonate rocks beneath the regional evaporite seal of the Ariri Formation in the Brazilian pre-salt province. It is typically composed of heterogeneous carbonate facies such as coquinas, microbialites, and associated bioclastic, intraclastic, and laminated carbonates of intervals like the Itapema and Barra Velha formations, with reservoir architecture and quality strongly controlled by tectonics and diagenesis.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000001,
basement,Body of Rock,rdfs:subClassOf,Body of Rock,False,"Basement is a pre-sedimentary crustal substrate that forms the structural foundation beneath the overlying sedimentary succession. In the Brazilian pre-salt, the top of the basement is the seismic horizon that bounds the acoustic basement and is commonly organized into horsts, grabens, and half-grabens, where inherited basement composition and fabric strongly control rift faulting and the accommodation of overlying carbonates.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000001,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000001
crystalline basement,basement,rdfs:subClassOf,Body of Rock,False,"Crystalline basement is a pre-sedimentary bedrock unit that consists of consolidated igneous and metamorphic rocks underlying the pre-salt succession, typically Precambrian granites, gneisses, and related metasediments in the Santos and Campos basins. In the Brazilian Pre-Salt, it commonly forms the rift footwall and a fractured host rock for fluid flow and diagenesis, locally showing brecciation and veins filled by quartz, pyrite, and Fe-rich dolomite-ankerite.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000001,
seal,Body of Rock,rdfs:subClassOf,Body of Rock,False,"Seal is a low-permeability geological unit that prevents or strongly retards the migration of hydrocarbons and other subsurface fluids, allowing their accumulation in a reservoir. In the Brazilian Pre-Salt, the regional seal is commonly provided by the Ariri Formation evaporites, mainly halite and anhydrite, although low-permeability micritic intervals and the integrity of faults through the salt can also control local sealing and leakage behavior.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000001,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000001
regional seal,seal,rdfs:subClassOf,Body of Rock,False,"Regional seal is a basin-scale sealing unit that laterally extends over reservoir rocks and prevents the upward migration and leakage of hydrocarbons. In the Brazilian Pre-Salt, the regional seal is formed mainly by the evaporites of the Ariri Formation, especially halite and anhydrite, which overlie the Barra Velha and related reservoirs and provide an effective seal despite large thickness variations.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000001,
fault block,Body of Rock,rdfs:subClassOf,Body of Rock,False,"Fault block is a structural block of crust or older strata that is bounded and displaced by faults, commonly becoming tilted in extensional settings. In the Brazilian Pre-Salt, tilted fault blocks of volcanic or sedimentary basement form crests, dip slopes, and escarpment slopes onto which the Barra Velha Formation onlaps, thereby controlling stratigraphic thickness and the distribution of grainstone and associated lacustrine facies.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000001,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000001
hanging wall,fault block,rdfs:subClassOf,Body of Rock,False,"Hanging wall is the block of rock above a fault surface that, in extensional pre-salt settings, commonly subsides relative to the footwall along normal faults. In the Brazilian Pre-Salt, the hanging wall commonly hosts growth wedges, syn-rift thickening, and hanging-wall folds generated by fault displacement variations, segment linkage, or later tectonic inversion.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000001,
footwall,fault block,rdfs:subClassOf,Body of Rock,False,"Footwall is the fault-bounded rock block that lies below an inclined fault plane. In the Brazilian pre-salt rift setting, uplift of the footwall along normal faults commonly generates structural highs, promotes erosion and coarse-clastic input, and influences lake-level retraction, facies distribution, and reservoir quality.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000001,
basement high,structural high,rdfs:subClassOf,Body of Rock,False,"Basement high is a fault-bounded structural high that forms a topographic elevation of the basement above adjacent basement lows. In the Brazilian pre-salt, such highs commonly control accommodation and depositional architecture by focusing onlap and aggradation of lacustrine carbonate platforms, and they are typically associated with thinner or locally eroded pre-salt intervals relative to neighboring lows.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000001,
hydrothermal vent,Body of Rock,rdfs:subClassOf,Body of Rock,False,"Hydrothermal vent is a pipe-like geological complex that forms by the fracturing, transport, and eruption of deep-sourced hydrothermal fluids and sediments, commonly in association with intrusive or volcanic activity. In the Brazilian Pre-Salt, these vents can strongly influence lacustrine carbonate systems by modifying water alkalinity and mineral supply, promoting travertine and shrub/spherulite development, and locally enhancing dissolution, vuggy porosity, and reservoir fluid flow.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000001,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000001
aquifer,Body of Rock,rdfs:subClassOf,Body of Rock,False,"Aquifer is a subsurface hydrogeologic unit that stores and transmits groundwater through permeable or fractured rocks, including confined systems beneath the pre-salt succession and regional flow paths in fractured crystalline basement. In the Brazilian Pre-Salt, aquifers can recharge lacustrine systems and provide regional pressure support to reservoirs during production, but they may also drive water influx, water coning, and early water breakthrough.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000001,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000001
bioclast,Carbonate Grain,rdfs:subClassOf,Fossil,False,"Bioclast is a sedimentary carbonate grain that consists of whole or fragmented skeletal remains of organisms, commonly bivalves, ostracods, and gastropods in Brazilian Pre-Salt lacustrine carbonates. In bioclastic grainstones, rudstones, and coquinas, bioclasts commonly occur as reworked or abraded shell material and may be micritized, recrystallized, dolomitized, or silicified, influencing interparticle and intraparticle porosity.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000018,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000018
Stratigraphic Unit,Body of Rock,rdfs:subClassOf,Formation,True,Stratigraphic Unit is a Formation that is distinguished as a discrete unit within a stratigraphic succession on the basis of defining geological characteristics and stratigraphic position.,False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000004,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000004
Lithostratigraphic Unit,Stratigraphic Unit,rdfs:subClassOf,Formation,True,Lithostratigraphic Unit is a Stratigraphic Unit that is defined and correlated chiefly by its lithologic properties and stratigraphic relations.,False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000004,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000002
Stratigraphic Surface,Geological Boundary,rdfs:subClassOf,Geological Boundary,True,Stratigraphic Surface is a Geological Boundary that forms a time-significant surface within a rock succession or between adjacent stratigraphic units.,False,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000011,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000011
unconformity,Stratigraphic Surface,rdfs:subClassOf,Geological Boundary,False,"Unconformity is a stratigraphic surface that represents a hiatus caused by nondeposition, erosion, or deformation between older and younger rock successions. In the Brazilian Pre-Salt, unconformities are key seismic and well-correlated horizons, such as the Pre-Alagoas, Intra-Alagoas, and base-salt surfaces, that bound major tectono-stratigraphic units. Their expression commonly varies from erosional or angular truncation over palaeohighs to near-conformable geometry in palaeodepressions.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000011,
sequence boundary,unconformity,rdfs:subClassOf,Geological Boundary,False,"Sequence boundary is a stratigraphic surface that bounds adjacent depositional sequences by marking a break in sedimentation expressed as erosion, nondeposition, or truncation. In the Brazilian Pre-Salt, it commonly corresponds to internal or regional unconformities separating stratigraphic units, recognizable in seismic data by angular truncations and, in some core-scale cycles, by clay-enriched horizons.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000011,
oil-water contact,Geological Boundary,rdfs:subClassOf,Geological Boundary,False,"Oil-water contact is a reservoir fluid boundary that marks the depth at which the oil-saturated interval passes into the underlying water-saturated interval. In Brazilian pre-salt carbonate reservoirs, it is commonly estimated from a significant resistivity-log contrast, calibrated with porosity logs and pressure data, and spatial irregularities in its depth may indicate perched water effects or reservoir compartmentalization.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000011,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000011
Carbonate Grain,Geological Object,rdfs:subClassOf,Geological Object,True,Carbonate Grain is a geological object that is a discrete particle composed predominantly of carbonate material and occurring as a constituent of sediment or sedimentary rock.,False,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000001,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000001
Coated Grain,Geological Object,rdfs:subClassOf,Geological Object,True,Coated Grain is a geological object that is a discrete particle with a nucleus enclosed by one or more accreted coats or a cortex.,False,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000001,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000001
spherulite,Carbonate Grain,rdfs:subClassOf,Geological Object,False,"Spherulite is a carbonate grain that consists of a spherical to sub-spherical aggregate of radiating fibro-radial calcite crystals, typically showing radial extinction in thin section. In the Barra Velha Formation, spherulites commonly range from about 0.1 to 4 mm in diameter, may contain nuclei of micrite, clay minerals, or rare ostracod fragments, and are commonly altered by dolomitization, recrystallization, or local silicification.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000001,
peloid,Carbonate Grain,rdfs:subClassOf,Geological Object,False,"Peloid is a carbonate grain that is typically silt- to fine-sand-sized, irregular, and internally massive or structureless, commonly representing a micritized very fine to fine intraclast in pre-salt lacustrine carbonates. In the Brazilian Pre-Salt, peloids are major constituents of peloidal grainstones, packstones, and siltites, and commonly occur with Mg-clay matrices in spherulstones and shrubstones, where they may be engulfed or replaced by calcite aggregates.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000001,
ooid,Coated Grain,rdfs:subClassOf,Geological Object,False,"Ooid is a coated grain that consists of a nucleus enclosed by a thin, commonly concentric cortex formed by repeated accretion, typically producing a sand-sized particle. In the Brazilian Pre-Salt lacustrine carbonates, ooids are commonly coarse-sand-sized and may occur as superficial or polycomposite forms, with many interpreted as originally composed of Mg-clays such as stevensite and later replaced by microcrystalline calcite or other diagenetic minerals.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000001,
oncoid,Coated Grain,rdfs:subClassOf,Geological Object,False,"Oncoid is a coated carbonate grain that consists of a nucleus surrounded by irregular to concentric microbial laminae produced by cyanobacterial accretion, commonly while the particle is intermittently rolled in very shallow lacustrine water. In the Brazilian Pre-Salt, oncoids occur as dominant allochems in oncoidal grainstones, rudstones, and packstones/floatstones, where they are typically spherical to semi-spherical and may preserve or develop intraparticle dissolution porosity.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000001,
continental margin,Geological Structure,rdfs:subClassOf,Geological Object,False,"Continental margin is a tectonostratigraphic transition zone that links continental crust to the adjacent oceanic basin and organizes the structural and stratigraphic framework of offshore basins. In the Brazilian Pre-Salt, the architecture and relative position of the continental margin strongly influence rift-to-sag evolution, fault displacement, salt thickness and mobilization, and consequently reservoir distribution, compartmentalization, and fluid migration.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000001,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000001
intraclast,Carbonate Grain,rdfs:subClassOf,Geological Object,False,"Intraclast is a carbonate clast that consists of a reworked fragment of semi-lithified to lithified carbonate sediment formed within the same depositional system. In the Brazilian pre-salt, intraclasts commonly derive from spherulitic, shrub, laminated, fascicular, or microcrystalline lacustrine carbonates and occur as angular to well-rounded grains ranging from sand to pebble size in intraclastic grainstones and rudstones.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000001,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000001
shrub,Geological Object,rdfs:subClassOf,Geological Object,False,"Shrub is a calcitic crystal crust that consists of fan-shaped fascicular-optic aggregates of fibrous to very coarse bladed calcite growing perpendicular to, and away from, the substrate. In the Barra Velha pre-salt carbonates, shrubs commonly occur as parallel horizontal layers or low domes, typically with growth axes 0.15–6.5 mm long, and may trap fine detrital grains or develop into composite crusts up to 20 mm through multiple growth phases.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000001,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000001
diagenesis,Geological Process,rdfs:subClassOf,Geological Process,False,"Diagenesis is a post-depositional alteration process that modifies carbonate sediments and rocks through dissolution, cementation, recrystallization, dolomitization, compaction, and mineral replacement. In Brazilian pre-salt lacustrine carbonates, it is the main control on pore-size distribution, connectivity, porosity, and permeability, with processes such as Mg-clay and carbonate dissolution generating vuggy and moldic porosity, while calcite, dolomite, silica cements, and chemical compaction commonly occlude or locally preserve reservoir pore space.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000002,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000002
early diagenesis,diagenesis,rdfs:subClassOf,Geological Process,False,"Early diagenesis is a diagenetic stage that modifies sediments during or immediately after deposition at the water-sediment interface or under very shallow burial, before deeper burial alteration begins. In Brazilian Pre-Salt lacustrine carbonates, it commonly involves dissolution of primary Mg-clays and some carbonate fabrics, recrystallization of shrubs and spherulites, and precipitation of early calcite, dolomite, and silica cements. These processes may generate vuggy and moldic porosity, but they also commonly coat or fill pores and reduce pore size and connectivity.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000002,
burial diagenesis,diagenesis,rdfs:subClassOf,Geological Process,False,"Burial diagenesis is a post-depositional diagenetic process that alters carbonate sediments and rocks during progressive burial under increasing temperature, pressure, and evolving pore-fluid chemistry. In Brazilian pre-salt reservoirs, it commonly includes dissolution, cementation, recrystallization, dolomitization, and fracture filling during continued loading, and its interaction with deep or fault-related fluids can strongly modify porosity, permeability, and reservoir quality.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000002,
diagenetic process,Geological Process,rdfs:subClassOf,Geological Process,False,"Diagenetic process is a geological alteration process that modifies a sediment or rock during and after deposition through fluid-mediated dissolution, cementation, recrystallization, replacement, or related mineral transformations. In Brazilian Pre-Salt carbonates, it commonly includes dissolution of Mg-clays and carbonate fabrics, calcite, dolomite, or silica cementation, dolomitization, and silicification, which strongly control secondary porosity, permeability, and overall reservoir quality.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000002,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000002
hydrothermal alteration,diagenetic process,rdfs:subClassOf,Geological Process,False,"Hydrothermal alteration is a diagenetic process that modifies pre-existing carbonate rocks through the circulation of hot fluids, producing physicochemical changes and characteristic hydrothermal mineral precipitates. In Brazilian Pre-Salt reservoirs, it is commonly linked to fault-controlled fluid flow and is recognized by minerals such as macrocrystalline calcite, saddle dolomite, barite, celestine, and fluorite, locally also promoting dissolution and karstic porosity.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000002,
dissolution,diagenetic process,rdfs:subClassOf,Geological Process,False,"Dissolution is a diagenetic process that removes soluble carbonate and Mg-clay components from pre-salt lacustrine rocks, generating secondary porosity and modifying the original depositional fabric. In the Brazilian Pre-Salt, it commonly affects Mg-claystones with spherulites, laminites, shrubs, and grainstones, producing vuggy, intragranular, and inter-framework pores, often more intensely in structural highs and thereby exerting a major control on reservoir quality.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000002,
replacement,diagenetic process,rdfs:subClassOf,Geological Process,False,"Replacement is a diagenetic process that substitutes a pre-existing mineral or sedimentary component with a new mineral in situ, commonly through coupled dissolution and precipitation and often with preservation of the original texture or morphology. In the Brazilian Pre-Salt lacustrine carbonates, replacement commonly affects spherulites, stevensitic clays, fine grains, and growth-framework elements by silica, dolomite, or calcite, and it can create microporosity or vugular porosity while strongly modifying reservoir quality.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000002,
dolomitization,replacement,rdfs:subClassOf,Geological Process,False,"Dolomitization is a diagenetic replacement process that transforms carbonate and Mg-clay constituents into dolomite, typically during early diagenesis in Brazilian pre-salt lacustrine carbonates. In these reservoirs, it commonly generates intercrystalline porosity and helps connect moldic and vugular pores, improving porosity and permeability, although pervasive dolomitization in some sag facies can reduce pore-throat size.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000002,
silicification,replacement,rdfs:subClassOf,Geological Process,False,"Silicification is a diagenetic process that replaces carbonate and Mg-rich clay constituents of reservoir rocks with silica through concurrent dissolution of calcium carbonate and precipitation of silica. In the Brazilian Pre-Salt, it can occur from syndepositional to burial stages and commonly appears as microcrystalline silica, chalcedony, quartz cement, pore-filling silica, or siliceous bands, increasing mineralogical heterogeneity and commonly reducing porosity and permeability.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000002,
recrystallization,diagenetic process,rdfs:subClassOf,Geological Process,False,"Recrystallization is a diagenetic process that reorganizes pre-existing carbonate minerals into new crystals, commonly coarser calcite, thereby modifying the matrix, cement, or bioclast fabric of the rock. In Brazilian Pre-Salt carbonates, it commonly affects shells, micritic matrix, and calcite cements, and may either create intercrystalline or intraelement porosity or, when intense, obliterate the original depositional fabric and alter reservoir quality.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000002,
compaction,diagenetic process,rdfs:subClassOf,Geological Process,False,"Compaction is a diagenetic process that reduces the volume and pore space of sediment or rock under burial stress by mechanically rearranging and deforming grains and laminae. In Brazilian Pre-Salt carbonates it is commonly weak and mainly mechanical, recognized by crinkled argillaceous laminae wrapped around nodules, tight grain packing, concave-convex to long grain contacts, slight grain deformation, and rarer sutured contacts, especially in laminated argillaceous limestones and grainier facies.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000002,
mechanical compaction,compaction,rdfs:subClassOf,Geological Process,False,"Mechanical compaction is a diagenetic process that reduces sediment volume and primary porosity by physically rearranging, tightening, and slightly deforming grains and laminae under burial stress, without substantial pressure-solution or other chemical mass transfer. In Brazilian pre-salt lacustrine carbonates, it is typically recognized by tight grain packing, crinkled argillaceous laminae, concave-convex to long grain contacts, and minor grain deformation, and it commonly postdates some early dolomite cements.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000002,
chemical compaction,compaction,rdfs:subClassOf,Geological Process,False,"Chemical compaction is a diagenetic compaction process that reduces pore space by pressure-solution of carbonate material at grain contacts and along stylolitic seams, followed by redistribution and cementation of the dissolved constituents. In Brazilian Pre-Salt lacustrine carbonates, it is mainly a mesodiagenetic process associated with stylolites and pore-filling calcite cements, which commonly diminishes primary porosity and permeability.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000002,
cementation,diagenetic process,rdfs:subClassOf,Geological Process,False,"Cementation is a diagenetic process that precipitates minerals within pores and between grains, binding the carbonate framework and modifying reservoir properties. In the Brazilian pre-salt, common cements include calcite, dolomite, quartz, chalcedony, silica, and barite, typically filling intergranular or growth-framework pores and reducing porosity. In some cases, however, rim-like siliceous cementation can increase resistance to compaction and help preserve pore space.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000002,
subaerial exposure,Geological Process,rdfs:subClassOf,Geological Process,False,"Subaerial exposure is a geologic condition that places previously submerged carbonate sediments or rocks above the water surface and in contact with the atmosphere due to lake-level fall, desiccation, or uplift. In the Brazilian pre-salt, especially in littoral to shoreline settings of the Barra Velha Formation, it is commonly associated with weathering and pedogenetic alteration, dolomite-enriched exposure profiles, and local erosion or disaggregation of limestones that can contribute to reworked grainstone deposits.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000002,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000002
