id,term,category,action,proposed_fate,class_fate,drop_basis,core_basis,coherent_frame,frame_axis,frame_siblings,centrality,cross_axis,placement_rationale,over_specificity_reason,needs_review,confidence,reason
11,passive-margin basin,Basin,REPARENT,primitive,primitive,,COHERENT_FRAME_MEMBER,True,tectonic basin type,"[""rift basin"", ""sag basin""]",medium,False,atomic basin-type kind that completes the retained basin-evolution frame alongside rift and sag basins.,,True,0.84,"parent → Marginal Sedimentary Basin: NLD and located_in continental margin evidence fit the existing, more specific parent Marginal Sedimentary Basin; current parent is too general."
12,rift basin,Basin,KEEP,primitive,primitive,,COHERENT_FRAME_MEMBER,True,tectonic basin type,"[""sag basin"", ""passive-margin basin""]",high,False,stable reusable basin kind on the core basin-evolution axis for the domain.,,False,0.95,Extension and fault-controlled subsidence provide a basin-forming differentia; genuine subtype of Sedimentary Basin.
13,sag basin,Basin,KEEP,primitive,primitive,,UNIQUE_CQ_VALUE,True,tectonic basin type,"[""rift basin"", ""passive-margin basin""]",high,False,reusable basin kind that is both part of the basin-evolution frame and the only subtype here with distinct CQ support beyond generic basin identification.,,False,0.96,Post-rift thermal-subsidence depression is a recognized basin kind; genuine subtype of Sedimentary Basin.
14,santos basin,Basin,CONVERT_TO_INSTANCE,,,,,,,[],,,,,,,Proper-noun named basin; step 1 says this should be modeled as an instance of Basin.
15,campos basin,Basin,CONVERT_TO_INSTANCE,,,,,,,[],,,,,,,Proper-noun named basin; step 1 says this should be modeled as an instance of Basin.
16,pelotas basin,Basin,CONVERT_TO_INSTANCE,,,,,,,[],,,,,,,Proper-noun named basin; step 1 says this should be modeled as an instance of Basin.
17,kwanza basin,Basin,CONVERT_TO_INSTANCE,,,,,,,[],,,,,,,Proper-noun named basin; step 1 says this should be modeled as an instance of Basin.
18,espírito santo basin,Basin,CONVERT_TO_INSTANCE,,,,,,,[],,,,,,,Proper-noun named basin; step 1 says this should be modeled as an instance of Basin.
19,namibe basin,Basin,CONVERT_TO_INSTANCE,,,,,,,[],,,,,,,"Proper-noun named basin; NLD describes one specific marginal sedimentary basin, so model it as an instance (step 1)."
20,structural low,Basin,REPARENT,primitive,primitive,,BRANCH_ANCHOR,False,,[],high,False,broad reusable anchor for basin-scale structural depressions beneath site,,False,0.92,"parent → structural domain: The NLD explicitly defines structural low as a structural domain that lies lower than adjacent structural highs, so structural domain is the most specific available superclass."
21,graben,Basin,KEEP,primitive,primitive,,SHARED_GENUS,False,,[],high,False,"stable genus for fault-bounded extensional lows, including retained half-graben",,False,0.95,NLD explicitly defines graben as a rift-related structural low; parent fits and the differentia is non-vacuous.
22,half-graben,Basin,KEEP,primitive,primitive,,COHERENT_FRAME_MEMBER,True,extensional basin compartment geometry,"[""graben"", ""horst""]",medium,False,named atomic member of the core syn-rift structural-compartment frame,,False,0.86,"Asymmetric, master-fault-bounded depression is a defensible subtype of graben; added differentia is substantive, not a parent restatement."
23,depocenter,Basin,DEMOTE_TO_PROPERTY,demote,demote,,,False,,[],medium,True,better treated as a contextual status on a basin low than as a separate core kind,"Useful term, but in the core it mainly expresses a relative, stratigraphic-interval-dependent accumulation focus; structural low plus accommodation space preserves the needed basin structure without a separate class.",True,0.8,"demoted to structural low + has_role depocenter role: Useful term, but in the core it mainly expresses a relative, stratigraphic-interval-dependent accumulation focus; structural low plus accommodation space preserves the needed basin structure without a separate class."
24,seismic facies,Facies,REPARENT,primitive,primitive,,COHERENT_FRAME_MEMBER,True,facies characterization basis,"[""lithofacies""]",medium,False,stable conventional facies/stratigraphic interpretive kind that keeps the seismic characterization axis present in the core,,True,0.8,parent → Stratigraphic Unit: NLD says 'a seismostratigraphic unit' comprising reflector groups; that fits Stratigraphic Unit better than Facies (step 4).
25,microbial mat,Facies,DROP_AS_OVER_SPECIFIC,drop,drop,NO_MARGINAL_VALUE,,False,,[],low,False,biologic object aggregate and precursor/community concept rather than a core facies classifier or reusable endpoint in this branch,"Although important in Pre-Salt interpretation, microbial mat adds little marginal core value for facies queries because preserved reservoir-relevant facies are represented more directly by rock/facies classes such as microbialite and stromatolite.",True,0.84,"Although important in Pre-Salt interpretation, microbial mat adds little marginal core value for facies queries because preserved reservoir-relevant facies are represented more directly by rock/facies classes such as microbialite and stromatolite."
26,reservoir facies,Facies,KEEP_AS_BEARER,defined,defined,,REUSABLE_DEFINED_BEARER,False,,[],high,True,core reservoir-characterization grouping best modeled as a facies bearer of a reservoir role rather than as a primitive subtype,,False,0.96,"bearer kept under 'Facies'; has_role some ReservoirFaciesRole: NLD explicitly defines reservoir facies as a depositional or diagenetic facies; it should sit under the facies branch, not under reservoir rock."
27,hydrocarbon reservoir,Body of Rock,KEEP_AS_BEARER,defined,defined,,BRANCH_ANCHOR,False,,[],high,True,top reservoir class for the Body of Rock branch; downstream carbonate and pre-salt reservoir classes depend on it,,False,0.92,bearer kept under 'Body of Rock'; has_role some HydrocarbonReservoirRole: ‘Reservoir’ is a role borne by a rock body; keep the bearer under Body of Rock and carry has_role (step 3).
28,carbonate reservoir,Body of Rock,KEEP_AS_DEFINED,defined,defined,,BRANCH_ANCHOR,False,,[],high,True,broad carbonate-hosted reservoir class with very strong corpus support and reuse potential above narrower domain terms,,False,0.95,defined as hydrocarbon reservoir + located_in some carbonate rock: highest frequency and coverage in this branch; carbonate hosting is a core reservoir distinction in the pre-salt and worth keeping as a reusable class in the lean core
29,lacustrine carbonate reservoir,Body of Rock,DROP_AS_OVER_SPECIFIC,drop,drop,NARROW_EXTENSION_DETAIL,,False,,[],medium,True,setting-specific refinement can be deferred to an extension while the core keeps the broader carbonate reservoir class and the domain-signature pre-salt reservoir class,"it adds lake-environment specificity but no unique CQ contribution beyond CQ1, is not needed as an indispensable intermediate in the trimmed branch, and its semantics are largely recoverable from retained carbonate reservoir plus the existing lacustrine carbonate rock context",True,0.69,"it adds lake-environment specificity but no unique CQ contribution beyond CQ1, is not needed as an indispensable intermediate in the trimmed branch, and its semantics are largely recoverable from retained carbonate reservoir plus the existing lacustrine carbonate rock context"
30,pre-salt reservoir,Body of Rock,KEEP_AS_DEFINED,defined,defined,,UNIQUE_CQ_VALUE,False,,[],high,True,"central domain object for this ontology slice, with clear reuse and direct support for pre-salt-specific competency questions",,False,0.93,"defined as carbonate reservoir + located_in some brazilian pre-salt: pre-salt reservoir is a signature object of the domain, has solid corpus support, and contributes pre-salt-specific CQ value not supplied by broader reservoir classes alone"
31,pre-salt carbonate reservoir,Body of Rock,DROP_AS_OVER_SPECIFIC,drop,drop,STACKED_CONTEXT,,False,,[],low,True,province-plus-lithology cross-product is too specific for the lean core once both carbonate reservoir and pre-salt reservoir are retained,"this class stacks retained carbonate and pre-salt distinctions without adding comparable new branch, relation, or CQ payoff; its petrophysical content is already available at broader retained reservoir classes",False,0.87,"this class stacks retained carbonate and pre-salt distinctions without adding comparable new branch, relation, or CQ payoff; its petrophysical content is already available at broader retained reservoir classes"
32,basement,Body of Rock,KEEP,primitive,primitive,,BRANCH_ANCHOR,False,,[],high,False,"broad reusable substrate class for the pre-salt body-of-rock branch, with direct structural and spatial relevance",,False,0.95,NLD supports a real pre-sedimentary substrate/body of rock beneath the succession; not a mere role or restatement.
33,basement rock,Body of Rock,DROP_AS_OVER_SPECIFIC,drop,drop,NO_MARGINAL_VALUE,,False,,[],low,False,intermediate layer adds little beyond the retained parent basement and the more informative subtype crystalline basement,"This class contributes no clear extra CQ coverage or branch value over basement, and its main content is already captured by the broader substrate concept plus the retained lithologically specific subtype.",True,0.76,"This class contributes no clear extra CQ coverage or branch value over basement, and its main content is already captured by the broader substrate concept plus the retained lithologically specific subtype."
34,crystalline basement,Body of Rock,KEEP,primitive,primitive,,UNIQUE_CQ_VALUE,False,,[],medium,False,retains a conventional lithologic subtype of basement that carries composition and footwall/host-rock semantics not present in the broader parent,,True,0.84,Clean compositional subtype of basement rock: consolidated igneous/metamorphic basement underlying the pre-salt.
35,seal,Body of Rock,KEEP_AS_BEARER,defined,defined,,REUSABLE_DEFINED_BEARER,False,,[],high,True,core petroleum-system body-of-rock concept best modeled as a material bearer of a sealing role,,False,0.9,"bearer kept under 'Body of Rock'; has_role some SealRole: ‘Seal’ denotes a rock body playing a sealing role, so keep the bearer under Body of Rock and carry has_role."
36,regional seal,Body of Rock,KEEP_AS_BEARER,defined,defined,,REUSABLE_DEFINED_BEARER,False,,[],medium,True,captures the basin-scale caprock unit that is especially central in the pre-salt and not fully replaceable by generic seal alone,,False,0.85,"bearer kept under 'seal'; has_role some RegionalSealRole: This is still a rock body bearing a more specific sealing role at basin scale, so model it as a bearer class."
37,fault block,Body of Rock,KEEP,primitive,primitive,,SHARED_GENUS,False,,[],high,False,reusable structural-rock kind that serves as the parent for the retained fault-block positional subframe,,False,0.94,NLD gives a genuine structural rock-body kind bounded and displaced by faults; parent Body of Rock is acceptable (step 6).
38,hanging wall,Body of Rock,KEEP,primitive,primitive,,COHERENT_FRAME_MEMBER,True,position relative to fault plane,"[""footwall""]",medium,False,"atomic conventional member of a small, standard structural-geology frame under fault block",,True,0.84,"NLD describes a rock block distinguished by position above a fault plane; non-vacuous subtype under fault block, with no clear step-4 violation."
39,footwall,Body of Rock,KEEP,primitive,primitive,,COHERENT_FRAME_MEMBER,True,position relative to fault plane,"[""hanging wall""]",medium,False,paired atomic member of the same fault-block positional frame as hanging wall,,True,0.8,"NLD describes a rock block distinguished by position below a fault plane; non-vacuous subtype under fault block, with no clear step-4 violation."
40,basement high,Body of Rock,KEEP_AS_DEFINED,defined,defined,,REUSABLE_DEFINED_BEARER,False,,[],medium,True,better kept as a lean relation-defined class than as an additional primitive or dropped entirely,,False,0.87,"defined as structural high + continuant_part_of some basement: A is explicitly defined as a structural high of basement, so it is a narrower kind of B."
41,santos outer high,Body of Rock,CONVERT_TO_INSTANCE,,,,,,,[],,,,,,,"Proper-noun named regional high in the Santos Basin; NLD and relations describe one specific structure, not a reusable kind (step 1)."
42,florianópolis high,Body of Rock,CONVERT_TO_INSTANCE,,,,,,,[],,,,,,,"Proper-noun named structural high; NLD describes one unique basin-boundary feature, so convert to an instance (step 1)."
43,ribeira belt,Body of Rock,CONVERT_TO_INSTANCE,,,,,,,[],,,,,,,"Proper-noun named orogenic belt; NLD describes one unique regional belt, so convert to an instance (step 1)."
44,hydrothermal vent,Body of Rock,KEEP,primitive,primitive,,UNIQUE_CQ_VALUE,False,,[],medium,False,"distinct geological body needed for hydrothermal-structure questions tied to facies, porosity, and fluid flow",,False,0.89,"probe2=None; NLD gives a physical vent complex, and no rigidity/dependence violation justifies reparenting."
45,silica nodule,Body of Rock,DROP_AS_OVER_SPECIFIC,drop,drop,NARROW_EXTENSION_DETAIL,,False,,[],low,False,specific diagenetic concretion type within host carbonates; not needed as a core body-of-rock anchor,"Silica nodule is a valid reusable term, but in the lean core it adds mainly specialized diagenetic detail. Its CQ contribution is limited and not indispensable once broader rock-body, diagenetic-process, and silica-material classes are present.",False,0.92,"Silica nodule is a valid reusable term, but in the lean core it adds mainly specialized diagenetic detail. Its CQ contribution is limited and not indispensable once broader rock-body, diagenetic-process, and silica-material classes are present."
46,evaporite deposit,Body of Rock,DROP_AS_REDUNDANT,primitive,primitive,,UNIQUE_CQ_VALUE,False,,[],high,False,distinct depositional rock-body kind central to the pre-salt system and not replaced by the seal role classes,,False,0.89,Both NLDs denote the same evaporitic rock/deposit kind formed by brine precipitation and exemplified by Ariri/Retiro units.
47,aquifer,Body of Rock,KEEP_AS_BEARER,defined,defined,,REUSABLE_DEFINED_BEARER,False,,[],medium,True,definition keeps the material bearer while preserving the hydrogeologic cross-axis distinction that matters for reservoir behavior,,True,0.68,"bearer kept under 'Body of Rock'; has_disposition some GroundwaterStorageAndTransmissionDisposition: ‘Stores and transmits groundwater’ is a disposition of a rock body; aquifer is the bearer, so keep it with has_disposition (step 3)."
48,oceanic crust,Body of Rock,DROP_AS_OVER_SPECIFIC,drop,drop,NO_MARGINAL_VALUE,,False,,[],low,False,basin-scale tectonic context term is valid but not necessary in the lean reservoir-focused body-of-rock core,"Oceanic crust contributes mainly broad tectonic background and only CQ1 inventory coverage here. It has no retained children, no strong generic-relation load, and little marginal value for the compact core centered on reservoir-relevant rock bodies.",False,0.85,"Oceanic crust contributes mainly broad tectonic background and only CQ1 inventory coverage here. It has no retained children, no strong generic-relation load, and little marginal value for the compact core centered on reservoir-relevant rock bodies."
49,hydraulic flow unit,Body of Rock,DROP_AS_MIXIN,,,,,,,[],,,,,,,"Defined as a reservoir subdivision grouping intervals by similar petrophysical qualities/flow behavior, not a structural rock kind (step 3)."
50,fracture zone,Body of Rock,DEMOTE_TO_PROPERTY,demote,demote,,,False,,[],low,True,better represented in the lean core as a structural-domain facet than as a standalone core class,"Fracture zone is useful, but its differentia is mainly descriptive and quality-like: a zone with concentrated fracturing. Core structural coverage is still provided by broader structure terms such as fracture/fault-related classes, so keeping a separate class is not necessary.",True,0.74,"demoted to structural domain + has_quality high fracture intensity: Fracture zone is useful, but its differentia is mainly descriptive and quality-like: a zone with concentrated fracturing. Core structural coverage is still provided by broader structure terms such as fracture/fault-related classes, so keeping a separate class is not necessary."
51,bivalve,Fossil,DROP_AS_OVER_SPECIFIC,drop,drop,NARROW_EXTENSION_DETAIL,,False,,[],medium,False,"useful as a source-specific fossil taxon, but a lean core can retain the fossil-derived constituent layer without committing to this particular taxonomic subtype.","Its evidence is mostly shared CQ2 constituent coverage, with limited relation reuse; although common in coquina descriptions, bivalve adds taxon-level detail rather than indispensable core structure once broader fossil/bioclast modeling is present.",True,0.67,"Its evidence is mostly shared CQ2 constituent coverage, with limited relation reuse; although common in coquina descriptions, bivalve adds taxon-level detail rather than indispensable core structure once broader fossil/bioclast modeling is present."
52,bioclast,Fossil,KEEP_AS_DEFINED,defined,defined,,REUSABLE_DEFINED_BEARER,False,,[],high,True,best retained as a defined cross-axis class linking carbonate-grain identity with fossil origin.,,False,0.93,"defined as Carbonate Grain + derives_from some Fossil: NLD explicitly defines bioclast as a sedimentary carbonate grain. Its relation to Fossil is one of derivation from skeletal remains, not taxonomic identity, so keeping it under Fossil mixes grain kind with source/origin."
53,Early Cretaceous Geologic Age,Geological Age,CONVERT_TO_INSTANCE,,,,,,,[],,,,,,,"Early Cretaceous denotes one named subdivision of the Cretaceous, so it is an instance rather than a subclass (step 1)."
54,aptian,Geological Age,CONVERT_TO_INSTANCE,,,,,,,[],,,,,,,"Aptian is a single named geochronologic age/time span, so it should be modeled as an instance, not a subclass (step 1)."
55,hauterivian,Geological Age,CONVERT_TO_INSTANCE,,,,,,,[],,,,,,,"Hauterivian names one specific Early Cretaceous age used to date a unique interval, so convert it to an instance (step 1)."
56,barremian,Geological Age,CONVERT_TO_INSTANCE,,,,,,,[],,,,,,,"Barremian is explicitly a named chronostratigraphic stage/geochronologic age, i.e. one interval only, so make it an instance (step 1)."
57,valanginian,Geological Age,CONVERT_TO_INSTANCE,,,,,,,[],,,,,,,"Valanginian is a single named Early Cretaceous age marking one interval, so it belongs as an instance rather than a subclass (step 1)."
58,berriasian,Geological Age,CONVERT_TO_INSTANCE,,,,,,,[],,,,,,,"NLD names Berriasian as the earliest Cretaceous age/stage, i.e. one named interval only; convert to an instance (step 1)."
59,Stratigraphic Unit,Formation,REPARENT,primitive,primitive,,SHARED_GENUS,False,,[],high,False,needed as the reusable parent for the retained stratigraphic-unit subclasses in this branch,,False,0.9,"parent → Body of Rock: The NLD defines Stratigraphic Unit as a generic discrete rock unit within a stratigraphic succession. Formation is a narrower formal lithostratigraphic rank, so placing the generic class under Formation inverts the hierarchy."
60,Lithostratigraphic Unit,Formation,KEEP,primitive,primitive,,BRANCH_ANCHOR,False,,[],high,False,anchors the lithostratigraphic subbranch used to type rock-defined stratigraphic units,,True,0.84,"Lithology-based definition cleanly narrows Stratigraphic Unit and adds a real differentia, not a vacuous restatement (steps 3,6)."
61,Syn-Rift Lithostratigraphic Unit,Formation,DROP_AS_MIXIN,,,,,,,[],,,,,,,Differentia is depositional timing; the term is a faceted lithostratigraphic-unit-plus-stage combination rather than a core subtype (step 3).
62,Stratigraphic Formation,Formation,DROP_AS_REDUNDANT,,,,,,,[],,,,,,,near-synonym of existing 'Formation'; a formation is already the formal named stratigraphic unit
63,barra velha formation,Formation,CONVERT_TO_INSTANCE,,,,,,,[],,,,,,,Proper-noun named formation; it denotes one specific lithostratigraphic unit rather than a repeatable class (step 1).
64,itapema formation,Formation,CONVERT_TO_INSTANCE,,,,,,,[],,,,,,,"Proper-noun named formation; denotes one stratigraphic unit, so it should be an instance of Formation (step 1)."
65,ariri formation,Formation,CONVERT_TO_INSTANCE,,,,,,,[],,,,,,,"Proper-noun named formation; denotes one stratigraphic unit, so it should be an instance of Formation (step 1)."
66,piçarras formation,Formation,CONVERT_TO_INSTANCE,,,,,,,[],,,,,,,"Proper-noun named formation; denotes one stratigraphic unit, so it should be an instance of Formation (step 1)."
67,camboriú formation,Formation,CONVERT_TO_INSTANCE,,,,,,,[],,,,,,,"Proper-noun named formation; denotes one stratigraphic unit, so it should be an instance of Formation (step 1)."
68,macabu formation,Formation,CONVERT_TO_INSTANCE,,,,,,,[],,,,,,,"Proper-noun named formation; denotes one stratigraphic unit, so it should be an instance of Formation (step 1)."
69,coqueiros formation,Formation,CONVERT_TO_INSTANCE,,,,,,,[],,,,,,,"proper-noun named formation; it denotes one formal unit, so model it as an instance, not a subclass (step 1)"
70,guarujá formation,Formation,CONVERT_TO_INSTANCE,,,,,,,[],,,,,,,"proper-noun named formation; it denotes one formal unit, so model it as an instance, not a subclass (step 1)"
71,itanhaém formation,Formation,CONVERT_TO_INSTANCE,,,,,,,[],,,,,,,"proper-noun named formation; the NLD says it is a lithostratigraphic unit, so treat it as an instance of that class (step 1)"
72,cabiúnas formation,Formation,CONVERT_TO_INSTANCE,,,,,,,[],,,,,,,"proper-noun named formation; the NLD says it is a volcanic lithostratigraphic unit, so it should be an instance (step 1)"
73,itabapoana formation,Formation,CONVERT_TO_INSTANCE,,,,,,,[],,,,,,,"proper-noun named formation; the NLD says it is a lithostratigraphic unit of the Lagoa Feia Group, so it is an instance (step 1)"
74,retiro formation,Formation,CONVERT_TO_INSTANCE,,,,,,,[],,,,,,,"proper-noun named formation; it denotes one specific geological unit, so step 1 converts it to an instance"
75,atafona formation,Formation,CONVERT_TO_INSTANCE,,,,,,,[],,,,,,,proper-noun named formation within Lagoa Feia Group; step 1 says named formations should be modeled as instances
76,Stratigraphic Surface,Geological Boundary,KEEP,primitive,primitive,,SHARED_GENUS,False,,[],high,False,"needed common parent for retained stratigraphic-surface boundary kinds, keeping them distinct from other geological boundaries.",,False,0.92,Genus/differentia is clean: a time-significant boundary surface within or between stratigraphic units (steps 3/6).
77,unconformity,Geological Boundary,KEEP,primitive,primitive,,COHERENT_FRAME_MEMBER,True,stratigraphic surface type,"[""sequence boundary""]",high,False,canonical stratigraphic-surface boundary type with stable identity and strong domain attestation.,,False,0.95,"NLD adds real differentia—a hiatus from nondeposition, erosion, or deformation—so this is a proper subtype of Stratigraphic Surface."
78,angular unconformity,Geological Boundary,DROP_AS_OVER_SPECIFIC,drop,drop,NARROW_EXTENSION_DETAIL,,False,,[],low,False,the parent unconformity already captures the core boundary concept for this branch.,"This is a specific geometric subtype of unconformity with low attestation and no distinct CQ or relation contribution beyond the parent, so it is too fine-grained for the lean core.",False,0.92,"This is a specific geometric subtype of unconformity with low attestation and no distinct CQ or relation contribution beyond the parent, so it is too fine-grained for the lean core."
79,pre-alagoas unconformity,Geological Boundary,CONVERT_TO_INSTANCE,,,,,,,[],,,,,,,"Step 1: proper-name regional horizon; parent NLD cites Pre-Alagoas as an example of an unconformity, so this is a named boundary instance."
80,intra-alagoas unconformity,Geological Boundary,CONVERT_TO_INSTANCE,,,,,,,[],,,,,,,"Step 1: proper-name horizon; NLD describes the Intra-Alagoas/base-sag surface in the Santos Basin, i.e. a named boundary instance."
81,sequence boundary,Geological Boundary,REPARENT,primitive,primitive,,COHERENT_FRAME_MEMBER,True,stratigraphic surface type,"[""unconformity""]",medium,False,retains the minimal sequence-stratigraphic boundary vocabulary alongside unconformity under Stratigraphic Surface.,,True,0.78,"parent → unconformity: Its NLD defines a hiatus surface marked by erosion, nondeposition, or truncation between adjacent sequences, which fits the current NLD for unconformity; review only if broader sequence-stratigraphic usage including correlative conformity is intended."
82,oil-water contact,Geological Boundary,KEEP,primitive,primitive,,UNIQUE_CQ_VALUE,False,,[],medium,False,adds the reservoir-fluid boundary type needed alongside stratigraphic surfaces in a pre-salt reservoir core.,,False,0.88,"A reservoir fluid boundary is still a Geological Boundary; no mixin pattern or OntoClean violation is evidenced (steps 3, 4, 6)."
83,paleotopography,Geological Boundary,DROP_AS_OVER_SPECIFIC,drop,drop,NO_MARGINAL_VALUE,,False,,[],low,False,specialized reconstructed surface adds little core value beyond the generic Geological Boundary class and retained boundary subtypes,"Although domain-valid, paleotopography contributes no distinct core CQ coverage beyond the parent branch and is not a shared genus, required relation endpoint, or coherent-frame member. Its evidence is modest and its NLD emphasizes reconstruction/modeling use rather than an indispensable boundary ki",True,0.84,"Although domain-valid, paleotopography contributes no distinct core CQ coverage beyond the parent branch and is not a shared genus, required relation endpoint, or coherent-frame member. Its evidence is modest and its NLD emphasizes reconstruction/modeling use rather than an indispensable boundary kind for the lean core."
84,Carbonate Grain,Geological Object,KEEP,primitive,primitive,,BRANCH_ANCHOR,False,,[],high,False,broad reusable grain genus that anchors multiple retained carbonate-particle kinds under Geological Object,,False,0.94,"NLD gives a genuine object subkind of Geological Object; probe1 passes and the differentia is structural, not a separate bearer relation."
85,Coated Grain,Geological Object,KEEP,primitive,primitive,,SHARED_GENUS,False,,[],medium,False,needed common genus for the coated-particle subgroup rather than flattening ooid and oncoid directly under Geological Object,,False,0.9,A coated grain is still a real geological object subtype; NLD does not clearly justify a narrower existing parent like Carbonate Grain.
86,spherulite,Geological Object,KEEP,primitive,primitive,,COHERENT_FRAME_MEMBER,True,carbonate grain morphotype,"[""peloid"", ""ooid"", ""oncoid""]",high,False,stable named grain kind with strong corpus presence and clear identity within the carbonate-grain frame,,False,0.97,NLD explicitly states spherulite is a carbonate grain with added radial calcite-aggregate structure; clean genus/differentia.
87,peloid,Geological Object,KEEP,primitive,primitive,,COHERENT_FRAME_MEMBER,True,carbonate grain morphotype,"[""spherulite"", ""ooid"", ""oncoid""]",medium,False,atomic conventional grain type needed in a lean but representative carbonate-grain frame,,False,0.87,"NLD explicitly defines peloid as a carbonate grain distinguished by size, irregular form, and structureless interior; genuine subkind."
88,hybrid form,Geological Object,DEMOTE_TO_PROPERTY,demote,demote,,,False,,[],low,False,better modeled as a morphology qualifier on a carbonate grain than as a standalone core class,"low-frequency, low-coverage transitional form with only generic CQ1 support; the core retains the parent grain kind and the better-established end-member classes without needing this extra morphologic class",True,0.84,"demoted to Carbonate Grain + has_quality spherulite-shrub hybrid morphology: low-frequency, low-coverage transitional form with only generic CQ1 support; the core retains the parent grain kind and the better-established end-member classes without needing this extra morphologic class"
89,ooid,Geological Object,KEEP,primitive,primitive,,COHERENT_FRAME_MEMBER,True,coated-grain type,"[""oncoid""]",medium,False,"canonical coated-grain kind in a small, stable petrographic frame under Coated Grain",,False,0.93,"probe1 true: the thin, commonly concentric accretionary cortex makes ooid a genuine subtype of Coated Grain."
90,oncoid,Geological Object,KEEP,primitive,primitive,,COHERENT_FRAME_MEMBER,True,coated-grain type,"[""ooid""]",medium,False,canonical sibling coated-grain kind with stable scientific usage and direct reservoir relevance,,False,0.92,probe1 true: microbial laminae around a nucleus make oncoid a genuine subtype of Coated Grain.
