Term,Base_Class,Property,Filler,Rationale,Original_Parent,Original_Category
intraclastic grainstone,grainstone,has_continuant_part,intraclast,the differentiating feature is intraclast-dominated grain composition within an existing grainstone texture class,Sedimentary Rock,Sedimentary Rock
organic-rich shale,shale,has_quality,organic richness,"the differentia is the amount of preserved organic matter borne by a shale, not a separate core rock kind",Sedimentary Rock,Sedimentary Rock
bioclastic grainstone,grainstone,has_continuant_part,bioclast,bioclastic content is a compositional modifier on the grainstone textural kind and does not need its own core class,Sedimentary Rock,Sedimentary Rock
microbial carbonate,carbonate,generated_by,microbial mediation,microbial influence is primarily a genetic/origin facet that can cut across several carbonate lithologies,Sedimentary Rock,Sedimentary Rock
evaporitic deposit,Body of Rock,constituted_by,evaporite,"useful as a description of a rock body composed of evaporite material, not as a core sedimentary-rock class",Sedimentary Rock,Sedimentary Rock
dark shale,shale,has_quality,dark organic-rich character,"the distinguishing content is mainly darkness/organic enrichment, which is better treated as a descriptive refinement of shale than as a core rock kind",Sedimentary Rock,Sedimentary Rock
intraclastic deposit,carbonate,has_continuant_part,intraclast,"intraclasticity is mainly a compositional and reworking facet of carbonate deposits, so the core can capture it as intraclast-bearing carbonate rather than as a standalone rock class",Sedimentary Rock,Sedimentary Rock
carbonate shale,shale,constituted_by,carbonate,"this is chiefly a compositional refinement of shale, not a core branch-defining rock kind",Sedimentary Rock,Sedimentary Rock
reservoir quality,reservoir rock,has_quality,reservoir quality,"This term functions mainly as an aggregate evaluative attribute of reservoir rock, summarizing storage/transmission performance from more basic properties such as porosity and permeability.",disposition,realizable entity
ultra-deep water,site,has_quality,ultra-deep-water bathymetric setting,the term denotes a present-day offshore water-depth band of a site rather than a core reusable geological site subtype,site,site
saddle dolomite,dolomite,has_quality,saddle crystal habit,The added value is mainly petrographic crystal-habit/style information on dolomite rather than a separate core earth-material kind.,dolomite,Earth Material
microcrystalline calcite,calcite,has_quality,microcrystallinity,"This is chiefly a crystal-size/textural quality of calcite, not a separate core material kind.",calcite,Earth Material
microcrystalline silica,Silica Phase,has_quality,microcrystalline texture,"the differentiator is crystal-size/texture within silica phases, while parent silica-phase classes already carry the reusable material identity",Silica Phase,Earth Material
microcrystalline quartz,quartz,has_quality,microcrystalline texture,"the core distinction is crystal size/texture within quartz, not a separate reusable material axis",quartz,Earth Material
macrocrystalline quartz,silica cement,has_quality,macrocrystalline texture,"coarse-crystal quartz here is a textural variant of quartz cement, not a core standalone material class",silica cement,Earth Material
