Term,NLD,Context_Used
evaporite,"Evaporite is a chemical sedimentary rock that forms by the precipitation of soluble minerals from highly evaporated brines in strongly evaporative lacustrine or shallow-marine settings. In the Brazilian Pre-Salt, Aptian evaporites of the Ariri and Retiro formations consist mainly of halite and anhydrite, with locally sylvite and carnallite, and they form the thick regional stratigraphic seal over the carbonate reservoirs.",True
dolomite,"Dolomite is a carbonate mineral that consists of calcium magnesium carbonate and commonly forms in Brazilian Pre-Salt lacustrine carbonates as a primary precipitate, a replacive diagenetic phase, or a pore-filling cement. In the Barra Velha and analogous pre-salt successions, it commonly occurs as rhombohedral, microcrystalline, lamellar, or saddle crystals, replacing calcite or Mg-clay and locally cementing pores, vugs, and fractures.",True
spherulite,"Spherulite is a carbonate grain that consists of a spherical to sub-spherical aggregate of radiating fibro-radial calcite crystals, typically showing radial extinction in thin section. In the Barra Velha Formation, spherulites commonly range from about 0.1 to 4 mm in diameter, may contain nuclei of micrite, clay minerals, or rare ostracod fragments, and are commonly altered by dolomitization, recrystallization, or local silicification.",True
diagenesis,"Diagenesis is a post-depositional alteration process that modifies carbonate sediments and rocks through dissolution, cementation, recrystallization, dolomitization, compaction, and mineral replacement. In Brazilian pre-salt lacustrine carbonates, it is the main control on pore-size distribution, connectivity, porosity, and permeability, with processes such as Mg-clay and carbonate dissolution generating vuggy and moldic porosity, while calcite, dolomite, silica cements, and chemical compaction commonly occlude or locally preserve reservoir pore space.",True
structural high,"Structural high is a positive structural relief element that stands above adjacent structural lows because of fault-controlled uplift, reduced subsidence, or both. In the Brazilian pre-salt, structural highs commonly correspond to horsts or faulted borders of grabens and half-grabens, persist through syn-rift evolution, and often favor the deposition and trapping of Barra Velha carbonate reservoirs.",True
barremian,"Barremian is an Early Cretaceous chronostratigraphic stage and geochronologic age that, in the Brazilian pre-salt, represents a key syn-rift interval between older rift deposits and the Aptian lacustrine-salt succession. In Campos and adjacent basins, the base Barremian is commonly mapped at the top of the Cabiúnas Formation, and Barremian subdivisions are used to date fault activity, accommodation development, and Barremian-Aptian diagenetic events.",True
silicification,"Silicification is a diagenetic process that replaces carbonate and Mg-rich clay constituents of reservoir rocks with silica through concurrent dissolution of calcium carbonate and precipitation of silica. In the Brazilian Pre-Salt, it can occur from syndepositional to burial stages and commonly appears as microcrystalline silica, chalcedony, quartz cement, pore-filling silica, or siliceous bands, increasing mineralogical heterogeneity and commonly reducing porosity and permeability.",True
reservoir quality,"Reservoir quality is a petrophysical characteristic of a reservoir rock that expresses its capacity to store and transmit fluids through connected pore space. In Brazilian pre-salt carbonates, it is primarily evaluated from porosity and permeability and is controlled by depositional facies and diagenetic evolution, including grain size and sorting, pore type, dissolution, recrystallization, cementation, compaction, and fracturing.",True
coquina,"Coquina is a bioclastic carbonate rock that consists of accumulations of biological hard parts, commonly shell-rich and bioclast-enriched, and in the Brazilian pre-salt typically shows packstone, grainstone, or rudstone textures. In the Itapema Formation of the Santos Basin, it is commonly dominated by reworked bivalve shells with subordinate gastropods and ostracods, and it forms an important reservoir facies where moldic, vuggy, and intergranular porosity may be well developed.",True
piçarras formation,"Piçarras Formation is a syn-rift lithostratigraphic unit in the Brazilian pre-salt of the Santos Basin that records the first major siliciclastic and initial lacustrine deposition during Barremian continental rifting, overlying the Camboriú Formation and underlying the Itapema Formation. It is characterized by proximal alluvial-fan conglomerates and polymictic to coarse- and medium-grained sandstones, passing basinward into distal lacustrine fine sandstones, siltstones, shales, siliciclastic laminites, and talc-stevensite-rich claystones.",True
calcite,"Calcite is a carbonate mineral that is the crystalline calcium carbonate phase commonly present in Pre-Salt lacustrine carbonates as fascicular, spherulitic, blocky, or microcrystalline forms. In Brazilian Pre-Salt reservoirs, it occurs both as primary precipitates and as diagenetic cement or replacement, filling interparticle, intraparticle, vugular, and fracture porosity and locally replacing grains, peloids, and ooid envelopes.",True
early cretaceous,"Early Cretaceous is a geologic time interval that comprises the earlier part of the Cretaceous Period and, in the Brazilian Pre-Salt, corresponds to the rift-to-sag evolution during which South Atlantic extensional basins formed and key pre-salt deposits accumulated. In the Santos and Campos basins, this interval includes deposition of lacustrine organic-rich shales, Aptian carbonate reservoirs such as the Barra Velha succession, and the onset of overlying evaporite sealing that together underpin the pre-salt petroleum system.",True
mudstone,"Mudstone is a carbonate rock that consists predominantly of mud matrix and contains less than 10% grains. In the Brazilian pre-salt, it is commonly classified by mineralogical composition into calci-mudstone, dolo-mudstone, siliceous mudstone, Mg-clay mudstone, and mixed mudstone, and it typically records deeper lacustrine or locally reworked deposition with generally variable but often low reservoir quality.",True
pre-alagoas unconformity,"Pre-Alagoas Unconformity is a regional stratigraphic unconformity that marks the base of the Alagoas Stage and the transition from rifting to the transitional pre-salt sag phase in the Brazilian basins. In the pre-salt succession, it commonly separates lower syn-rift deposits, including coquina-bearing intervals, from overlying upper pre-salt carbonates. Seismically, it is typically a low- to medium-amplitude discontinuous reflector, expressed locally as an angular erosional surface over palaeohighs but passing into a near-conformable surface in palaeodepressions.",True
fracture,"Fracture is a planar rock discontinuity that forms by brittle deformation and creates non-matrix porosity and potential fluid-flow pathways in carbonate reservoirs. In the Brazilian Pre-Salt, fractures are commonly related to tectonic and gravitational processes and are especially developed in silica-rich intervals where rheological contrast promotes brittle failure; they may remain open, be partially cemented, or be filled by minerals such as silica, dolomite, or barite.",True
dolomitization,"Dolomitization is a diagenetic replacement process that transforms carbonate and Mg-clay constituents into dolomite, typically during early diagenesis in Brazilian pre-salt lacustrine carbonates. In these reservoirs, it commonly generates intercrystalline porosity and helps connect moldic and vugular pores, improving porosity and permeability, although pervasive dolomitization in some sag facies can reduce pore-throat size.",True
packstone,"Packstone is a grain-supported carbonate facies that contains mud and micrite between framework grains, commonly comprising more than 50% reworked particles such as shrub fragments, peloids, spherulites, and bioclasts. In the Brazilian pre-salt, it is typically fine- to medium-grained, with rounded to sub-rounded and variably sorted grains, and it commonly occurs as massive or laminated beds with local plane-parallel or cross-stratification and mud-rich carbonate or Mg-clay interlayers.",True
silica,"Silica is a silicon dioxide mineral phase that in the Brazilian Pre-Salt carbonates occurs as early replacive layers or bodies, pore-lining chalcedony cement, and late pore-filling quartz cement. In these reservoirs it commonly appears as microcrystalline silica, spherulitic chalcedony, and macrocrystalline quartz, and silicified intervals are commonly associated with nonmatrix features and locally with excess permeability.",True
lacustrine environment,"Lacustrine environment is a continental depositional environment that develops within and around lakes and includes profundal, carbonate-platform, littoral, and marginal deltaic to fluvial zones. In the Brazilian Pre-Salt, it commonly refers to alkaline to increasingly saline lake systems in which water geochemistry strongly controls microbial growth, carbonate and clay precipitation, and the distribution of bioclastic components such as ostracods and mollusks.",True
lacustrine carbonate,"Lacustrine carbonate is a carbonate sedimentary rock that forms in lake environments under strong local controls such as tectonics, climate, hydrology, sediment input, temperature, and water chemistry. In the Brazilian Pre-Salt, these rocks commonly include autochthonous facies with shrubs, spherulites, and microcrystalline calcite, as well as reworked facies made of their fragments mixed with clay, and they are major reservoir constituents.",True
rift phase,"Rift phase is a tectonostratigraphic stage that corresponds to active extensional deformation, fault-controlled subsidence, and associated volcanism and sedimentation during the initial opening of a basin. In the Brazilian Pre-Salt, it begins in the Hauterivian with basaltic volcanism over the basement and evolves into graben- and half-graben-controlled fluvial-lacustrine deposition. This phase includes the accumulation of siliciclastics, organic-rich shales, coquinas, and early bioclastic carbonates in units such as the Camboriu or Cabiunas, Picarras, and Itapema formations, before the post-rift microbialite and evaporite succession.",True
stevensite,"Stevensite is an aluminum-poor Ca-Mg smectitic clay mineral that precipitates from highly alkaline lacustrine waters, typically at pH greater than about 9, in pre-salt sag deposits. In Brazilian Pre-Salt carbonate systems, it commonly forms laminated clay-rich facies and may occur with calcitic spherulites or dolomite rhombs in low-energy, relatively deeper lake settings. It is commonly compacted and later partially dissolved or replaced by calcite or dolomite during diagenesis.",True
stromatolite,"Stromatolite is an organo-sedimentary carbonate structure that forms through microbial trapping and binding of sediment together with in situ carbonate precipitation, producing characteristic lamination. In the Brazilian pre-salt, it typically occurs as rare columnar, laterally linked domal, or stratiform facies in shallow lacustrine settings, commonly enclosing ooid-intraclastic grainstone and locally preserving moderate intercrystalline, intraelement, and fracture porosity.",True
intra-alagoas unconformity,"The Intra-Alagoas Unconformity is an intraformational stratigraphic surface that marks a time-significant internal break within the Alagoas-age pre-salt carbonate succession of the Barra Velha Formation, commonly corresponding to the base-sag horizon in the Santos Basin. In seismic data it is recognized as a high-positive-amplitude, fairly continuous reflector, prominent on palaeohighs, moderately affected by faults, and locally conformable in palaeodepressions; it is commonly dated at about 117 Ma.",True
wackestone,"Wackestone is a mud-supported carbonate rock facies that contains more than 10% grains within a muddy matrix, commonly including ostracod bioclasts and reworked fragments of shrubs, peloids, and spherulites. In the Brazilian Pre-Salt, it is typically fine-grained, matrix-supported, and massive or plane-parallel laminated, and it commonly records low-energy lacustrine deposition below storm-wave base or the return to more normal conditions after stressful or storm events.",True
shale,"Shale is a fine-grained sedimentary rock that is composed predominantly of compacted clay-sized particles and commonly displays high gamma-ray values and very low permeability. In the Brazilian Pre-Salt, shale commonly occurs as clay-rich or organic-rich intervals associated with the deeper parts of the Barra Velha Formation, where it behaves as a non-reservoir facies and local seal that restricts fluid flow and can trap CO2. In petrophysical analysis, shale is also used as a high-gamma-ray end member for evaluating shale distribution in mixed lithologies.",True
anhydrite,"Anhydrite is an evaporite mineral that consists of anhydrous calcium sulfate and commonly forms dense, brittle basal layers of the Ariri Formation above the Barra Velha carbonates. In the Brazilian Pre-Salt, this layer marks the transition from lacustrine limestones to overlying evaporites and generates a strong positive seismic reflector because it has higher density and seismic velocity than halite, contributing to the regional sealing succession.",True
albian,"Albian is a chronostratigraphic stage that represents the latest part of the Early Cretaceous, spanning about 113.0 to 100.5 million years ago between the Aptian and Cenomanian. In the Brazilian South Atlantic context, the term commonly refers to the post-salt marine carbonate interval deposited after Aptian evaporite accumulation and overlying the Pre-Salt succession.",False
unconformity,"Unconformity is a stratigraphic surface that represents a hiatus caused by nondeposition, erosion, or deformation between older and younger rock successions. In the Brazilian Pre-Salt, unconformities are key seismic and well-correlated horizons, such as the Pre-Alagoas, Intra-Alagoas, and base-salt surfaces, that bound major tectono-stratigraphic units. Their expression commonly varies from erosional or angular truncation over palaeohighs to near-conformable geometry in palaeodepressions.",True
hauterivian,"Hauterivian is an Early Cretaceous geologic age that, in the Brazilian Pre-Salt, marks the volcanic-rift interval associated with the Camboriú Formation basalts and the initial development of grabens and half-grabens before the Barremian. In the Santos Basin, the term is commonly used to date the top-of-basalt unconformity and related extensional structures that underlie the Piçarras and younger rift deposits.",True
lower cretaceous,"Lower Cretaceous is a chronostratigraphic interval that, in the Santos Basin pre-salt context, spans the Hauterivian to Aptian and includes the Guaratiba Group deposited during rift to post-rift evolution. It comprises the Camboriú, Piçarras, Itapema, Barra Velha, and Ariri formations, and it contains the main pre-salt carbonate reservoirs in the Itapema and Barra Velha formations.",True
pre-salt,"Pre-salt is a stratigraphic interval that comprises the sedimentary and locally volcanic succession deposited during the rift to sag stages beneath the regional Aptian evaporite seal in the Brazilian margin basins. In the Santos and Campos basins, the term commonly denotes the lacustrine carbonate reservoir succession, including coquinas and microbialites of units such as the Itapema and Barra Velha equivalents, which hosts giant hydrocarbon accumulations beneath thick salt.",True
sag phase,"Sag phase is a tectonostratigraphic stage that follows the main rift phase and is marked by the development of a broad, laterally continuous regional depression generated predominantly by thermal subsidence. In the Brazilian Pre-Salt, it corresponds to a transitional continental to shallow-marine, increasingly saline interval that controlled accommodation and facies distribution in the Barra Velha system and culminated in evaporite deposition, although local fault reactivation could persist during this supposedly quiescent period.",True
quartz,"Quartz is a silica mineral that consists of crystalline SiO2 and, in Brazilian Pre-Salt carbonate reservoirs, commonly occurs as detrital grains or as diagenetic microcrystalline, prismatic, botryoidal, or macrocrystalline phases that replace carbonate minerals and grains or fill fractures and breccia matrices. It acts as a silica cement sourced internally from hybrid lithologies or externally from basement and arkosic units, and it can strongly modify reservoir quality by occluding or locally preserving pore space during replacement and fracture-related diagenesis.",True
rudstone,"Rudstone is a sedimentary carbonate rock that is grain-supported and contains more than 10% grains or clasts larger than 2 mm. In Brazilian Pre-Salt reservoirs, it commonly occurs as a reworked lacustrine facies composed of bioclasts, intraclasts, spherulites, shrub fragments, or silicified carbonate pebbles and cobbles, typically in poorly sorted massive to inversely graded beds with erosive bases. Its reservoir quality is highly heterogeneous and depends on the dominant pore system, including interparticle, moldic, intraparticle, and vugular porosity.",True
kwanza basin,"Kwanza Basin is a South Atlantic sedimentary basin that lies offshore Angola and preserves Barremian–Aptian presalt synrift and sag successions composed of lacustrine carbonates, mudstones, and siliciclastic deposits. In its upper synrift interval, the basin is commonly differentiated into eastern siliciclastic-rich, central platform, and western basinward domains, with structural highs hosting mollusk grainstones, packstones, and related reservoir facies.",True
laminite,"Laminite is a fine-laminated lacustrine carbonate rock that consists of thin parallel laminae and, in the Brazilian Pre-Salt, commonly derives from originally laminated clay-rich, probably stevensitic, deposits replaced by calcite or dolomite. It is typically composed mainly of calcite and dolomite, may preserve organic matter and minor siliciclastic grains between laminae, and can be variably affected by dolomitization, silicification, and dissolution porosity during diagenesis.",True
carbonate platform,"Carbonate platform is a broad, shallow-water depositional system that accumulates carbonate sediments on a structural or topographic high and develops a relatively flat platform top bounded by marginal and slope deposits. In the Brazilian Pre-Salt, it commonly formed in lacustrine settings over basement highs or volcanic pedestals, where aggradation, local progradation, fault-controlled paleotopography, and lake-level oscillations governed facies distribution and reservoir architecture.",True
intraclast,"Intraclast is a carbonate clast that consists of a reworked fragment of semi-lithified to lithified carbonate sediment formed within the same depositional system. In the Brazilian pre-salt, intraclasts commonly derive from spherulitic, shrub, laminated, fascicular, or microcrystalline lacustrine carbonates and occur as angular to well-rounded grains ranging from sand to pebble size in intraclastic grainstones and rudstones.",True
microbialite,"Microbialite is an organosedimentary carbonate deposit that is produced, induced, or influenced by benthic microbial communities. In the Brazilian Pre-Salt, especially the Barra Velha Formation, it commonly occurs as autochthonous porous tabular, irregular, or lenticular bodies with massive texture, relic lamination, and local subvertical branching, and is typically composed of carbonate clots and peloids fringed by fibrous or mosaic calcite.",True
normal fault,"Normal fault is a tectonic fault that forms under extensional stress and is characterized by downward displacement of the hanging wall relative to the footwall. In the Brazilian Pre-Salt rift setting, normal faults commonly bound and compartmentalize crustal blocks, may display planar to curved geometries with significant dip and displacement, and can remain active during salt deposition, offsetting the base salt and influencing uplift, erosion, and reservoir architecture.",True
graben,"Graben is a rift-related structural low that is bounded by normal faults and forms a subsiding depocenter between adjacent uplifted blocks. In the Brazilian Pre-Salt, grabens developed during the opening of the South Atlantic, commonly trapped thicker lacustrine sediment accumulations including organic-rich shales, and occur adjacent to horsts that favored carbonate reservoir development.",True
halite,"Halite is an evaporite mineral that consists of sodium chloride and commonly forms the dominant salt component of the Ariri Formation above the Brazilian Pre-Salt carbonates. In the Santos Basin, it is more ductile and plastic than anhydrite, so it flows during salt deformation to form thick salt bodies and diapirs. This halite-rich evaporite succession provides the regional seal over the Barra Velha reservoirs.",True
camboriú formation,"Camboriú Formation is a volcanic stratigraphic unit that marks the onset of rifting in the Santos Basin pre-salt and forms the economic basement through basaltic rocks, including dyke swarms. Its top is commonly recognized in seismic data as a high-amplitude positive reflector corresponding to the top-of-basalt unconformity, and it is overlain by the Piçarras Formation.",True
recrystallization,"Recrystallization is a diagenetic process that reorganizes pre-existing carbonate minerals into new crystals, commonly coarser calcite, thereby modifying the matrix, cement, or bioclast fabric of the rock. In Brazilian Pre-Salt carbonates, it commonly affects shells, micritic matrix, and calcite cements, and may either create intercrystalline or intraelement porosity or, when intense, obliterate the original depositional fabric and alter reservoir quality.",True
thermal subsidence,"Thermal subsidence is a regional post-rift subsidence process that occurs as stretched lithosphere cools and undergoes final crustal adjustments after fault-controlled mechanical subsidence has ended. In the Brazilian Pre-Salt, it characterizes the sag phase, when broad lacustrine accommodation developed, residual rift relief was progressively healed, and extensive Aptian carbonates such as the Barra Velha Formation were deposited.",True
ostracod,"Ostracod is a small aquatic crustacean that commonly inhabits marine and non-marine waters and, in pre-salt lacustrine systems, can persist in relatively deep, saline, or otherwise environmentally stressed conditions where mollusks may be absent. In the Brazilian Pre-Salt, ostracods commonly occur in wackestones, packstones, and grainstones, where they help indicate low-energy deeper-water or stressed lacustrine settings and are a key basis for non-marine biostratigraphy.",True
shrub,"Shrub is a calcitic crystal crust that consists of fan-shaped fascicular-optic aggregates of fibrous to very coarse bladed calcite growing perpendicular to, and away from, the substrate. In the Barra Velha pre-salt carbonates, shrubs commonly occur as parallel horizontal layers or low domes, typically with growth axes 0.15–6.5 mm long, and may trap fine detrital grains or develop into composite crusts up to 20 mm through multiple growth phases.",True
cementation,"Cementation is a diagenetic process that precipitates minerals within pores and between grains, binding the carbonate framework and modifying reservoir properties. In the Brazilian pre-salt, common cements include calcite, dolomite, quartz, chalcedony, silica, and barite, typically filling intergranular or growth-framework pores and reducing porosity. In some cases, however, rim-like siliceous cementation can increase resistance to compaction and help preserve pore space.",True
shrubstone,"Shrubstone is an in-situ lacustrine carbonate facies that consists predominantly of shrub frameworks, typically more than 90% fan-shaped, dendriform, or arborescent aggregates of fibrous-radial calcite crystals. In the Brazilian Pre-Salt, these shrubs commonly coalesce into crustal or domal layers and may include subordinate spherulites or mud, while preserving inter-aggregate and vugular porosity, microfractures, and local silicification.",True
pelotas basin,"Pelotas Basin is a passive-margin sedimentary basin that lies along the southern Brazilian Atlantic margin, immediately south of the Santos Basin and separated from it by the Florianópolis High. In the context of the Brazilian pre-salt, it is chiefly used as a regional neighboring basin that helps define the southern geologic limit of the Santos Basin. It formed as part of the marginal depressions generated during the breakup of Gondwana and the opening of the South Atlantic.",True
secondary porosity,"Secondary porosity is a reservoir pore system that forms after deposition and lithification through diagenetic alteration of the rock, especially by dissolution of Mg-clays, carbonate grains, and cements, and by fracturing. In Brazilian pre-salt carbonates, it commonly includes matrix dissolution, intraparticle, moldic, vugular, intercrystalline, intracrystalline, enlarged fenestral, and fracture porosity, and it may constitute the dominant share of total porosity in productive intervals.",True
pre-salt reservoir,"Pre-salt reservoir is a hydrocarbon reservoir that is hosted in Aptian syn-rift to sag lacustrine carbonate rocks beneath the regional evaporite seal of the Ariri Formation in the Brazilian pre-salt province. It is typically composed of heterogeneous carbonate facies such as coquinas, microbialites, and associated bioclastic, intraclastic, and laminated carbonates of intervals like the Itapema and Barra Velha formations, with reservoir architecture and quality strongly controlled by tectonics and diagenesis.",True
subaerial exposure,"Subaerial exposure is a geologic condition that places previously submerged carbonate sediments or rocks above the water surface and in contact with the atmosphere due to lake-level fall, desiccation, or uplift. In the Brazilian pre-salt, especially in littoral to shoreline settings of the Barra Velha Formation, it is commonly associated with weathering and pedogenetic alteration, dolomite-enriched exposure profiles, and local erosion or disaggregation of limestones that can contribute to reworked grainstone deposits.",True
basalt,"Basalt is a mafic volcanic igneous rock that commonly occurs in the Brazilian pre-salt as micro- to macro-crystalline, commonly tholeiitic lava-flow successions forming part of the syn-rift basement beneath the carbonate section. It is typically composed mainly of feldspar and pyroxene, including augite, and may also occur as clasts reworked into overlying conglomerates and carbonate grainstones during uplift and erosion.",True
chalcedony,"Chalcedony is a microcrystalline silica phase that forms fibrous-radial, spherulitic, and botryoidal aggregates as syndepositional to diagenetic cement in pre-salt lacustrine carbonates. In the Brazilian Pre-Salt it commonly occurs in chert and silicified intervals, lining or partly filling pores, fractures, and vugs, and may locally replace the host rock, thereby affecting reservoir quality and permeability.",True
cabo frio high,"Cabo Frio High is a basement structural high that forms the northern limit of the Santos Basin offshore southeastern Brazil. In the pre-salt framework, it is a major physiographic and tectonic element associated with adjacent depocenters such as the West Cabo Frio Low and is characterized by igneous rocks recording multiple magmatic events.",True
evaporation,"Evaporation is a hydrologic process that transfers lake water to the atmosphere as vapor, thereby concentrating dissolved ions and increasing salinity and alkalinity. In the Brazilian Pre-Salt, intense evaporation marks the dry or evaporation hemi-cycle, drives lake retraction and water supersaturation, and favors the precipitation of Mg-silicate gels, calcite, and associated in situ carbonate facies such as shrubs and spherulites.",True
horst,"Horst is a fault-bounded structural high that remains relatively uplifted or less subsided than adjacent grabens or half-grabens during extensional deformation. In the Brazilian Pre-Salt, horsts commonly occur as elongated basement highs, locally asymmetric or S-shaped, flanked by half-grabens and grabens and controlled by planar and listric normal faults. These highs help define the rift structural architecture and compartmentalize nearby depocenters and reservoirs.",True
hydrothermal fluid,"Hydrothermal fluid is a hot aqueous fluid that circulates through the crust at elevated temperatures and pressures, redistributing heat and mass and altering preexisting rocks. In Brazilian pre-salt carbonates, it commonly migrates along faults and fractures, may mix with lake water, precipitates minerals such as macrocrystalline calcite, saddle dolomite, barite, celestine, fluorite, and quartz, and can promote dissolution, hydraulic brecciation, and hypogenic karst porosity.",True
compaction,"Compaction is a diagenetic process that reduces the volume and pore space of sediment or rock under burial stress by mechanically rearranging and deforming grains and laminae. In Brazilian Pre-Salt carbonates it is commonly weak and mainly mechanical, recognized by crinkled argillaceous laminae wrapped around nodules, tight grain packing, concave-convex to long grain contacts, slight grain deformation, and rarer sutured contacts, especially in laminated argillaceous limestones and grainier facies.",True
interparticle porosity,"Interparticle porosity is a porosity type that consists of void spaces between adjacent grains or particles in carbonate rocks, especially in reworked lithologies where dissolution can enlarge the pore network. In Brazilian Pre-Salt carbonates, it is common in reworked facies such as calcirudites and calcarenites, commonly follows bedding to produce a stratified porosity distribution, and is associated with high permeability when preserved, although cementation and compaction may reduce it.",True
ooid,"Ooid is a coated grain that consists of a nucleus enclosed by a thin, commonly concentric cortex formed by repeated accretion, typically producing a sand-sized particle. In the Brazilian Pre-Salt lacustrine carbonates, ooids are commonly coarse-sand-sized and may occur as superficial or polycomposite forms, with many interpreted as originally composed of Mg-clays such as stevensite and later replaced by microcrystalline calcite or other diagenetic minerals.",True
south atlantic ocean,"South Atlantic Ocean is an oceanic basin that formed during the Jurassic to Early Cretaceous breakup of Gondwana between South America and Africa. In the Brazilian Pre-Salt context, its opening was segmented and diachronous, with southward widening, delayed rupture in the central sector, and temporary restriction of marine access to the central rift by the proto-Walvis Ridge, factors that controlled the development of the Santos, Campos, and Espírito Santo basins.",True
travertine,"Travertine is a carbonate spring deposit that precipitates mainly abiotically from hydrothermal waters discharged along fractures, where CO2 degassing raises pH and triggers rapid carbonate precipitation. In the Brazilian Pre-Salt context, it commonly forms fissure ridges, mounds, plateaus, pools, and microterraces, and is characterized by crystalline shrub and crust fabrics whose morphology depends on fluid-flow velocity, ion concentration, and local topography.",True
drift phase,"Drift phase is a tectonostratigraphic phase that follows the rift and post-rift/sag stages and is marked by the onset of oceanic crust formation and passive-margin evolution after salt deposition. In the Brazilian pre-salt basins, it begins around the Albian at the salt base and is represented mainly by overlying siliciclastic successions, while continued subsidence and local magmatic intrusions may influence later diagenesis and structural reactivation.",True
macabu formation,"Macabu Formation is a late Aptian pre-salt lithostratigraphic unit in the Campos Basin that comprises mainly lacustrine carbonate and mixed siliciclastic deposits formed predominantly as chemical precipitates in alkaline, brackish lakes under arid conditions. Its typical facies include laminated carbonates and argillaceous beds, calcite shrubs, spherulites, fascicular calcite, stevensitic arenites, and locally reworked intraclastic or bioclastic rudstone-grainstone intervals, making it an important continental carbonate reservoir interval.",True
